Accession,suppdata_id,pi0,Type
GSE43431,GSE43431_mRNA_STHdh_CUFF_gene_exp.diff.txt.gz,0.976054,bimodal
GSE43614,GSE43614_diff_out.txt.gz,0.999853,other
GSE43660,GSE43660_control_vs_il33_1hr.txt.gz,0.981868,bimodal
GSE43660,GSE43660_control_vs_il33_4hr.txt.gz,0.980673,bimodal
GSE43660,GSE43660_control_vs_IL4_1hr.txt.gz,0.966736,bimodal
GSE43660,GSE43660_control_vs_IL4_4hr.txt.gz,0.971759,bimodal
GSE44402,GSE44402_QW_Table_S2-AS_targets_of_PQBP1_identified_from_RNA-seq.xlsx.gz,0.234875,anti-conservative
GSE44536,GSE44536_GEO_Processed_file_excel.xlsx.gz-sheet-FPKM_NC_009338,0.975670,anti-conservative
GSE44665,GSE44665_gene_exp.diff.txt.gz,0.999993,conservative
GSE44668,GSE44668_gene_exp_diff.txt.gz,1.000000,conservative
GSE44846,GSE44846_O157_genome_total.xlsx.gz-sheet-Sheet1,0.991559,anti-conservative
GSE45788,GSE45788_S72_2_RefII_S72_1_Emf_exp.cuff.gz,0.833703,anti-conservative
GSE46502,GSE46502_diff_gene_exp_PR_all.xlsx.gz-sheet-gene_exp.diff,0.999083,conservative
GSE46807,GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz,0.800302,bimodal
GSE46807,GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz,0.898748,bimodal
GSE46807,GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz,0.999714,conservative
GSE47062,GSE47062_KO_vs_WT.txt.gz,0.978540,bimodal
GSE47083,GSE47083_WTvsSclKO_WTvsGata12KO.xlsx.gz,0.958169,bimodal
GSE47083,GSE47083_WTvsSclKO_WTvsGata12KO.xlsx.gz,0.925921,bimodal
GSE47095,GSE47095_splicing_diff.txt.gz,0.845802,conservative
GSE47395,GSE47395_gene_exp.diff.anno.known.csv.gz,0.999998,conservative
GSE47399,GSE47399_diff_exp_gene_exp.diff.txt.gz,0.996423,conservative
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,0.997903,conservative
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,0.998380,conservative
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_gene_exp.diff.txt.gz,0.997804,conservative
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_isoform_exp.diff.txt.gz,0.999229,conservative
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,0.881328,bimodal
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,0.936609,bimodal
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_gene_exp.diff.txt.gz,0.806614,bimodal
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_isoform_exp.diff.txt.gz,0.905944,bimodal
GSE48671,GSE48671_all.GeneDiffExp.txt.gz,0.273900,anti-conservative
GSE48671,GSE48671_all.GeneDiffExp.txt.gz,0.159168,anti-conservative
GSE49097,GSE49097_BetweenGenotypes_gene_exp.diff.gz,1.000000,conservative
GSE49097,GSE49097_CompareAll_gene_exp.diff.gz,0.999946,conservative
GSE49097,GSE49097_Within_A_gene_exp.diff.gz,0.999995,conservative
GSE49097,GSE49097_Within_B_gene_exp.diff.gz,0.991285,bimodal
GSE49097,GSE49097_Within_WT_gene_exp.diff.gz,1.000000,conservative
GSE49147,GSE49147_ESC_KO_vs_WT.txt.gz,0.983832,bimodal
GSE49147,GSE49147_iPS_PF1_vs_PF2.txt.gz,0.999853,conservative
GSE49147,GSE49147_iPS_TTF1_vs_TTF2.txt.gz,0.999944,conservative
GSE49313,GSE49313_DRRi_GFPi_cds_exp.diff.txt.gz,0.999538,conservative
GSE49313,GSE49313_PhanDRR1.2_PhanGFP_cds_exp.diff.txt.gz,0.999706,conservative
GSE49389,GSE49389_RNAseq_gene_exp.txt.gz,0.984356,bimodal
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.874579,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.880686,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.882196,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.887097,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.993775,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.874168,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.881834,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.883466,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.888081,conservative
GSE49587,GSE49587_L2_L3P1_2_DEUtable.txt.gz,0.855743,other
GSE49587,GSE49587_L312hr_L3P1_2_DEUtable.txt.gz,0.840566,other
GSE49587,GSE49587_ORvSmn_DEUtable.txt.gz,0.765901,anti-conservative
GSE49843,GSE49843_gene_exp.diff_22345-22353.txt.gz,0.965865,conservative
GSE50068,GSE50068_Cuffdiff_output.txt.gz,0.893220,bimodal
GSE50156,GSE50156_mas5D_AND_WT_24oC.txt.gz,0.999946,conservative
GSE50156,GSE50156_nmt1-hsf1_MMThi-_AND_WT_MMThi-.txt.gz,0.999998,conservative
GSE50156,GSE50156_ssa2D_AND_WT_24oC.txt.gz,0.999849,conservative
GSE50156,GSE50156_WT_36oC_15min_AND_WT_24oC.txt.gz,0.999629,conservative
GSE50198,GSE50198_Tet1kd_vs_v6.5_DEXSeq_results.txt.gz,0.669047,anti-conservative
GSE50198,GSE50198_Tet1kd_vs_v6.5_DEXSeq_results.txt.gz,0.669047,anti-conservative
GSE50198,GSE50198_Tet2kd_vs_v6.5_DEXSeq_results.txt.gz,0.675421,anti-conservative
GSE50198,GSE50198_Tet2kd_vs_v6.5_DEXSeq_results.txt.gz,0.675421,anti-conservative
GSE50203,GSE50203_gene_exp.diff.gz,0.999855,conservative
GSE50203,GSE50203_isoform_exp.diff.gz,0.999977,conservative
GSE50424,GSE50424_Adipose.tsv.gz,0.999999,conservative
GSE50424,GSE50424_Liver.tsv.gz,0.999869,conservative
GSE50535,GSE50535_diffexp_1.txt.gz,0.630220,anti-conservative
GSE50535,GSE50535_diffexp_1.txt.gz,0.640788,anti-conservative
GSE50535,GSE50535_diffexp_2.txt.gz,0.555871,anti-conservative
GSE50535,GSE50535_diffexp_3.txt.gz,0.611213,anti-conservative
GSE50535,GSE50535_diffexp_3.txt.gz,0.302104,anti-conservative
GSE50554,GSE50554_Routine_gene.diff.gz,0.995130,conservative
GSE50554,GSE50554_Routine_isoform.diff.gz,0.995906,conservative
GSE50554,GSE50554_Stringent_gene.diff.gz,0.996013,conservative
GSE50554,GSE50554_Stringent_isoform.diff.gz,0.997327,conservative
GSE50557,GSE50557_rnaseq-lbl1-Cuffdiff_gene_expression.txt.gz,0.999385,conservative
GSE50708,GSE50708_DE_result.txt.gz,0.319317,anti-conservative
GSE50739,GSE50739_gene_exp.diff.txt.gz,0.999921,conservative
GSE51037,GSE51037_Untreated_Nitrate_Processed_CunninghamBussel.xlsx.gz,0.895463,anti-conservative
GSE51119,GSE51119_bHLH159KD_vs_Col_gene_exp.diff.txt.gz,0.967364,bimodal
GSE51119,GSE51119_bHLH159ox_vs_Col_gene_exp.diff.txt.gz,0.916687,bimodal
GSE51119,GSE51119_IBH1KD_vs_Col_gene_exp.diff.txt.gz,0.973171,bimodal
GSE51119,GSE51119_IBH1ox_vs_Col_gene_exp.diff.txt.gz,0.951870,bimodal
GSE51847,GSE51847_Expression_table_LE-2_x_HR-3.txt.gz,0.999866,conservative
GSE51893,GSE51893_wt_v_MZeomesa-sphere_gene_exp.txt.gz,0.999683,conservative
GSE51975,GSE51975_C_v_OVOL1_2_gene_exp.diff.gz,0.872521,bimodal
GSE51975,GSE51975_C_v_OVOL1_2_isoform_exp.diff.gz,0.942113,bimodal
GSE51975,GSE51975_C_v_OVOL1_gene_exp.diff.gz,0.946892,bimodal
GSE51975,GSE51975_C_v_OVOL1_isoform_exp.diff.gz,0.975788,bimodal
GSE51975,GSE51975_C_v_OVOL2_gene_exp.diff.gz,0.941207,bimodal
GSE51975,GSE51975_C_v_OVOL2_isoform_exp.diff.gz,0.972505,bimodal
GSE52038,GSE52038_Supplementary-table-1-date11021.txt.gz,0.848676,bimodal
GSE52058,GSE52058_Cuffdiff_Dana_TestisOvary.gene_exp.diff.gz,0.353514,anti-conservative
GSE52058,GSE52058_Cuffdiff_Dana_TestisOvary.gene_exp.diff.gz,0.353514,anti-conservative
GSE52058,GSE52058_Cuffdiff_Dpse_TestisOvary.gene_exp.diff.gz,0.420969,anti-conservative
GSE52058,GSE52058_Cuffdiff_Dpse_TestisOvary.gene_exp.diff.gz,0.420969,anti-conservative
GSE52153,GSE52153_czt-1DMSOvsczt-1STS.txt.gz,0.548172,anti-conservative
GSE52153,GSE52153_wtDMSOvsczt-1DMSO.txt.gz,0.922137,spiky
GSE52153,GSE52153_wtDMSOvswtSTS.txt.gz,0.713697,spiky
GSE52201,GSE52201_RNAseq_processed_data_L_D_siLSD1.txt.gz,0.999629,conservative
GSE52284,GSE52284_gene_exp.diff.gz,0.974741,bimodal
GSE52367,GSE52367_Cuflinks_2338_2339.txt.gz,0.999732,conservative
GSE52385,GSE52385_siCtrl_VS_siSRA_assemblenewgenes.txt.gz,0.999999,bimodal
GSE52385,GSE52385_siCtrl_VS_siSRA_notassemblenewgenes.txt.gz,0.999996,bimodal
GSE52450,GSE52450_Cuffdiff_on_pre-pro-B_and_pro-B_aligned_reads_transcript_differential_expression_testing_Bv46.txt.gz,0.999713,conservative
GSE52502,GSE52502_gene_exp.diff.gz,0.999998,conservative
GSE52551,GSE52551_delta_Rv3263_expr.txt.gz,0.999839,other
GSE52911,GSE52911_gene_exp.txt.gz,0.999983,conservative
GSE53040,GSE53040_wtDMSOvswtD1.txt.gz,0.930186,spiky
GSE53040,GSE53040_wtDMSOvswtTX129.txt.gz,0.999983,conservative
GSE53040,GSE53040_wtDMSOvswtTX34.txt.gz,0.979218,bimodal
GSE53040,GSE53040_wtDMSOvswtTX87.txt.gz,0.935159,spiky
GSE53040,GSE53040_wtDMSOvswtXP13.txt.gz,0.693868,spiky
GSE53470,GSE53470_gene_exp_P251_PCJ_3rep_combined.diff.gz,0.999905,conservative
GSE53470,GSE53470_gene_exp_P251_PJD_3rep_combined.diff.gz,0.999835,conservative
GSE53599,GSE53599_D5-1322_vs_RLuc-713_24hrs.txt.gz,0.997435,conservative
GSE53599,GSE53599_D5-1322_vs_RLuc-713_48hrs.txt.gz,0.986101,bimodal
GSE53599,GSE53599_D5-2086_vs_RLuc-713_24hrs.txt.gz,0.998479,conservative
GSE53599,GSE53599_D5-2086_vs_RLuc-713_48hrs.txt.gz,0.965748,bimodal
GSE53653,GSE53653_st10.5_Foxh1_MO_gene_exp_diff.txt.gz,0.985821,conservative
GSE53653,GSE53653_st10.5_SB431542_gene_exp_diff.txt.gz,0.999052,conservative
GSE53789,GSE53789_gene_exp.diff.txt.gz,0.996840,conservative
GSE53789,GSE53789_GFP_FACS_x_GFP_LCM-not_significant.diff.txt.gz,0.999071,conservative
GSE53789,GSE53789_GFP_FACS_x_WT_FACS-not_significant.diff.txt.gz,1.000000,conservative
GSE53789,GSE53789_GFP_LCM_gt_GFP_FACS_gene_exp_with_zeros.diff.txt.gz,0.329123,anti-conservative
GSE53789,GSE53789_GFP_LCM_gt_WT_FACS_gene_exp_with_zeros.diff.txt.gz,0.324396,anti-conservative
GSE53789,GSE53789_GFP_LCM_x_GFP_FACS-not_significant.diff.txt.gz,0.999071,conservative
GSE53789,GSE53789_GFP_LCM_x_WT_FACS-not_significant.diff.txt.gz,0.999166,conservative
GSE53789,GSE53789_WT_FACS_x_GFP_FACS-not_significant.diff.txt.gz,1.000000,conservative
GSE53789,GSE53789_WT_FACS_x_GFP_LCM-not_significant.diff.txt.gz,0.999166,conservative
GSE53976,GSE53976_gene_exp.diff.txt.gz,0.961911,bimodal
GSE54246,GSE54246_Control_vs._4_NQO_Tongue_gene_exp.xlsx.gz,0.941324,bimodal
GSE54286,GSE54286_Lys_sup_pelle_rs_mvhip_Exp.txt.gz,0.957636,bimodal
GSE54433,GSE54433_gene_exp.diff.txt.gz,0.999702,conservative
GSE54440,GSE54440_WT_Z2_RNAseq_rep2.txt.gz,0.510649,anti-conservative
GSE54473,GSE54473_Suv420_gene_exp.xlsx.gz-sheet-gene_exp,0.912433,bimodal
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz,0.930676,bimodal
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz,0.997969,conservative
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz,0.999830,conservative
GSE54641,GSE54641_cuffdiff2_gene_exp.diff.txt.gz,0.997698,conservative
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C1_WtE8.0_Vs_Wt10.0,0.984032,conservative
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C2_Wt_VS_ Tc E8.0,0.993633,conservative
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C3_Wt_VS_Tc_E10.0,0.988419,conservative
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C4_TcE8.0_VS_TcE10.0,0.985275,conservative
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-EBDay4_ControlVSBrachyuryKD,0.991019,conservative
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-ESCs_VS_EBDay4,0.936855,conservative
GSE55090,GSE55090_cds_exp.diff.txt.gz,0.850040,bimodal
GSE55090,GSE55090_gene_exp.diff.txt.gz,0.838992,bimodal
GSE55090,GSE55090_isoform_exp.diff.txt.gz,0.895283,bimodal
GSE55090,GSE55090_tss_group_exp.diff.txt.gz,0.864511,bimodal
GSE55394,GSE55394_gene_exp.diff.txt.gz,0.999942,conservative
GSE55528,GSE55528_gene_exp_PA.diff.gz,0.563756,anti-conservative
GSE55528,GSE55528_gene_exp_PA.diff.gz,0.563756,anti-conservative
GSE55528,GSE55528_gene_exp_SA.diff.gz,0.684847,anti-conservative
GSE55528,GSE55528_gene_exp_SA.diff.gz,0.684847,anti-conservative
GSE55596,GSE55596_alldiff_nonovel.txt.gz,0.999605,conservative
GSE55596,GSE55596_LOLOdiff_nonovel.txt.gz,0.985002,bimodal
GSE55682,GSE55682_16h.xls.gz,0.997890,other
GSE55682,GSE55682_20h.xls.gz,0.998916,other
GSE55682,GSE55682_24h.xls.gz,0.998263,other
GSE55682,GSE55682_48h.xls.gz,0.998437,other
GSE55682,GSE55682_Baf250a6days.csv.gz,0.998196,other
GSE55870,GSE55870_CAF90vsNF1493.xlsx.gz,0.988529,conservative
GSE56052,GSE56052_gene_exp.diff.gz,0.999999,conservative
GSE56058,GSE56058_differentialExpressionGenes_RD19.txt.gz,0.995802,spiky
GSE56097,GSE56097_Cufflinks_CuffDiff_gene_exp.txt.gz,1.000000,conservative
GSE56122,GSE56122_IFN-gene_exp.diff.gz,0.999854,conservative
GSE56122,GSE56122_LPS-gene_exp.diff.gz,0.996309,conservative
GSE56132,GSE56132_Pm_Si_expression.txt.gz,0.668224,spiky
GSE56132,GSE56132_Pm_Si_expression.txt.gz,0.568690,anti-conservative
GSE56132,GSE56132_Pm_Si_expression.txt.gz,0.668224,spiky
GSE56132,GSE56132_Pm_Si_expression.txt.gz,0.568690,anti-conservative
GSE56132,GSE56132_Pm_Si_expression.txt.gz,0.668224,spiky
GSE56132,GSE56132_Pm_Si_expression.txt.gz,0.568690,anti-conservative
GSE56169,GSE56169_normalized_RNASeq_Ctrl_vs_E2a.txt.gz,0.372233,anti-conservative
GSE56284,GSE56284_gene_exp.txt.gz,0.868891,conservative
GSE56575,GSE56575_cds_exp.diff.txt.gz,0.997835,conservative
GSE56966,GSE56966_IL6Ra_WT.xlsx.gz-sheet-gene_exp,0.998451,other
GSE56966,GSE56966_IL6Ra_WT.xlsx.gz-sheet-gene_notest,1.000000,conservative
