Accession;suppdata_id;type;pi0;type_filtered;pi0_filtered
GSE36695;GSE36695_H9KSR_H9SFM.txt.gz;bimodal;0.98;NA; NA

GSE36695;GSE36695_H9KSR_hfSFM.txt.gz;conservative;1.00;NA; NA

GSE36695;GSE36695_H9SFM_hfSFM.txt.gz;conservative;1.00;NA; NA

GSE36710;GSE36710_RBFOX1_Splicing_Events.txt.gz;conservative;0.89;NA;NaN

GSE36710;GSE36710_RBFOX1_Transcriptional_Events.txt.gz;bimodal;0.94;anti-conservative;1.00

GSE36781;GSE36781_gene_exp_diff.txt.gz;anti-conservative;0.96;NA; NA

GSE36866;GSE36866_gene_exp.diff.gz;conservative;0.98;NA; NA

GSE36871;GSE36871_RNASeq_Mouse_Liver_NormalizedGeneSignal.txt.gz;spiky;0.70;NA; NA

GSE36872;GSE36872_NascentSeq_Mouse_Liver_NormalizedGeneSignal.txt.gz;spiky;0.63;NA; NA

GSE36959;GSE36959_gene_exp_diff.txt.gz;anti-conservative;0.64;NA; NA

GSE37111;GSE37111_clip.txt.gz;conservative;0.98;NA; NA

GSE37682;GSE37682_RAW.txt.gz;anti-conservative;0.69;NA; NA

GSE37703;GSE37703_hiseq_cuffdiff_cds_exp.diff.gz;bimodal;0.95;NA; NA

GSE37703;GSE37703_hiseq_cuffdiff_cds.diff.gz;bimodal;0.70;NA; NA

GSE37703;GSE37703_hiseq_cuffdiff_gene_exp.diff.gz;bimodal;0.80;NA; NA

GSE37703;GSE37703_hiseq_cuffdiff_isoform_exp.diff.gz;bimodal;0.96;NA; NA

GSE37703;GSE37703_hiseq_cuffdiff_promoters.diff.gz;bimodal;0.78;NA; NA

GSE37703;GSE37703_hiseq_cuffdiff_splicing.diff.gz;bimodal;0.61;NA; NA

GSE37703;GSE37703_hiseq_cuffdiff_tss_group_exp.diff.gz;bimodal;0.91;NA; NA

GSE37703;GSE37703_miseq_cuffdiff_cds_exp.diff.gz;bimodal;0.98;NA; NA

GSE37703;GSE37703_miseq_cuffdiff_cds.diff.gz;bimodal;0.63;NA; NA

GSE37703;GSE37703_miseq_cuffdiff_gene_exp.diff.gz;bimodal;0.93;NA; NA

GSE37703;GSE37703_miseq_cuffdiff_isoform_exp.diff.gz;bimodal;0.99;NA; NA

GSE37703;GSE37703_miseq_cuffdiff_promoters.diff.gz;bimodal;0.71;NA; NA

GSE37703;GSE37703_miseq_cuffdiff_splicing.diff.gz;conservative;0.47;NA; NA

GSE37703;GSE37703_miseq_cuffdiff_tss_group_exp.diff.gz;bimodal;0.97;NA; NA

GSE38413;GSE38413_Maize_Pericarp_14DAP_mRNA-Seq_gene_exp.diff.gz;conservative;0.94;NA; NA

GSE38413;GSE38413_Maize_Pericarp_25DAP_mRNA-Seq_gene_exp.diff.gz;conservative;0.96;NA; NA

GSE38414;GSE38414_Maize_Silks_mRNA-Seq_gene_exp.diff.gz;conservative;0.96;NA; NA

GSE39605;GSE39605_All_KOvsWT_filtered_final.xlsx.gz-sheet-All_KOvsWT_filtered;conservative;1.00;other;1.00

GSE39652;GSE39652_20111201c2Day3_gene_exp.txt.gz;bimodal;0.91;NA; NA

GSE39652;GSE39652_20111201c2LZ_gene_exp.txt.gz;conservative;1.00;NA; NA

GSE39652;GSE39652_20111201c2Pach_gene_exp.txt.gz;conservative;0.99;NA; NA

GSE39652;GSE39652_20111201c2PreMeiotic_gene_exp.txt.gz;conservative;1.00;NA; NA

GSE39812;GSE39812_FB_result_transcript_summary.tsv.txt.gz;anti-conservative;0.65;NA; NA

GSE39812;GSE39812_FT_result_transcript_summary.tsv.txt.gz;conservative;0.83;NA; NA

GSE39812;GSE39812_TB_result_transcript_summary.tsv.txt.gz;bimodal;0.70;NA; NA

GSE40187;GSE40187_gene_exp_diff_Control_NXD30001_fromtophat120_cufflinks102_c0_081612.txt.gz;conservative;0.99;NA; NA

GSE40187;GSE40187_gene_exp_diff_MG1_MG2_fromtophat120_cufflinks102_c0_081612.txt.gz;conservative;0.98;NA; NA

GSE40218;GSE40218_processed_DESeq.txt.gz;bimodal;0.92;anti-conservative;0.89

GSE40228;GSE40228_gene_exp.diff.txt.gz;conservative;0.99;NA; NA

GSE40478;GSE40478_output_score.txt.gz;anti-conservative;0.32;NA; NA

GSE40548;GSE40548_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE40948;GSE40948_MEF_vs_ESC_2replicates_expression.tsv.gz;bimodal;0.67;NA; NA

GSE40948;GSE40948_NPC_vs_ESC_2replicates_result_10.transcript_summary.tsv.gz;anti-conservative;0.48;NA; NA

GSE41090;GSE41090_WT_vs_KO_full_genes.tab.txt.gz;conservative;0.99;NA; NA

GSE41367;GSE41367_brenneri_gns.expr.txt.gz;anti-conservative;0.36;NA; NA

GSE41367;GSE41367_brenneri_soap.expr.txt.gz;anti-conservative;0.37;NA; NA

GSE41367;GSE41367_briggsae_gns.expr.txt.gz;anti-conservative;0.33;NA; NA

GSE41367;GSE41367_briggsae_soap.expr.txt.gz;anti-conservative;0.35;NA; NA

GSE41367;GSE41367_elegans_gns.expr.txt.gz;anti-conservative;0.30;NA; NA

GSE41367;GSE41367_elegans_soap.expr.txt.gz;anti-conservative;0.26;NA; NA

GSE41367;GSE41367_japonica_gns.expr.txt.gz;anti-conservative;0.29;NA; NA

GSE41367;GSE41367_japonica_soap.expr.txt.gz;anti-conservative;0.29;NA; NA

GSE41367;GSE41367_remanei_gns.expr.txt.gz;anti-conservative;0.27;NA; NA

GSE41367;GSE41367_remanei_soap.expr.txt.gz;anti-conservative;0.25;NA; NA

GSE41487;GSE41487_ResultsContr123vsRas123Multiple.xls.gz-sheet-RawData Contr123 vs Ras123;conservative;1.00;NA; NA

GSE41487;GSE41487_ResultsContr123vsRas12Multiple.xls.gz-sheet-RawData Contr123 vs Ras12;conservative;0.97;NA; NA

GSE41766;GSE41766_PRE1-Ox_IBH1-Ox_vs_IBH1-Ox.txt.gz;anti-conservative;0.62;anti-conservative;0.29

GSE41873;GSE41873_FPKM_all_genes_from_CuffDiff.txt.gz;anti-conservative;0.74;NA; NA

GSE41908;GSE41908_E11.5_E13.5f_cuffdiff1.2.txt.gz;conservative;0.91;NA; NA

GSE41908;GSE41908_E11.5_E13.5m_cuffdiff1.2.txt.gz;conservative;0.96;NA; NA

GSE41908;GSE41908_E9.5_E11.5_cuffdiff1.2.txt.gz;conservative;0.93;NA; NA

GSE42381;GSE42381_gene_exp.diff.gz;bimodal;0.89;NA; NA

GSE42443;GSE42443_Brg1cKO_gene_exp.diff.gz;conservative;0.98;NA; NA

GSE42805;GSE42805_acute_gene.diff.gz;conservative;1.00;NA; NA

GSE42805;GSE42805_cds_exp.diff.gz;conservative;1.00;NA; NA

GSE42805;GSE42805_cds.diff.gz;bimodal;0.86;NA; NA

GSE42805;GSE42805_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE42805;GSE42805_isoform_exp.diff.gz;bimodal;0.99;NA; NA

GSE42805;GSE42805_promoters.diff.gz;bimodal;0.87;NA; NA

GSE42805;GSE42805_splicing.diff.gz;bimodal;0.95;NA; NA

GSE42805;GSE42805_tss_group_exp.diff.gz;bimodal;0.99;NA; NA

GSE43143;GSE43143_tooth_FPKM_DE.txt.gz-set-0;anti-conservative;0.65;NA; NA

GSE43143;GSE43143_tooth_FPKM_DE.txt.gz-set-1;anti-conservative;0.99;NA; NA

GSE43143;GSE43143_tooth_FPKM_DE.txt.gz-set-2;anti-conservative;0.82;NA; NA

GSE43189;GSE43189_processed_h99_rim101.csv.gz;anti-conservative;0.46;NA; NA

GSE43194;GSE43194_E11_ICR_abundance_rep1.txt.gz-set-0;bimodal;0.87;NA; NA

GSE43194;GSE43194_E11_ICR_abundance_rep1.txt.gz-set-1;spiky;0.95;NA; NA

GSE43194;GSE43194_E11_ICR_abundance_rep1.txt.gz-set-2;spiky;0.87;NA; NA

GSE43194;GSE43194_E11_ICR_abundance_rep2.txt.gz-set-0;spiky;0.91;NA; NA

GSE43194;GSE43194_E11_ICR_abundance_rep2.txt.gz-set-1;spiky;0.88;NA; NA

GSE43194;GSE43194_E11_ICR_abundance_rep2.txt.gz-set-2;spiky;0.86;NA; NA

GSE43194;GSE43194_HH18chick_abundance.txt.gz-set-0;spiky;0.75;NA; NA

GSE43194;GSE43194_HH18chick_abundance.txt.gz-set-1;spiky;0.72;NA; NA

GSE43194;GSE43194_HH18chick_abundance.txt.gz-set-2;bimodal;0.76;NA; NA

GSE43431;GSE43431_mRNA_STHdh_CUFF_gene_exp.diff.txt.gz;bimodal;0.98;NA; NA

GSE43614;GSE43614_diff_out.txt.gz;other;1.00;NA; NA

GSE43660;GSE43660_control_vs_il33_1hr.txt.gz;bimodal;0.98;NA; NA

GSE43660;GSE43660_control_vs_il33_4hr.txt.gz;bimodal;0.98;NA; NA

GSE43660;GSE43660_control_vs_IL4_1hr.txt.gz;bimodal;0.97;NA; NA

GSE43660;GSE43660_control_vs_IL4_4hr.txt.gz;bimodal;0.97;NA; NA

GSE44233;GSE44233_processed_data.txt.gz;spiky;0.93;anti-conservative;0.72

GSE44333;GSE44333_d33_mock_vs_mhv_res_noNA.txt.gz;bimodal;1.00;anti-conservative;0.96

GSE44402;GSE44402_QW_Table_S2-AS_targets_of_PQBP1_identified_from_RNA-seq.xlsx.gz;anti-conservative;0.23;NA; NA

GSE44536;GSE44536_GEO_Processed_file_excel.xlsx.gz-sheet-FPKM_NC_009338;bimodal;0.98;NA; NA

GSE44665;GSE44665_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE44668;GSE44668_gene_exp_diff.txt.gz;conservative;1.00;NA; NA

GSE44831;GSE44831_BALBfab_BALBmj_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE44831;GSE44831_BALBfabD1_BALBmockD1_24hr_post_expr.txt.gz;conservative;1.00;NA; NA

GSE44831;GSE44831_BALBfabD1_BALBmockD1_exp.txt.gz;conservative;1.00;NA; NA

GSE44831;GSE44831_C57BL6fabD1_C57BL6mockD1_24hr_post_expr.txt.gz;conservative;1.00;NA; NA

GSE44831;GSE44831_C57BL6fabD1_C57BL6mockD1_exp.txt.gz;conservative;1.00;NA; NA

GSE44831;GSE44831_C57BLfab_C57BLmj_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE44831;GSE44831_matrix_BALB_C57BL.txt.gz;conservative;1.00;NA; NA

GSE44846;GSE44846_O157_genome_total.xlsx.gz-sheet-Sheet1;bimodal;0.99;NA; NA

GSE45788;GSE45788_S72_2_RefII_S72_1_Emf_exp.cuff.gz;anti-conservative;0.83;NA; NA

GSE46046;GSE46046_GenesTable.txt.gz;spiky;1.00;anti-conservative;0.93

GSE46066;GSE46066_ICRFVsDMSO.txt.gz;bimodal;0.77;anti-conservative;0.79

GSE46486;GSE46486_young_old_deseq.txt.gz;conservative;0.97;anti-conservative;0.99

GSE46502;GSE46502_diff_gene_exp_PR_all.xlsx.gz-sheet-gene_exp.diff;conservative;1.00;NA; NA

GSE46807;GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz-set-0;bimodal;0.80;NA; NA

GSE46807;GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz-set-1;bimodal;0.90;NA; NA

GSE46807;GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz-set-2;conservative;1.00;NA; NA

GSE47062;GSE47062_KO_vs_WT.txt.gz;conservative;0.98;NA; NA

GSE47083;GSE47083_WTvsSclKO_WTvsGata12KO.xlsx.gz-set-0;conservative;0.96;NA; NA

GSE47083;GSE47083_WTvsSclKO_WTvsGata12KO.xlsx.gz-set-1;conservative;0.93;NA; NA

GSE47095;GSE47095_splicing_diff.txt.gz;bimodal;0.85;NA; NA

GSE47395;GSE47395_gene_exp.diff.anno.known.csv.gz;conservative;1.00;NA; NA

GSE47399;GSE47399_diff_exp_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE48166;GSE48166_Cufflinks_FPKM.txt.gz;anti-conservative;0.95;NA; NA

GSE48230;GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE48230;GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_isoform_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE48230;GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz;bimodal;0.88;NA; NA

GSE48230;GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz;bimodal;0.94;NA; NA

GSE48230;GSE48230_PC3-EMT14_v_PC3-Epi_gene_exp.diff.txt.gz;bimodal;0.81;NA; NA

GSE48230;GSE48230_PC3-EMT14_v_PC3-Epi_isoform_exp.diff.txt.gz;bimodal;0.91;NA; NA

GSE48230;GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE48230;GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE48671;GSE48671_all.GeneDiffExp.txt.gz-set-0;anti-conservative;0.27;NA; NA

GSE48671;GSE48671_all.GeneDiffExp.txt.gz-set-1;anti-conservative;0.16;NA; NA

GSE49097;GSE49097_BetweenGenotypes_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE49097;GSE49097_CompareAll_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE49097;GSE49097_Within_A_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE49097;GSE49097_Within_B_gene_exp.diff.gz;conservative;0.99;NA; NA

GSE49097;GSE49097_Within_WT_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE49147;GSE49147_ESC_KO_vs_WT.txt.gz;conservative;0.98;NA; NA

GSE49147;GSE49147_iPS_PF1_vs_PF2.txt.gz;conservative;1.00;NA; NA

GSE49147;GSE49147_iPS_TTF1_vs_TTF2.txt.gz;conservative;1.00;NA; NA

GSE49313;GSE49313_DRRi_GFPi_cds_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE49313;GSE49313_PhanDRR1.2_PhanGFP_cds_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE49389;GSE49389_RNAseq_gene_exp.txt.gz;conservative;0.98;NA; NA

GSE49581;GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-0;bimodal;0.87;NA; NA

GSE49581;GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-1;bimodal;0.88;NA; NA

GSE49581;GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-2;bimodal;0.88;NA; NA

GSE49581;GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-3;bimodal;0.89;NA; NA

GSE49581;GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-4;conservative;0.99;NA; NA

GSE49581;GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-5;bimodal;0.87;NA; NA

GSE49581;GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-6;bimodal;0.88;NA; NA

GSE49581;GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-7;bimodal;0.88;NA; NA

GSE49581;GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-8;bimodal;0.89;NA; NA

GSE49587;GSE49587_L2_L3P1_2_DEUtable.txt.gz;other;0.86;NA; NA

GSE49587;GSE49587_L312hr_L3P1_2_DEUtable.txt.gz;other;0.84;NA; NA

GSE49587;GSE49587_ORvSmn_DEUtable.txt.gz;anti-conservative;0.77;NA; NA

GSE49700;GSE49700_aza.repeats.txt.gz;conservative;0.93;NA; NA

GSE49700;GSE49700_aza.txt.gz;other;1.00;NA; NA

GSE49700;GSE49700_FB_FLM.RNA.txt.gz;other;1.00;NA; NA

GSE49716;GSE49716_pei1vspei3_gene_exp.diff.txt.gz;conservative;0.98;NA; NA

GSE49843;GSE49843_gene_exp.diff_22345-22353.txt.gz;conservative;0.97;NA; NA

GSE50068;GSE50068_Cuffdiff_output.txt.gz;bimodal;0.89;NA; NA

GSE50156;GSE50156_mas5D_AND_WT_24oC.txt.gz;conservative;1.00;NA; NA

GSE50156;GSE50156_nmt1-hsf1_MMThi-_AND_WT_MMThi-.txt.gz;conservative;1.00;NA; NA

GSE50156;GSE50156_ssa2D_AND_WT_24oC.txt.gz;conservative;1.00;NA; NA

GSE50156;GSE50156_WT_36oC_15min_AND_WT_24oC.txt.gz;conservative;1.00;NA; NA

GSE50198;GSE50198_Tet1kd_vs_v6.5_DESeq_results.txt.gz-set-0;anti-conservative;0.57;anti-conservative;0.35

GSE50198;GSE50198_Tet1kd_vs_v6.5_DESeq_results.txt.gz-set-1;anti-conservative;0.46;anti-conservative;0.17

GSE50198;GSE50198_Tet1kd_vs_v6.5_DEXSeq_results.txt.gz;anti-conservative;0.67;NA; NA

GSE50198;GSE50198_Tet2kd_vs_v6.5_DESeq_results.txt.gz-set-0;bimodal;0.70;anti-conservative;0.66

GSE50198;GSE50198_Tet2kd_vs_v6.5_DESeq_results.txt.gz-set-1;anti-conservative;0.57;anti-conservative;0.31

GSE50198;GSE50198_Tet2kd_vs_v6.5_DEXSeq_results.txt.gz;anti-conservative;0.68;NA; NA

GSE50203;GSE50203_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE50203;GSE50203_isoform_exp.diff.gz;conservative;1.00;NA; NA

GSE50424;GSE50424_Adipose.tsv.gz;conservative;1.00;NA; NA

GSE50424;GSE50424_Liver.tsv.gz;conservative;1.00;NA; NA

GSE50535;GSE50535_diffexp_1.txt.gz-set-0;anti-conservative;0.63;NA; NA

GSE50535;GSE50535_diffexp_1.txt.gz-set-1;anti-conservative;0.64;NA; NA

GSE50535;GSE50535_diffexp_2.txt.gz;anti-conservative;0.56;NA; NA

GSE50535;GSE50535_diffexp_3.txt.gz-set-0;anti-conservative;0.61;NA; NA

GSE50535;GSE50535_diffexp_3.txt.gz-set-1;anti-conservative;0.30;NA; NA

GSE50554;GSE50554_Routine_gene.diff.gz;conservative;1.00;NA; NA

GSE50554;GSE50554_Routine_isoform.diff.gz;conservative;1.00;NA; NA

GSE50554;GSE50554_Stringent_gene.diff.gz;conservative;1.00;NA; NA

GSE50554;GSE50554_Stringent_isoform.diff.gz;conservative;1.00;NA; NA

GSE50557;GSE50557_rnaseq-lbl1-Cuffdiff_gene_expression.txt.gz;conservative;1.00;NA; NA

GSE50708;GSE50708_DE_result.txt.gz;anti-conservative;0.32;NA; NA

GSE50739;GSE50739_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE51037;GSE51037_Untreated_Nitrate_Processed_CunninghamBussel.xlsx.gz;anti-conservative;0.90;NA; NA

GSE51119;GSE51119_bHLH159KD_vs_Col_gene_exp.diff.txt.gz;conservative;0.97;NA; NA

GSE51119;GSE51119_bHLH159ox_vs_Col_gene_exp.diff.txt.gz;conservative;0.92;NA; NA

GSE51119;GSE51119_IBH1KD_vs_Col_gene_exp.diff.txt.gz;conservative;0.97;NA; NA

GSE51119;GSE51119_IBH1ox_vs_Col_gene_exp.diff.txt.gz;conservative;0.95;NA; NA

GSE51144;GSE51144_all_exons.txt.gz;other;0.86;NA; NA

GSE51645;GSE51645_ASE_processed_data.txt.gz;anti-conservative;0.98;NA; NA

GSE51645;GSE51645_DE_processed_data.txt.gz;anti-conservative;0.76;NA; NA

GSE51847;GSE51847_Expression_table_LE-2_x_HR-3.txt.gz;conservative;1.00;NA; NA

GSE51893;GSE51893_wt_v_MZeomesa-sphere_gene_exp.txt.gz;conservative;1.00;NA; NA

GSE51975;GSE51975_C_v_OVOL1_2_gene_exp.diff.gz;bimodal;0.87;NA; NA

GSE51975;GSE51975_C_v_OVOL1_2_isoform_exp.diff.gz;bimodal;0.94;NA; NA

GSE51975;GSE51975_C_v_OVOL1_gene_exp.diff.gz;bimodal;0.95;NA; NA

GSE51975;GSE51975_C_v_OVOL1_isoform_exp.diff.gz;bimodal;0.98;NA; NA

GSE51975;GSE51975_C_v_OVOL2_gene_exp.diff.gz;bimodal;0.94;NA; NA

GSE51975;GSE51975_C_v_OVOL2_isoform_exp.diff.gz;bimodal;0.97;NA; NA

GSE52038;GSE52038_Supplementary-table-1-date11021.txt.gz;bimodal;0.85;NA; NA

GSE52058;GSE52058_Cuffdiff_Dana_TestisOvary.gene_exp.diff.gz;anti-conservative;0.35;NA; NA

GSE52058;GSE52058_Cuffdiff_Dpse_TestisOvary.gene_exp.diff.gz;anti-conservative;0.42;NA; NA

GSE52080;GSE52080_processed_data.txt.gz;bimodal;0.82;NA; NA

GSE52153;GSE52153_czt-1DMSOvsczt-1STS.txt.gz;anti-conservative;0.55;NA; NA

GSE52153;GSE52153_wtDMSOvsczt-1DMSO.txt.gz;bimodal;0.92;NA; NA

GSE52153;GSE52153_wtDMSOvswtSTS.txt.gz;anti-conservative;0.71;NA; NA

GSE52201;GSE52201_RNAseq_processed_data_L_D_siLSD1.txt.gz;conservative;1.00;NA; NA

GSE52284;GSE52284_gene_exp.diff.gz;bimodal;0.97;NA; NA

GSE52367;GSE52367_Cuflinks_2338_2339.txt.gz;conservative;1.00;NA; NA

GSE52385;GSE52385_siCtrl_VS_siSRA_assemblenewgenes.txt.gz;conservative;1.00;NA; NA

GSE52385;GSE52385_siCtrl_VS_siSRA_notassemblenewgenes.txt.gz;conservative;1.00;NA; NA

GSE52402;GSE52402_B19P16_B20P3_RPKM.txt.gz;anti-conservative;0.63;NA; NA

GSE52450;GSE52450_Cuffdiff_on_pre-pro-B_and_pro-B_aligned_reads_transcript_differential_expression_testing_Bv46.txt.gz;conservative;1.00;NA; NA

GSE52502;GSE52502_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE52551;GSE52551_delta_Rv3263_expr.txt.gz;other;1.00;NA; NA

GSE52911;GSE52911_gene_exp.txt.gz;conservative;1.00;NA; NA

GSE53022;GSE53022_mt_vs_wt.DESeq.txt.gz;conservative;1.00;other;1.00

GSE53040;GSE53040_wtDMSOvswtD1.txt.gz;bimodal;0.93;NA; NA

GSE53040;GSE53040_wtDMSOvswtTX129.txt.gz;conservative;1.00;NA; NA

GSE53040;GSE53040_wtDMSOvswtTX34.txt.gz;bimodal;0.98;NA; NA

GSE53040;GSE53040_wtDMSOvswtTX87.txt.gz;conservative;0.94;NA; NA

GSE53040;GSE53040_wtDMSOvswtXP13.txt.gz;anti-conservative;0.69;NA; NA

GSE53470;GSE53470_gene_exp_P251_PCJ_3rep_combined.diff.gz;conservative;1.00;NA; NA

GSE53470;GSE53470_gene_exp_P251_PJD_3rep_combined.diff.gz;conservative;1.00;NA; NA

GSE53599;GSE53599_D5-1322_vs_RLuc-713_24hrs.txt.gz;conservative;1.00;NA; NA

GSE53599;GSE53599_D5-1322_vs_RLuc-713_48hrs.txt.gz;conservative;0.99;NA; NA

GSE53599;GSE53599_D5-2086_vs_RLuc-713_24hrs.txt.gz;conservative;1.00;NA; NA

GSE53599;GSE53599_D5-2086_vs_RLuc-713_48hrs.txt.gz;conservative;0.97;NA; NA

GSE53653;GSE53653_st10.5_Foxh1_MO_gene_exp_diff.txt.gz;conservative;0.99;NA; NA

GSE53653;GSE53653_st10.5_SB431542_gene_exp_diff.txt.gz;conservative;1.00;NA; NA

GSE53789;GSE53789_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

