Accession,PDAT,suppdata_id,Type,pi0,SRP,fp,rs,ud,QCType,Type_after_filter,QCType_after_filter,SRP_after_filter,pi0_after_filter,fp_after_filter,rs_after_filter,ud_after_filter,SRP_pi0method_hist,pi0_pi0method_hist,fp_pi0method_hist,rs_pi0method_hist,ud_pi0method_hist,SRP_after_filter_pi0method_hist,pi0_after_filter_pi0method_hist,fp_after_filter_pi0method_hist,rs_after_filter_pi0method_hist,ud_after_filter_pi0method_hist,model,taxon,PubMedIds,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,citations,source,issn,total_cites,IF,impact_factor_without_journal_self_cites,5-year_impact_factor,immediacy_index,citable_items,cited_half-life,citing_half-life,eigenfactor_score,article_influence_score,%_articles_in_citable_items,average_journal_impact_factor_percentile,normalized_eigenfactor
GSE100175,2017-10-11,GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_LRT,uniform,NA,NA,NA,NA,NA,NA,NA,NA,0.40640531954010084,0.7993704259580707,8.6,66.40662921285248,238.66166638002628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,29018326,2017,2017 Sep 26,Front Mol Neurosci,Lopes DMDenk FMcMahon SB,McMahon SB,The Molecular Fingerprint of Dorsal Root and Trigeminal Ganglion Neurons.,10,NA,304,English,101477914,NA,1662-5099,Journal Article,PubMed,NA,2901832610.3389/fnmol.2017.00304PMC56231882901832629018326pmc-id: PMC5623188;,10.3389/fnmol.2017.00304,2017/07/10 00:002017/09/11 00:002017/10/12 06:002017/10/12 06:002017/10/12 06:01,NA,1,9,frontiers in molecular neuroscience,doi: 10.3389/fnmol.2017.00304,2017;10:304,18,front mol neurosci,1662-5099,1979,5.076,4.894,4.740,0.255,165,3.4,7.8,0.0085,1.615,74.550,83.977,0.97672
GSE100175,2017-10-11,GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_WALD,uniform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,29018326,2017,2017 Sep 26,Front Mol Neurosci,Lopes DMDenk FMcMahon SB,McMahon SB,The Molecular Fingerprint of Dorsal Root and Trigeminal Ganglion Neurons.,10,NA,304,English,101477914,NA,1662-5099,Journal Article,PubMed,NA,2901832610.3389/fnmol.2017.00304PMC56231882901832629018326pmc-id: PMC5623188;,10.3389/fnmol.2017.00304,2017/07/10 00:002017/09/11 00:002017/10/12 06:002017/10/12 06:002017/10/12 06:01,NA,1,9,frontiers in molecular neuroscience,doi: 10.3389/fnmol.2017.00304,2017;10:304,18,front mol neurosci,1662-5099,1979,5.076,4.894,4.740,0.255,165,3.4,7.8,0.0085,1.615,74.550,83.977,0.97672
GSE100175,2017-10-11,GSE100175_Supplementary_Table_1.xlsx-sheet-male_female+interactions_WALD,uniform,NA,NA,NA,NA,NA,NA,NA,NA,0.4819082363940722,0.8004090169259666,10.15,92.93600338859682,207.32992106343707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,29018326,2017,2017 Sep 26,Front Mol Neurosci,Lopes DMDenk FMcMahon SB,McMahon SB,The Molecular Fingerprint of Dorsal Root and Trigeminal Ganglion Neurons.,10,NA,304,English,101477914,NA,1662-5099,Journal Article,PubMed,NA,2901832610.3389/fnmol.2017.00304PMC56231882901832629018326pmc-id: PMC5623188;,10.3389/fnmol.2017.00304,2017/07/10 00:002017/09/11 00:002017/10/12 06:002017/10/12 06:002017/10/12 06:01,NA,1,9,frontiers in molecular neuroscience,doi: 10.3389/fnmol.2017.00304,2017;10:304,18,front mol neurosci,1662-5099,1979,5.076,4.894,4.740,0.255,165,3.4,7.8,0.0085,1.615,74.550,83.977,0.97672
GSE100175,2017-10-11,GSE100175_Supplementary_Table_1.xlsx-sheet-male_vs_female_WALD,uniform,NA,NA,NA,NA,NA,NA,NA,NA,0.49283418376443466,0.7509301713738786,12.850000000000001,120.32546596608671,251.2498891373554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,29018326,2017,2017 Sep 26,Front Mol Neurosci,Lopes DMDenk FMcMahon SB,McMahon SB,The Molecular Fingerprint of Dorsal Root and Trigeminal Ganglion Neurons.,10,NA,304,English,101477914,NA,1662-5099,Journal Article,PubMed,NA,2901832610.3389/fnmol.2017.00304PMC56231882901832629018326pmc-id: PMC5623188;,10.3389/fnmol.2017.00304,2017/07/10 00:002017/09/11 00:002017/10/12 06:002017/10/12 06:002017/10/12 06:01,NA,1,9,frontiers in molecular neuroscience,doi: 10.3389/fnmol.2017.00304,2017;10:304,18,front mol neurosci,1662-5099,1979,5.076,4.894,4.740,0.255,165,3.4,7.8,0.0085,1.615,74.550,83.977,0.97672
GSE100245,2017-10-04,GSE100245_gene_exp-proc.diff.txt.gz,anti-conservative,0.572831163415824,0.9851521087480417,209.35000000000002,3918.5902853616476,59.949843393632364,NA,NA,NA,NA,NA,NA,NA,NA,0.8327914697613207,0.4946798863430264,209.35000000000002,3312.552989696117,798.635714285715,NA,NA,NA,NA,NA,Other taxa,Ramichloridium luteum,28915794,2017 Sep 15,2017 Sep 15,BMC Genomics,Wang BLiang XGleason MLZhang RSun G,Sun G,Genome sequence of the ectophytic fungus Ramichloridium luteum reveals unique evolutionary adaptations to plant surface niche.,18,1,729,English,100965258,NA,1471-2164,Journal Article,PubMed - indexed for MEDLINE,epublish,2891579410.1186/s12864-017-4118-310.1186/s12864-017-4118-3PMC56028602891579428915794pmc-id: PMC5602860;,10.1186/s12864-017-4118-3,2017/04/12 00:002017/09/05 00:002017/09/17 06:002017/09/17 06:002018/05/01 06:00,NA,1,1,bmc genomics,doi: 10.1186/s12864-017-4118-3,2017 Sep 15;18(1):729,2,bmc genomics,1471-2164,34013,3.729,3.518,4.284,0.604,975,4.5,7.1,0.09829,1.341,100.000,74.398,11.27445
GSE100277,2017-08-17,GSE100277_Mett3_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,28792938,2017 Aug 17,2017 Aug 9,Nature,Li HBTong JZhu SBatista PJDuffy EEZhao JBailis WCao GKroehling LChen YWang GBroughton JPChen YGKluger YSimon MDChang HYYin ZFlavell RA,Flavell RA,m<sup>6</sup>A mRNA methylation controls T cell homeostasis by targeting the IL-7/STAT5/SOCS pathways.,548,7667,338-342,English,0410462,0028-0836,1476-4687,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28792938nature2345010.1038/nature23450PMC5729908NIHMS8899572879293828792938pmc-id: PMC5729908;manuscript-id: NIHMS889957;,10.1038/nature23450,2016/10/03 00:002017/06/30 00:002017/08/10 06:002018/01/23 06:002017/08/10 06:00,Immunol Cell Biol. 2017 Nov;95(10):855-856. PMID: 28925383,1,47,nature,doi: 10.1038/nature23450,2017 Aug 17;548(7667):338-342,NA,nature,0028-0836,671254,40.137,39.533,43.769,9.129,879,>10.0,6.0,1.43257,22.987,95.900,99.219,164.32121
GSE100332,2017-08-17,GSE100332_Input_Mett3gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,28792938,2017 Aug 17,2017 Aug 9,Nature,Li HBTong JZhu SBatista PJDuffy EEZhao JBailis WCao GKroehling LChen YWang GBroughton JPChen YGKluger YSimon MDChang HYYin ZFlavell RA,Flavell RA,m<sup>6</sup>A mRNA methylation controls T cell homeostasis by targeting the IL-7/STAT5/SOCS pathways.,548,7667,338-342,English,0410462,0028-0836,1476-4687,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28792938nature2345010.1038/nature23450PMC5729908NIHMS8899572879293828792938pmc-id: PMC5729908;manuscript-id: NIHMS889957;,10.1038/nature23450,2016/10/03 00:002017/06/30 00:002017/08/10 06:002018/01/23 06:002017/08/10 06:00,Immunol Cell Biol. 2017 Nov;95(10):855-856. PMID: 28925383,1,47,nature,doi: 10.1038/nature23450,2017 Aug 17;548(7667):338-342,NA,nature,0028-0836,671254,40.137,39.533,43.769,9.129,879,>10.0,6.0,1.43257,22.987,95.900,99.219,164.32121
GSE100355,2018-06-20,GSE100355_Diff_mcPC_VSMC.txt.gz,anti-conservative,0.26491142602179873,0.8925469547836412,504.3,8552.117156650414,1153.5335343776533,NA,NA,NA,0.9272434811444428,0.11397226206998706,57.25,1008.6090966148677,85.35072501933723,0.8421744990038672,0.22094403359810097,504.3,8069.463397105354,1795.633333333335,0.9110134003350083,0.09818731117824774,57.25,990.9548262144053,106.25,Other taxa,Rattus norvegicus,30116021,2018 Aug 16,2018 Aug 16,Sci Rep,Chasseigneaux SMoraca YCochois-Guégan VBoulay ACGilbert ALe Crom SBlugeon CFirmo CCisternino SLaplanche JLCuris EDeclèves XSaubaméa B,Saubaméa B,Isolation and differential transcriptome of vascular smooth muscle cells and mid-capillary pericytes from the rat brain.,8,1,12272,English,101563288,NA,2045-2322,Journal Article,PubMed - in process,epublish,3011602110.1038/s41598-018-30739-510.1038/s41598-018-30739-5PMC60958523011602130116021pmc-id: PMC6095852;,10.1038/s41598-018-30739-5,2018/02/15 00:002018/07/20 00:002018/08/18 06:002018/08/18 06:002018/08/18 06:00,NA,1,0,scientific reports,doi: 10.1038/s41598-018-30739-5,2018 Aug 16;8(1):12272,3,sci rep-uk,2045-2322,101255,4.259,3.781,4.847,0.647,20517,2.0,7.1,0.38736,1.484,99.790,85.156,44.41661
GSE100367,2018-02-13,GSE100367_CL6566_vs_CL6364_processed.txt.gz,other,NA,NA,NA,NA,NA,NA,NA,NA,0.5884833346848475,0.83286088141942,4.1000000000000005,45.84285177194961,54.47418191581933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Danio rerio,29391432,2018 Feb 1,2018 Feb 1,Sci Rep,Huff Mda Silveira WACarnevali ORenaud LHardiman G,Hardiman G,Systems Analysis of the Liver Transcriptome in Adult Male Zebrafish Exposed to the Plasticizer (2-Ethylhexyl) Phthalate (DEHP).,8,1,2118,English,101563288,NA,2045-2322,Journal Article,PubMed - indexed for MEDLINE,epublish,2939143210.1038/s41598-018-20266-810.1038/s41598-018-20266-8PMC57948892939143229391432pmc-id: PMC5794889;,10.1038/s41598-018-20266-8,2017/08/08 00:002018/01/15 00:002018/02/03 06:002018/02/03 06:002019/01/10 06:00,NA,1,2,scientific reports,doi: 10.1038/s41598-018-20266-8,2018 Feb 1;8(1):2118,8,sci rep-uk,2045-2322,101255,4.259,3.781,4.847,0.647,20517,2.0,7.1,0.38736,1.484,99.790,85.156,44.41661
GSE100367,2018-02-13,GSE100367_CL6768_vs_CL6364_processed.txt.gz,other,NA,NA,NA,NA,NA,NA,NA,NA,0.6466977937319353,0.7000182672141761,8.25,101.36987916748085,85.63524009094567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Danio rerio,29391432,2018 Feb 1,2018 Feb 1,Sci Rep,Huff Mda Silveira WACarnevali ORenaud LHardiman G,Hardiman G,Systems Analysis of the Liver Transcriptome in Adult Male Zebrafish Exposed to the Plasticizer (2-Ethylhexyl) Phthalate (DEHP).,8,1,2118,English,101563288,NA,2045-2322,Journal Article,PubMed - indexed for MEDLINE,epublish,2939143210.1038/s41598-018-20266-810.1038/s41598-018-20266-8PMC57948892939143229391432pmc-id: PMC5794889;,10.1038/s41598-018-20266-8,2017/08/08 00:002018/01/15 00:002018/02/03 06:002018/02/03 06:002019/01/10 06:00,NA,1,2,scientific reports,doi: 10.1038/s41598-018-20266-8,2018 Feb 1;8(1):2118,8,sci rep-uk,2045-2322,101255,4.259,3.781,4.847,0.647,20517,2.0,7.1,0.38736,1.484,99.790,85.156,44.41661
GSE100414,2018-02-16,GSE100414_DN345_KK43_DESeq2.txt.gz,anti-conservative,0.5620168227625434,0.8981512988416012,97.35000000000001,1661.2655499023674,209.7468993705213,NA,NA,NA,0.8527383336055769,0.32463838782029764,40.95,663.473060461819,134.3635380547779,0.8324257425742574,0.5274351339855381,97.35000000000001,1539.6962747524751,372.35000000000014,0.7877657779277759,0.2689365901801135,40.95,612.921163516706,209.61666666666667,Other taxa,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28874555,2017 Sep 19,2017 Sep 5,Proc Natl Acad Sci U S A,Choi EHan YCho YJNam DLee EJ,Lee EJ,A <i>trans</i>-acting leader RNA from a <i>Salmonella</i> virulence gene.,114,38,10232-10237,English,7505876,0027-8424,1091-6490,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28874555170543711410.1073/pnas.1705437114PMC56172742887455528874555pmc-id: PMC5617274;,10.1073/pnas.1705437114,2017/09/07 06:002018/06/09 06:002017/09/07 06:00,Trends Microbiol. 2017 Dec;25(12):953-954. PMID: 29097088,1,3,proceedings of the national academy of sciences of the united states of america,doi: 10.1073/pnas.1705437114,2017 Sep 19;114(38):10232-10237,NA,p natl acad sci usa,0027-8424,620027,9.661,9.373,10.414,1.819,3187,9.0,7.5,1.23581,4.724,100.000,94.531,141.73132
GSE100421,2018-05-10,GSE100421_E8.5vsE10.5_Cuffdiff_gene_exp.xlsx,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,29745900,2018 May 10,2018 May 10,Elife,Chau KFShannon MLFame RMFonseca EMullan HJohnson MBSendamarai AKSpringel MWLaurent BLehtinen MK,Lehtinen MK,Downregulation of ribosome biogenesis during early forebrain development.,7,NA,NA,English,101579614,NA,2050-084X,Journal Article,PubMed - indexed for MEDLINE,epublish,2974590010.7554/eLife.3699836998PMC59840362974590029745900pmc-id: PMC5984036;,10.7554/eLife.36998,2018/03/28 00:002018/05/09 00:002018/05/11 06:002019/05/16 06:002018/05/11 06:00,NA,1,2,elife,pii: e36998. doi: 10.7554/eLife.36998,2018 May 10;7,4,elife,2050-084X,15730,7.725,7.393,8.385,1.331,1097,2.1,7.7,0.1303,5.339,100.000,95.882,14.93974
GSE100421,2018-05-10,GSE100421_WTvsOE_Cuffdiff_gene_exp.xlsx,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,29745900,2018 May 10,2018 May 10,Elife,Chau KFShannon MLFame RMFonseca EMullan HJohnson MBSendamarai AKSpringel MWLaurent BLehtinen MK,Lehtinen MK,Downregulation of ribosome biogenesis during early forebrain development.,7,NA,NA,English,101579614,NA,2050-084X,Journal Article,PubMed - indexed for MEDLINE,epublish,2974590010.7554/eLife.3699836998PMC59840362974590029745900pmc-id: PMC5984036;,10.7554/eLife.36998,2018/03/28 00:002018/05/09 00:002018/05/11 06:002019/05/16 06:002018/05/11 06:00,NA,1,2,elife,pii: e36998. doi: 10.7554/eLife.36998,2018 May 10;7,4,elife,2050-084X,15730,7.725,7.393,8.385,1.331,1097,2.1,7.7,0.1303,5.339,100.000,95.882,14.93974
GSE100484,2018-06-13,GSE100484_HL-60_Parental_vs_JMJD3_KO.diff.exp.xls.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100578,2018-12-31,GSE100578_A512P_vs_WT.txt.gz,anti-conservative,0.7765954860794038,NA,NA,NA,NA,NA,NA,NA,0.7648862903565716,0.5266238568982182,39.6,575.5004448642845,231.2756253655026,0.9733990147783249,0.7575315195753152,187.20000000000002,3462.1856157635457,97.20000000000073,0.6351153629712999,0.42990054539621425,39.6,477.860799099606,432.26666666666677,Other taxa,Drosophila melanogaster,29490272,2018 Feb 27,NA,Cell Rep,Zamurrad SHatch HAMDrelon CBelalcazar HMSecombe J,Secombe J,A Drosophila Model of Intellectual Disability Caused by Mutations in the Histone Demethylase KDM5.,22,9,2359-2369,English,101573691,NA,2211-1247,Journal Article,PubMed - indexed for MEDLINE,ppublish,29490272S2211-1247(18)30186-410.1016/j.celrep.2018.02.018PMC5854480NIHMS9492252949027229490272pmc-id: PMC5854480;manuscript-id: NIHMS949225;,10.1016/j.celrep.2018.02.018,2017/06/26 00:002017/12/08 00:002018/02/05 00:002018/03/01 06:002018/03/01 06:002019/06/19 06:00,NA,1,5,cell reports,doi: 10.1016/j.celrep.2018.02.018,2018 Feb 27;22(9):2359-2369,10,cell rep,2211-1247,20705,8.282,8.046,8.728,1.429,1062,2.5,6.5,0.15837,5.023,100.000,86.579,18.17468
GSE100578,2018-12-31,GSE100578_jmjc_vs_WT.txt.gz,anti-conservative,0.7048032894712041,0.9769895932018111,228.75,4246.241019453371,102.3644276689547,NA,NA,NA,0.7871918177940315,0.42504654860506746,49.5,740.3539046352865,254.25327199867002,0.9043383270911364,0.6810882548108826,228.75,3930.4804541198514,459.7499999999982,0.7040841790051572,0.35718105015506363,49.5,662.1911703543503,395.27777777777783,Other taxa,Drosophila melanogaster,29490272,2018 Feb 27,NA,Cell Rep,Zamurrad SHatch HAMDrelon CBelalcazar HMSecombe J,Secombe J,A Drosophila Model of Intellectual Disability Caused by Mutations in the Histone Demethylase KDM5.,22,9,2359-2369,English,101573691,NA,2211-1247,Journal Article,PubMed - indexed for MEDLINE,ppublish,29490272S2211-1247(18)30186-410.1016/j.celrep.2018.02.018PMC5854480NIHMS9492252949027229490272pmc-id: PMC5854480;manuscript-id: NIHMS949225;,10.1016/j.celrep.2018.02.018,2017/06/26 00:002017/12/08 00:002018/02/05 00:002018/03/01 06:002018/03/01 06:002019/06/19 06:00,NA,1,5,cell reports,doi: 10.1016/j.celrep.2018.02.018,2018 Feb 27;22(9):2359-2369,10,cell rep,2211-1247,20705,8.282,8.046,8.728,1.429,1062,2.5,6.5,0.15837,5.023,100.000,86.579,18.17468
GSE100632,2017-08-12,GSE100632_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Rattus norvegicus,28912732,2017,2017 Aug 31,Front Physiol,Sun JZhang SShi BZheng DShi J,Shi J,Transcriptome Identified lncRNAs Associated with Renal Fibrosis in UUO Rat Model.,8,NA,658,English,101549006,NA,1664-042X,Journal Article,PubMed,NA,2891273210.3389/fphys.2017.00658PMC55832122891273228912732pmc-id: PMC5583212;,10.3389/fphys.2017.00658,2017/04/28 00:002017/08/17 00:002017/09/16 06:002017/09/16 06:002017/09/16 06:01,NA,1,5,frontiers in physiology,doi: 10.3389/fphys.2017.00658,2017;8:658,NA,front physiol,1664-042X,7664,4.134,3.948,4.187,0.479,622,3.0,8.5,0.03135,1.260,77.650,82.738,3.59024
