Accession,annot,organism,taxid,organism2,taxid2
GSE100384,GPL22245,Homo sapiens,9606,NA,NA
GSE100389,GPL17021,Mus musculus,10090,NA,NA
GSE100392,GPL20301,Homo sapiens,9606,NA,NA
GSE100399,GPL16791,Homo sapiens,9606,NA,NA
GSE100402,GPL13112,Mus musculus,10090,NA,NA
GSE100406,GPL17021,Mus musculus,10090,NA,NA
GSE100408,GPL11154,Homo sapiens,9606,NA,NA
GSE100411,GPL17021,Mus musculus,10090,NA,NA
GSE100414,GPL23619,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,588858,NA,NA
GSE100416,GPL23620,Streptococcus salivarius,1304,NA,NA
GSE100417,GPL11154,Homo sapiens,9606,NA,NA
GSE100421,GPL13112,Mus musculus,10090,NA,NA
GSE100421,GPL17021,Mus musculus,10090,NA,NA
GSE100423,GPL23621,Setaria viridis,4556,NA,NA
GSE100425,GPL17021,Mus musculus,10090,NA,NA
GSE100426,GPL19057,Mus musculus,10090,NA,NA
GSE100449,GPL17021,Mus musculus,10090,NA,NA
GSE100454,GPL14844,Rattus norvegicus,10116,NA,NA
GSE100457,GPL13112,Mus musculus,10090,NA,NA
GSE100457,GPL17021,Mus musculus,10090,NA,NA
GSE100460,GPL13112,Mus musculus,10090,NA,NA
GSE100469,GPL18573,Homo sapiens,9606,NA,NA
GSE100471,GPL21103,Mus musculus,10090,NA,NA
GSE100472,GPL16791,Homo sapiens,9606,NA,NA
GSE100473,GPL17021,Mus musculus,10090,NA,NA
GSE100483,GPL16791,Homo sapiens,9606,NA,NA
GSE100484,GPL20301,Homo sapiens,9606,NA,NA
GSE100512,GPL23627,Citrus unshiu,55188,NA,NA
GSE100520,GPL11154,Homo sapiens,9606,NA,NA
GSE100522,GPL13112,Mus musculus,10090,NA,NA
GSE100526,GPL17021,Mus musculus,10090,NA,NA
GSE100532,GPL18635,Mus musculus,10090,NA,NA
GSE100535,GPL19057,Mus musculus,10090,NA,NA
GSE100539,GPL16164,Neurospora crassa,5141,NA,NA
GSE100542,GPL18480,Mus musculus,10090,NA,NA
GSE100545,GPL19528,Drosophila melanogaster,7227,NA,NA
GSE100547,GPL19528,Drosophila melanogaster,7227,NA,NA
GSE100552,GPL23630,Acinetobacter baumannii,470,NA,NA
GSE100554,GPL23631,Varroa destructor,109461,NA,NA
GSE100560,GPL21493,Mus musculus,10090,NA,NA
GSE100562,GPL16791,Homo sapiens,9606,NA,NA
GSE100568,GPL11154,Homo sapiens,9606,NA,NA
GSE100570,GPL9250,Mus musculus,10090,NA,NA
GSE100572,GPL18573,Homo sapiens,9606,NA,NA
GSE100574,GPL21290,Homo sapiens,9606,NA,NA
GSE100576,GPL18573,Homo sapiens,9606,NA,NA
GSE100578,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE100579,GPL17021,Mus musculus,10090,NA,NA
GSE100581,GPL19057,Mus musculus,10090,NA,NA
GSE100582,GPL19442,Acinetobacter baumannii,470,NA,NA
GSE100584,GPL18635,Mus musculus,10090,NA,NA
GSE100586,GPL18635,Mus musculus,10090,NA,NA
GSE100587,GPL11154,Homo sapiens,9606,NA,NA
GSE100588,GPL21103,Mus musculus,10090,NA,NA
GSE100597,GPL17021,Mus musculus,10090,NA,NA
GSE100601,GPL17021,Mus musculus,10090,NA,NA
GSE100602,GPL22157,Trichoderma reesei,51453,NA,NA
GSE100606,GPL20795,Homo sapiens,9606,NA,NA
GSE100608,GPL19057,Mus musculus,10090,NA,NA
GSE100609,GPL16699,Homo sapiens,9606,NA,NA
GSE100618,GPL20301,Homo sapiens,9606,NA,NA
GSE100620,GPL19057,Mus musculus,10090,NA,NA
GSE100623,GPL18245,Caenorhabditis elegans,6239,NA,NA
GSE100623,GPL19757,Caenorhabditis elegans,6239,NA,NA
GSE100624,GPL17303,Homo sapiens,9606,NA,NA
GSE100626,GPL19756,Saccharomyces cerevisiae,4932,NA,NA
GSE100631,GPL18694,Rattus norvegicus,10116,NA,NA
GSE100632,GPL14844,Rattus norvegicus,10116,NA,NA
GSE100650,GPL26023,Photorhabdus laumondii subsp. laumondii TTO1,243265,NA,NA
GSE100659,GPL23641,Burkholderia thailandensis,57975,NA,NA
GSE100660,GPL22245,Homo sapiens,9606,NA,NA
GSE100669,GPL11154,Homo sapiens,9606,NA,NA
GSE100670,GPL16791,Homo sapiens,9606,NA,NA
GSE100673,GPL19005,Gallus gallus,9031,NA,NA
GSE100674,GPL13112,Mus musculus,10090,NA,NA
GSE100674,GPL17021,Mus musculus,10090,NA,NA
GSE100676,GPL11154,Homo sapiens,9606,NA,NA
GSE100679,GPL17021,Mus musculus,10090,NA,NA
GSE100684,GPL16791,Homo sapiens,9606,NA,NA
GSE100685,GPL17021,Mus musculus,10090,NA,NA
GSE100686,GPL21103,Mus musculus,10090,NA,NA
GSE100687,GPL16791,Homo sapiens,9606,NA,NA
GSE100694,GPL18573,Homo sapiens,9606,NA,NA
GSE100706,GPL13112,Mus musculus,10090,NA,NA
GSE100709,GPL16791,Homo sapiens,9606,NA,NA
GSE100713,GPL19290,Oryza sativa,4530,NA,NA
GSE100723,GPL18245,Caenorhabditis elegans,6239,NA,NA
GSE100727,GPL13112,Mus musculus,10090,NA,NA
GSE100732,GPL13112,Mus musculus,10090,NA,NA
GSE100737,GPL19036,Candida albicans,5476,NA,NA
GSE100745,GPL16791,Homo sapiens,9606,NA,NA
GSE100751,GPL18573,Homo sapiens,9606,NA,NA
GSE100764,GPL11154,Homo sapiens,9606,NA,NA
GSE100765,GPL23651,Sinorhizobium meliloti,382,NA,NA
GSE100771,GPL21626,Mus musculus,10090,NA,NA
GSE100791,GPL16791,Homo sapiens,9606,NA,NA
GSE100797,GPL11154,Homo sapiens,9606,NA,NA
GSE100807,GPL21103,Mus musculus,10090,NA,NA
GSE100810,GPL23658,Mus,10088,NA,NA
GSE100811,GPL17021,Mus musculus,10090,NA,NA
GSE100816,GPL13112,Mus musculus,10090,NA,NA
GSE100820,GPL13112,Mus musculus,10090,NA,NA
GSE100821,GPL18413,Danio rerio,7955,NA,NA
GSE100822,GPL13112,Mus musculus,10090,NA,NA
GSE100829,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE100839,GPL18573,Homo sapiens,9606,NA,NA
GSE100858,GPL18480,Mus musculus,10090,NA,NA
GSE100859,GPL18573,Homo sapiens,9606,NA,NA
GSE100861,GPL19057,Mus musculus,10090,NA,NA
GSE100863,GPL19057,Mus musculus,10090,NA,NA
GSE100866,GPL16791,Homo sapiens,9606,NA,NA
GSE100874,GPL21103,Mus musculus,10090,NA,NA
GSE100878,GPL11154,Homo sapiens,9606,NA,NA
GSE100881,GPL17021,Mus musculus,10090,NA,NA
GSE100882,GPL16791,Homo sapiens,9606,NA,NA
GSE100883,GPL23666,Eumetopias jubatus,34886,NA,NA
GSE100883,GPL23667,Eumetopias jubatus,34886,NA,NA
GSE100886,GPL13112,Mus musculus,10090,NA,NA
GSE100887,GPL13112,Mus musculus,10090,NA,NA
GSE100888,GPL13112,Mus musculus,10090,NA,NA
GSE100891,GPL20301,Homo sapiens,9606,NA,NA
GSE100892,GPL20828,Danio rerio,7955,NA,NA
GSE100895,GPL22141,Trypanosoma brucei brucei,5702,NA,NA
GSE100908,GPL19001,Cricetulus griseus,10029,NA,NA
GSE100908,GPL20904,Cricetulus griseus,10029,NA,NA
GSE100910,GPL20828,Danio rerio,7955,NA,NA
GSE100911,GPL20828,Danio rerio,7955,NA,NA
GSE100912,GPL14875,Danio rerio,7955,NA,NA
GSE100914,GPL17021,Mus musculus,10090,NA,NA
GSE100914,GPL23673,Brucella abortus 544,1169205,NA,NA
GSE100937,GPL17021,Mus musculus,10090,NA,NA
GSE100938,GPL21103,Mus musculus,10090,NA,NA
GSE100941,GPL17021,Mus musculus,10090,NA,NA
GSE100943,GPL20301,Homo sapiens,9606,NA,NA
GSE100944,GPL23675,Pseudomonas stutzeri,316,NA,NA
GSE100954,GPL19057,Mus musculus,10090,NA,NA
GSE100964,GPL17021,Mus musculus,10090,NA,NA
GSE100970,GPL23677,Salvia miltiorrhiza,226208,NA,NA
GSE100981,GPL17021,Mus musculus,10090,NA,NA
GSE100982,GPL20795,Homo sapiens,9606,NA,NA
GSE100983,GPL17021,Mus musculus,10090,NA,NA
GSE100990,GPL13112,Mus musculus,10090,NA,NA
GSE101050,GPL16791,Homo sapiens,9606,NA,NA
GSE101060,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE101061,GPL11154,Homo sapiens,9606,NA,NA
GSE101072,GPL23682,Clytia hemisphaerica,252671,NA,NA
GSE101075,GPL23683,Salmonella enterica subsp. enterica serovar Typhimurium,90371,NA,NA
GSE101078,GPL23684,Thermococcus paralvinellae,582419,NA,NA
GSE101084,GPL23686,Kryptolebias marmoratus,37003,NA,NA
GSE101086,GPL17225,Schizosaccharomyces pombe,4896,NA,NA
GSE101086,GPL23689,Schizosaccharomyces pombe,4896,NA,NA
GSE101091,GPL13112,Mus musculus,10090,NA,NA
GSE101092,GPL21103,Mus musculus,10090,NA,NA
GSE101097,GPL17021,Mus musculus,10090,NA,NA
GSE101104,GPL13112,Mus musculus,10090,NA,NA
GSE101108,GPL11154,Homo sapiens,9606,NA,NA
GSE101117,GPL21401,Equus caballus,9796,NA,NA
GSE101118,GPL18862,Triticum aestivum,4565,NA,NA
GSE101125,GPL13112,Mus musculus,10090,NA,NA
GSE101133,GPL20795,Homo sapiens,9606,NA,NA
GSE101142,GPL23692,Zobellia galactanivorans,63186,NA,NA
GSE101144,GPL17021,Mus musculus,10090,NA,NA
GSE101157,GPL20301,Homo sapiens,9606,NA,NA
GSE101167,GPL20301,Homo sapiens,9606,NA,NA
GSE101168,GPL16791,Homo sapiens,9606,NA,NA
GSE10119,GPL6355,marine metagenome,408172,NA,NA
GSE101199,GPL18413,Danio rerio,7955,NA,NA
GSE101200,GPL18413,Danio rerio,7955,NA,NA
GSE101204,GPL18413,Danio rerio,7955,NA,NA
GSE101232,GPL20301,Homo sapiens,9606,NA,NA
GSE101234,GPL20301,Homo sapiens,9606,NA,NA
GSE101287,GPL16791,Homo sapiens,9606,NA,NA
GSE101290,GPL13821,Saccharomyces cerevisiae,4932,NA,NA
GSE101290,GPL19756,Saccharomyces cerevisiae,4932,NA,NA
GSE101300,GPL11154,Homo sapiens,9606,NA,NA
GSE101303,GPL23698,Ipomoea batatas,4120,NA,NA
GSE101304,GPL23699,Hordeum vulgare,4513,NA,NA
GSE101312,GPL23701,Ophiocordyceps kimflemingiae,2019503,NA,NA
GSE101317,GPL23702,Drosophila melanogaster,7227,NA,NA
GSE101321,GPL21179,Arabidopsis thaliana,3702,NA,NA
GSE101334,GPL19057,Mus musculus,10090,NA,NA
GSE101336,GPL21103,Mus musculus,10090,NA,NA
GSE101341,GPL18573,Homo sapiens,9606,NA,NA
GSE101342,GPL16791,Homo sapiens,9606,NA,NA
GSE101343,GPL16791,Homo sapiens,9606,NA,NA
GSE101390,GPL18413,Danio rerio,7955,NA,NA
GSE101391,GPL13112,Mus musculus,10090,NA,NA
GSE101394,GPL19005,Gallus gallus,9031,NA,NA
GSE101395,GPL23777,Cloeon viridulum,1825471,NA,NA
GSE101396,GPL11154,Homo sapiens,9606,NA,NA
GSE101398,GPL15103,Mus musculus,10090,NA,NA
GSE101403,GPL19787,Gallus gallus,9031,NA,NA
GSE101404,GPL23506,Anser anser,8843,NA,NA
GSE101412,GPL20705,Neurospora crassa,5141,NA,NA
GSE101422,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE101423,GPL17021,Mus musculus,10090,NA,NA
GSE101423,GPL19057,Mus musculus,10090,NA,NA
GSE101424,GPL23778,Lactococcus lactis,1358,NA,NA
GSE101430,GPL23779,Pisum sativum,3888,NA,NA
GSE101452,GPL19005,Gallus gallus,9031,NA,NA
GSE101455,GPL19132,Drosophila melanogaster,7227,NA,NA
GSE101458,GPL17021,Mus musculus,10090,NA,NA
GSE101463,GPL19132,Drosophila melanogaster,7227,NA,NA
GSE101465,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE101467,GPL18573,Homo sapiens,9606,NA,NA
GSE101480,GPL15433,Homo sapiens,9606,NA,NA
GSE101487,GPL19057,Mus musculus,10090,NA,NA
GSE101488,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE101510,GPL17021,Mus musculus,10090,NA,NA
GSE101518,GPL18573,Homo sapiens,9606,NA,NA
GSE101521,GPL15520,Homo sapiens,9606,NA,NA
GSE101521,GPL16791,Homo sapiens,9606,NA,NA
GSE101526,GPL17303,Homo sapiens,9606,NA,NA
GSE101527,GPL13112,Mus musculus,10090,NA,NA
GSE101537,GPL19057,Mus musculus,10090,NA,NA
GSE101540,GPL11154,Homo sapiens,9606,NA,NA
GSE101541,GPL20301,Homo sapiens,9606,NA,NA
GSE101544,GPL14875,Danio rerio,7955,NA,NA
GSE101545,GPL23792,Salmo salar,8030,NA,NA
GSE101547,GPL11154,Homo sapiens,9606,NA,NA
GSE101549,GPL23793,Trichoplusia ni,7111,NA,NA
GSE101550,GPL21493,Mus musculus,10090,NA,NA
GSE101552,GPL17021,Mus musculus,10090,NA,NA
GSE101555,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE101565,GPL16791,Homo sapiens,9606,NA,NA
GSE101567,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE101571,GPL11154,Homo sapiens,9606,NA,NA
GSE101571,GPL13112,Mus musculus,10090,NA,NA
GSE101571,GPL16791,Homo sapiens,9606,NA,NA
GSE101577,GPL16791,Homo sapiens,9606,NA,NA
GSE101580,GPL23795,Staphylococcus aureus USA300-0114,1385527,NA,NA
GSE101583,GPL23797,Streptococcus pneumoniae,1313,NA,NA
GSE101594,GPL11154,Homo sapiens,9606,NA,NA
GSE101595,GPL11154,Homo sapiens,9606,NA,NA
GSE101596,GPL17021,Mus musculus,10090,NA,NA
GSE101601,GPL11154,Homo sapiens,9606,NA,NA
GSE101601,GPL13112,Mus musculus,10090,NA,NA
GSE101603,GPL15334,Drosophila melanogaster,7227,NA,NA
GSE101603,GPL23800,Drosophila virilis,7244,NA,NA
GSE101603,GPL23801,Drosophila yakuba,7245,NA,NA
GSE101605,GPL16790,Mus musculus,10090,NA,NA
GSE101608,GPL20301,Homo sapiens,9606,NA,NA
GSE101610,GPL13112,Mus musculus,10090,NA,NA
GSE101610,GPL19057,Mus musculus,10090,NA,NA
GSE101617,GPL23804,Macaca mulatta,9544,NA,NA
GSE101617,GPL23805,Cercocebus atys,9531,NA,NA
GSE101622,GPL19005,Gallus gallus,9031,NA,NA
GSE101623,GPL17021,Mus musculus,10090,NA,NA
GSE101624,GPL17021,Mus musculus,10090,NA,NA
GSE101638,GPL16791,Homo sapiens,9606,NA,NA
GSE101643,GPL19057,Mus musculus,10090,NA,NA
GSE101647,GPL18245,Caenorhabditis elegans,6239,NA,NA
GSE101655,GPL16791,Homo sapiens,9606,NA,NA
GSE101657,GPL13112,Mus musculus,10090,NA,NA
GSE101659,GPL17021,Mus musculus,10090,NA,NA
GSE101661,GPL11154,Homo sapiens,9606,NA,NA
GSE101662,GPL23808,Dicentrarchus labrax,13489,NA,NA
GSE101664,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE101664,GPL13311,Drosophila mojavensis,7230,NA,NA
GSE101664,GPL23809,Drosophila arizonae,7263,NA,NA
GSE101665,GPL18573,Homo sapiens,9606,NA,NA
GSE101668,GPL18573,Homo sapiens,9606,NA,NA
GSE101669,GPL23810,Ovis aries,9940,NA,NA
GSE101682,GPL19057,Mus musculus,10090,NA,NA
GSE101692,GPL15008,Glycine max,3847,NA,NA
GSE101693,GPL18413,Danio rerio,7955,NA,NA
GSE101697,GPL21941,Equus caballus,9796,NA,NA
GSE101699,GPL23814,Festuca arundinacea,4606,NA,NA
GSE101701,GPL17021,Mus musculus,10090,NA,NA
GSE101705,GPL18573,Homo sapiens,9606,NA,NA
GSE101708,GPL11154,Homo sapiens,9606,NA,NA
GSE101708,GPL16791,Homo sapiens,9606,NA,NA
GSE101712,GPL21103,Mus musculus,10090,NA,NA
GSE101719,GPL20828,Danio rerio,7955,NA,NA
GSE101722,GPL21103,Mus musculus,10090,NA,NA
GSE101726,GPL11154,Homo sapiens,9606,NA,NA
GSE101730,GPL17021,Mus musculus,10090,NA,NA
GSE101732,GPL17021,Mus musculus,10090,NA,NA
GSE101738,GPL16791,Homo sapiens,9606,NA,NA
GSE101744,GPL23820,Sulfolobus islandicus,43080,NA,NA
GSE101745,GPL18460,Homo sapiens,9606,NA,NA
GSE101746,GPL19787,Gallus gallus,9031,NA,NA
GSE101748,GPL17021,Mus musculus,10090,NA,NA
GSE101750,GPL16791,Homo sapiens,9606,NA,NA
GSE101753,GPL19057,Mus musculus,10090,NA,NA
GSE101754,GPL16791,Homo sapiens,9606,NA,NA
GSE101755,GPL23821,Daphnia magna,35525,NA,NA
GSE101756,GPL18573,Homo sapiens,9606,NA,NA
GSE101758,GPL16791,Homo sapiens,9606,NA,NA
GSE101762,GPL21785,Arabidopsis thaliana,3702,NA,NA
GSE101766,GPL16791,Homo sapiens,9606,NA,NA
GSE101767,GPL13112,Mus musculus,10090,NA,NA
GSE101769,GPL17021,Mus musculus,10090,NA,NA
GSE101770,GPL20301,Homo sapiens,9606,NA,NA
GSE101772,GPL17021,Mus musculus,10090,NA,NA
GSE101774,GPL17303,Homo sapiens,9606,NA,NA
GSE101778,GPL19231,Gossypium hirsutum,3635,NA,NA
GSE101782,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE101788,GPL11154,Homo sapiens,9606,NA,NA
GSE101797,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE101798,GPL18694,Rattus norvegicus,10116,NA,NA
GSE101801,GPL13112,Mus musculus,10090,NA,NA
GSE101808,GPL17021,Mus musculus,10090,NA,NA
GSE101810,GPL13112,Mus musculus,10090,NA,NA
GSE101815,GPL11002,Mus musculus,10090,NA,NA
GSE101818,GPL17021,Mus musculus,10090,NA,NA
GSE101821,GPL18460,Homo sapiens,9606,NA,NA
GSE101821,GPL18573,Homo sapiens,9606,NA,NA
GSE101823,GPL17021,Mus musculus,10090,NA,NA
GSE101823,GPL21103,Mus musculus,10090,NA,NA
GSE101824,GPL10999,Homo sapiens,9606,NA,NA
GSE101824,GPL18573,Homo sapiens,9606,NA,NA
GSE101825,GPL17021,Mus musculus,10090,NA,NA
GSE101826,GPL13112,Mus musculus,10090,NA,NA
GSE101826,GPL17021,Mus musculus,10090,NA,NA
GSE101826,GPL19057,Mus musculus,10090,NA,NA
GSE101833,GPL18573,Homo sapiens,9606,NA,NA
GSE101838,GPL19057,Mus musculus,10090,NA,NA
GSE101843,GPL18413,Danio rerio,7955,NA,NA
GSE101843,GPL23827,Danio rerio,7955,NA,NA
GSE101853,GPL16791,Homo sapiens,9606,NA,NA
GSE101853,GPL17021,Mus musculus,10090,NA,NA
GSE101857,GPL19778,Ovis aries,9940,NA,NA
GSE101859,GPL17021,Mus musculus,10090,NA,NA
GSE101860,GPL18573,Homo sapiens,9606,NA,NA
GSE101868,GPL16791,Homo sapiens,9606,NA,NA
GSE101868,GPL17021,Mus musculus,10090,NA,NA
GSE101869,GPL23829,Trametes cinnabarina,5643,NA,NA
GSE101871,GPL11154,Homo sapiens,9606,NA,NA
GSE101872,GPL11154,Homo sapiens,9606,NA,NA
GSE101877,GPL23830,Solea senegalensis,28829,NA,NA
GSE101878,GPL18573,Homo sapiens,9606,NA,NA
GSE101880,GPL11154,Homo sapiens,9606,NA,NA
GSE101883,GPL21103,Mus musculus,10090,NA,NA
GSE101893,GPL20656,Streptococcus pyogenes,1314,NA,NA
GSE101898,GPL13112,Mus musculus,10090,NA,NA
GSE101900,GPL11002,Mus musculus,10090,NA,NA
GSE101901,GPL17021,Mus musculus,10090,NA,NA
GSE101904,GPL20301,Homo sapiens,9606,NA,NA
GSE101905,GPL18480,Mus musculus,10090,NA,NA
GSE101909,GPL21103,Mus musculus,10090,NA,NA
GSE101910,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE101913,GPL18573,Homo sapiens,9606,NA,NA
GSE101915,GPL17021,Mus musculus,10090,NA,NA
GSE101915,GPL19057,Mus musculus,10090,NA,NA
GSE101917,GPL20084,Rattus norvegicus,10116,NA,NA
GSE101927,GPL10999,Homo sapiens,9606,NA,NA
GSE101939,GPL17021,Mus musculus,10090,NA,NA
GSE101942,GPL11154,Homo sapiens,9606,NA,NA
GSE101943,GPL17628,Zea mays,4577,NA,NA
GSE101944,GPL15922,Chlamydomonas reinhardtii,3055,NA,NA
GSE101946,GPL19132,Drosophila melanogaster,7227,NA,NA
GSE101960,GPL22096,Chlorocebus aethiops,9534,NA,NA
GSE101960,GPL23837,Chlorocebus aethiops,9534,NA,NA
GSE101963,GPL23838,Mycobacterium tuberculosis variant bovis,1765,NA,NA
GSE101964,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE101964,GPL18245,Caenorhabditis elegans,6239,NA,NA
GSE101964,GPL19757,Caenorhabditis elegans,6239,NA,NA
GSE101966,GPL16791,Homo sapiens,9606,NA,NA
GSE101966,GPL18573,Homo sapiens,9606,NA,NA
GSE101968,GPL16791,Homo sapiens,9606,NA,NA
GSE101972,GPL16791,Homo sapiens,9606,NA,NA
GSE101974,GPL16791,Homo sapiens,9606,NA,NA
GSE101974,GPL18573,Homo sapiens,9606,NA,NA
GSE101977,GPL19057,Mus musculus,10090,NA,NA
GSE101984,GPL16417,Mus musculus,10090,NA,NA
GSE101986,GPL11002,Mus musculus,10090,NA,NA
GSE101988,GPL11154,Homo sapiens,9606,NA,NA
GSE101991,GPL17021,Mus musculus,10090,NA,NA
GSE101992,GPL13112,Mus musculus,10090,NA,NA
GSE101993,GPL11154,Homo sapiens,9606,NA,NA
GSE101994,GPL19057,Mus musculus,10090,NA,NA
GSE101995,GPL17021,Mus musculus,10090,NA,NA
GSE101996,GPL17021,Mus musculus,10090,NA,NA
GSE101999,GPL21876,Candida tropicalis,5482,NA,NA
GSE102002,GPL15103,Mus musculus,10090,NA,NA
GSE102003,GPL14844,Rattus norvegicus,10116,NA,NA
GSE102004,GPL11154,Homo sapiens,9606,NA,NA
GSE102014,GPL17021,Mus musculus,10090,NA,NA
GSE102020,GPL17021,Mus musculus,10090,NA,NA
GSE102036,GPL17628,Zea mays,4577,NA,NA
GSE102039,GPL15645,Candida albicans,5476,NA,NA
GSE102041,GPL23843,Caldicellulosiruptor bescii,31899,NA,NA
GSE102045,GPL18460,Homo sapiens,9606,NA,NA
GSE102047,GPL18936,Xenopus laevis,8355,NA,NA
GSE102048,GPL19057,Mus musculus,10090,NA,NA
GSE102060,GPL14875,Danio rerio,7955,NA,NA
GSE102063,GPL18413,Danio rerio,7955,NA,NA
GSE102069,GPL16791,Homo sapiens,9606,NA,NA
GSE102069,GPL18573,Homo sapiens,9606,NA,NA
GSE102072,GPL17021,Mus musculus,10090,NA,NA
GSE102072,GPL19057,Mus musculus,10090,NA,NA
GSE102073,GPL16791,Homo sapiens,9606,NA,NA
GSE102086,GPL21103,Mus musculus,10090,NA,NA
GSE102090,GPL16791,Homo sapiens,9606,NA,NA
GSE102091,GPL15010,Escherichia coli str. K-12 substr. MG1655,511145,NA,NA
GSE102091,GPL17439,Escherichia coli str. K-12 substr. MG1655,511145,NA,NA
GSE102099,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE102107,GPL19057,Mus musculus,10090,NA,NA
GSE102112,GPL16791,Homo sapiens,9606,NA,NA
