suppdata_id,Filter,human,nnet,Type,classifier
GSE101142_Supplemental_table_1.txt.gz-set-2,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101142_Supplemental_table_1.txt.gz-set-2,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101157_LargeRNA.shL1.100hrs.293T.xlsx.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101157_LargeRNA.shL1.100hrs.293T.xlsx.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101167_LargeRNA.siL3-IDT_Dharmacon.48hrs.HeyA8.xlsx.gz-set-0,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101167_LargeRNA.siL3-IDT_Dharmacon.48hrs.HeyA8.xlsx.gz-set-0,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101167_LargeRNA.siL3-IDT_Dharmacon.48hrs.HeyA8.xlsx.gz-set-1,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101167_LargeRNA.siL3-IDT_Dharmacon.48hrs.HeyA8.xlsx.gz-set-1,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101232_LargeRNA.CD95L.50hrs.HeyA8.xlsx.gz,raw,bimodal,bimodal,bimodal,human
GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz-set-0,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz-set-0,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz-set-1,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz-set-1,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz-set-2,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz-set-2,raw,spiky,anti-conservative,spiky,human
GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz-set-3,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz-set-3,raw,spiky,anti-conservative,spiky,human
GSE101342_All_Genes_LincDUSP_V481_cells_DESeq2.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101342_All_Genes_LincDUSP_V481_cells_DESeq2.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101342_All_Genes_LincDUSP_V703_cells_DESeq2.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101342_All_Genes_LincDUSP_V703_cells_DESeq2.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101458_Lnc23_WT_KO_normalizedExpression.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101458_Lnc23_WT_KO_normalizedExpression.xlsx,raw,other,other,other,human
GSE101480_Group370_vs_GroupCtrl.all.gene.result.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101510_IRF4_master_table.csv.gz,raw,conservative,conservative,conservative,human
GSE101545_DiffExpr_diet_sw1_versus_control_Ssal_ref.xlsx,basemean,other,other,other,human
GSE101545_DiffExpr_diet_sw1_versus_control_Ssal_ref.xlsx,raw,conservative,conservative,conservative,human
GSE101545_DiffExpr_diet_sw1_versus_control.xlsx,basemean,other,other,other,human
GSE101545_DiffExpr_diet_sw1_versus_control.xlsx,raw,conservative,conservative,conservative,human
GSE101545_DiffExpr_diet_sw2_versus_control_Ssal_ref.xlsx,basemean,other,other,other,human
GSE101545_DiffExpr_diet_sw2_versus_control_Ssal_ref.xlsx,raw,conservative,conservative,conservative,human
GSE101545_DiffExpr_diet_sw2_versus_control.xlsx,basemean,other,other,other,human
GSE101545_DiffExpr_diet_sw2_versus_control.xlsx,raw,conservative,conservative,conservative,human
GSE101596_S14203_genesdiff_wo5.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101605_gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE101643_Z-STIM_vs_WT-STIM_diffexp.txt.gz,raw,other,other,other,human
GSE101664_Darz2r_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE101664_Dmel2r_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE101664_Dmoj2r_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE101762_srt1srt2_arivsC2H4.xlsx,raw,conservative,conservative,conservative,human
GSE101788_gene_exp.diff.gz,raw,bimodal,bimodal,bimodal,human
GSE101797_Galaxy333-Cuffdiff_gene_differential_expression_testing.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE101801_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE101833_ETS1_gene_exp_all.txt.gz,raw,conservative,conservative,conservative,human
GSE101868_Human_Macrophages_Epithelium.txt.gz-set-0,raw,conservative,conservative,conservative,human
GSE101868_Human_Macrophages_Epithelium.txt.gz-set-1,raw,bimodal,bimodal,bimodal,human
GSE101898_Galaxy122-_CellXtype_QKO_vs_QT7_.tabular.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101898_Galaxy122-_CellXtype_QKO_vs_QT7_.tabular.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101898_Galaxy123-_CellXtype_QKO_vs_QT7L1_.tabular.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101898_Galaxy123-_CellXtype_QKO_vs_QT7L1_.tabular.txt.gz,raw,spiky,anti-conservative,spiky,human
GSE101898_Galaxy124-_CellXtype_QT7_vs_QT7L1_.tabular.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101898_Galaxy124-_CellXtype_QT7_vs_QT7L1_.tabular.txt.gz,raw,uniform,uniform,uniform,human
GSE101898_Galaxy125-_CellXtype_WT_vs_QKO_.tabular.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101898_Galaxy125-_CellXtype_WT_vs_QKO_.tabular.txt.gz,raw,spiky,anti-conservative,spiky,human
GSE101898_Galaxy126-_CellXtype_WT_vs_QT7_.tabular.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101898_Galaxy126-_CellXtype_WT_vs_QT7_.tabular.txt.gz,raw,spiky,anti-conservative,spiky,human
GSE101898_Galaxy127-_CellXtype_WT_vs_QT7L1_.tabular.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101898_Galaxy127-_CellXtype_WT_vs_QT7L1_.tabular.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE101939_WT_E16_H2ZKO_E16.anno.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101994_bfx564.deseq.csv.gz,basemean,other,other,other,human
GSE101994_bfx564.deseq.csv.gz,raw,other,other,other,human
GSE101995_bfx556.deseq.csv.gz,basemean,other,other,other,human
GSE101995_bfx556.deseq.csv.gz,raw,other,spiky,other,human
GSE101996_bfx319.2month.table1.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101996_bfx319.2month.table1.csv.gz,raw,uniform,uniform,uniform,human
GSE101996_bfx319.2month.table2.csv.gz,basemean,other,uniform,other,human
GSE101996_bfx319.2month.table2.csv.gz,raw,other,uniform,other,human
GSE101996_bfx319.6month.table1.csv.gz,basemean,uniform,uniform,uniform,human
GSE101996_bfx319.6month.table1.csv.gz,raw,other,other,other,human
GSE101996_bfx319.6month.table2.csv.gz,basemean,other,other,other,human
GSE101996_bfx319.6month.table2.csv.gz,raw,other,other,other,human
GSE102060_BPA_vs_Control.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102060_BPA_vs_Control.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102138_Long_non_coding_RNA.txt.gz-set-0,raw,bimodal,bimodal,bimodal,human
GSE102138_Long_non_coding_RNA.txt.gz-set-1,raw,spiky,anti-conservative,spiky,human
GSE102138_Long_non_coding_RNA.txt.gz-set-2,raw,spiky,bimodal,spiky,human
GSE102138_Protein_Coding_Genes.txt.gz-set-0,raw,conservative,conservative,conservative,human
GSE102138_Protein_Coding_Genes.txt.gz-set-1,raw,conservative,conservative,conservative,human
GSE102138_Protein_Coding_Genes.txt.gz-set-2,raw,conservative,conservative,conservative,human
GSE102141_CYTB_gene_exp_diff.txt.gz,raw,conservative,conservative,conservative,human
GSE102142_FoxAaBra_gene_exp_diff.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE102221_DESeq_silver_uninfected_vs_silver_infected.xlsx,basemean,uniform,uniform,uniform,human
GSE102221_DESeq_silver_uninfected_vs_silver_infected.xlsx,raw,conservative,conservative,conservative,human
GSE102221_DESeq_yellow_uninfected_vs_yellow_infected.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102221_DESeq_yellow_uninfected_vs_yellow_infected.xlsx,raw,bimodal,bimodal,bimodal,human
GSE102231_ITeffhi_vs_ITefflo.gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE102231_STreghi_vs_ITreghi.gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE102231_STreghi_vs_STreglo.gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE102231_STreglo_vs_ITreglo.gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE102231_STregs_vs_ITreghi.gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE102231_STregs_vs_ITreglo.gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE102300_diffexpr-results.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102300_diffexpr-results.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102369_deseq_differential_expression_results.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102369_deseq_differential_expression_results.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102421_isoform_exp.diff.xlsx,raw,conservative,conservative,conservative,human
GSE102474_RNA_DESeq2.tsv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102474_RNA_DESeq2.tsv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102531_DE2output-280116.xlsx.gz-set-0,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102531_DE2output-280116.xlsx.gz-set-0,raw,spiky,anti-conservative,spiky,human
GSE102531_DE2output-280116.xlsx.gz-set-1,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102531_DE2output-280116.xlsx.gz-set-1,raw,bimodal,bimodal,bimodal,human
GSE102531_DE2output-280116.xlsx.gz-set-2,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102531_DE2output-280116.xlsx.gz-set-2,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102531_DE2output-280116.xlsx.gz-set-3,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102531_DE2output-280116.xlsx.gz-set-3,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102543_p179_normalized_counts_table.xls.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102543_p179_normalized_counts_table.xls.gz,raw,other,other,other,human
GSE102546_cuffdiff.gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE102546_deseq2.results.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102546_deseq2.results.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102595_SupplementalTable_Expression_and_SplicingChanges.xlsx-sheet-Splicing_allDEXseq3rep3cond,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102597_gene_exp.diff.gz,raw,bimodal,bimodal,bimodal,human
GSE102606_tail_siblings_mutants.txt.gz,raw,conservative,conservative,conservative,human
GSE102772_comparison_RNA_expression.xlsx-sheet-CASK,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102772_comparison_RNA_expression.xlsx-sheet-CASK,raw,spiky,spiky,spiky,human
GSE102772_comparison_RNA_expression.xlsx-sheet-MDX,basemean,other,other,other,human
GSE102772_comparison_RNA_expression.xlsx-sheet-MDX,raw,other,other,other,human
GSE102772_comparison_RNA_expression.xlsx-sheet-SAP97,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102772_comparison_RNA_expression.xlsx-sheet-SAP97,raw,spiky,spiky,spiky,human
GSE102779_SmallRNA_CD95L.50hrs.Drosha_ko.xlsx,raw,uniform,conservative,uniform,human
GSE102780_SmallRNA.CD95L.50hrs.HeyA8.xlsx,raw,conservative,conservative,conservative,human
GSE102793_deseq2_genes.tsv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102793_deseq2_genes.tsv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102842_Input_gfp-La_WT_vs_RNA_IP_gfp-La_WT.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102872_DESeq_12h_vs_0h.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102872_DESeq_12h_vs_0h.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102872_DESeq_12h_vs_3h.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102872_DESeq_12h_vs_3h.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102872_DESeq_3h_vs_0h.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE102872_DESeq_3h_vs_0h.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE102987_klph_ko_wt_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE103167_rat_gene_exp_diff_ensemble_anno.xlsx-sheet-Sheet1,raw,conservative,conservative,conservative,human
GSE103207_ALV_J36h_vs_NC36h.Differential_analysis_results.xlsx-sheet-Sheet1,raw,conservative,conservative,conservative,human
GSE103207_ALV_J3h_vs_NC3h.Differential_analysis_results.xlsx-sheet-Sheet1,raw,conservative,conservative,conservative,human
GSE103400_HNC3-_vs_+.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE103400_HNC3-_vs_+.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE103405_Table_S1.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE103405_Table_S1.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE103415_DESeq2_genes_diffexp_by_fc_wildtype_vs_knockout.xls.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE103415_DESeq2_genes_diffexp_by_fc_wildtype_vs_knockout.xls.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE103531_summary_lad1.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE103531_summary_lad1.csv.gz,raw,spiky,bimodal,spiky,human
GSE103537_CD4low_GSE71645_diff.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE103537_CD4low_GSE71645_diff.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE103607_deseq.toptable.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE103607_deseq.toptable.xlsx,raw,spiky,anti-conservative,spiky,human
GSE103670_gene_exp.diff.gz,raw,bimodal,bimodal,bimodal,human
GSE103742_CUFFDIFF_PLZF_SFD.txt.gz,raw,conservative,conservative,conservative,human
GSE103747_All_info.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE103868_DESeq2_Results_01_MockTransfected_Vs_Untransfected.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE103868_DESeq2_Results_01_MockTransfected_Vs_Untransfected.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE103914_ZLD_differential_gene_expression.csv.gz,raw,conservative,conservative,conservative,human
GSE103923_Unstr_DE_All_WT_vs_MUT_NormCounts.txt.gz,basemean,other,other,other,human
GSE103923_Unstr_DE_All_WT_vs_MUT_NormCounts.txt.gz,raw,conservative,conservative,conservative,human
GSE103949_Liver-RNASeq.diff.gz,raw,conservative,conservative,conservative,human
GSE103999_mStromal_WTvHet_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE104049_DESeq2.GMC3hvsNB3h.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE104049_DESeq2.GMC3hvsNB3h.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104049_DESeq2.GMC5hvsNB5h.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE104049_DESeq2.GMC5hvsNB5h.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104049_DESeq2.GMC90mvsNB90m.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE104049_DESeq2.GMC90mvsNB90m.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104065_NSCs_E12KOvsWt_DESeq.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE104065_NSCs_E12KOvsWt_DESeq.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104065_NSCs_E47KOvsWt_DESeq.txt.gz,basemean,other,spiky,other,human
GSE104065_NSCs_E47KOvsWt_DESeq.txt.gz,raw,uniform,uniform,uniform,human
GSE104090_Isoform_processed_data.xlsx,raw,conservative,conservative,conservative,human
GSE104090_Processed_data.xlsx-sheet-gene_exp.diff,raw,conservative,conservative,conservative,human
GSE104286_Gene_differential_expression.xlsx,raw,conservative,conservative,conservative,human
GSE104290_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE104336_nm-vs-hf_rna-seq_raw_data_Fall_2016.csv.gz,raw,conservative,conservative,conservative,human
GSE104336_nm-vs-hs_rna-seq_raw_data_Fall_2016.csv.gz,raw,conservative,conservative,conservative,human
GSE104415_processed.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE104415_processed.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104420_CVM_cuffdiffresult.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE104420_HC_cuffdiffresult.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE104422_C_OA_Cuffdiff.txt.gz,raw,conservative,conservative,conservative,human
GSE104518_Combined_1d-WT_1d-SIG_7d-WT_7d-SIG.txt.gz-set-0,raw,conservative,conservative,conservative,human
GSE104518_Combined_1d-WT_1d-SIG_7d-WT_7d-SIG.txt.gz-set-1,raw,bimodal,bimodal,bimodal,human
GSE104527_CCD11_vs_Control_gene_differential_expression.xlsx,raw,conservative,conservative,conservative,human
GSE104560_Emerin_null_differentiation_day_2_to_3_transition.diff.gz,raw,other,other,other,human
GSE104560_Emerin_null_differentiaton_day_0_to_1_transition.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_Emerin_null_differentiaton_day_1_to_2_transition.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_Emerin_null_differentiaton_day_3_to_4_transition.diff.gz,raw,other,other,other,human
GSE104560_Emerin_null_proliferation_to_day_0_differentiation_transition.diff.gz,raw,other,other,other,human
GSE104560_Emerin_null_proliferation_vs_day_1_differentiation.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_Emerin_null_proliferation_vs_day_2_differentiation.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_Emerin_null_proliferation_vs_day_3_differentiation.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_Emerin_null_proliferation_vs_day_4_differentiation.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_WT_differentiation_day_0_to_1_transition.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_WT_differentiation_day_1_to_2_transition.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_WT_differentiation_day_2_to_3_transition.diff.gz,raw,other,other,other,human
GSE104560_WT_differentiation_day_3_to_4_transition.diff.gz,raw,other,other,other,human
GSE104560_WT_proliferation_to_day_0_differentiation_transition.diff.gz,raw,other,other,other,human
GSE104560_WT_proliferation_vs_day_1_differentiation.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_WT_proliferation_vs_day_2_differentiation.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_WT_proliferation_vs_day_3_differentiation.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_WT_proliferation_vs_day_4_differentiation.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104560_WT_vs_Emerin_null_day_0_differentiation.xlsx-sheet-0six_gene_ann.diff,raw,other,other,other,human
GSE104560_WT_vs_Emerin_null_day_1_differentiation.xlsx-sheet-1six_gene_ann.diff,raw,other,other,other,human
GSE104560_WT_vs_Emerin_null_day_2_differentiation.xlsx-sheet-2six_gene_ann.diff,raw,other,other,other,human
GSE104560_WT_vs_Emerin_null_day_3_differentiation.xlsx-sheet-3six_gene_ann.diff,raw,other,other,other,human
GSE104560_WT_vs_Emerin_null_day_4_differentiation.xlsx-sheet-4six_gene_ann.diff,raw,other,other,other,human
GSE104560_WT_vs_Emerin_null_day_Proliferation.xlsx-sheet-psix_gene_ann.diff,raw,other,other,other,human
GSE104590_DEGs_DualRNASeq_ATH-VDA.xlsx-sheet- (ATH&VDA) vs ATH (sortDOWN),basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE104590_DEGs_DualRNASeq_ATH-VDA.xlsx-sheet- (ATH&VDA) vs ATH (sortDOWN),raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104590_DEGs_DualRNASeq_ATH-VDA.xlsx-sheet- (ATH&VDA) vs ATH (sortUP),basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE104590_DEGs_DualRNASeq_ATH-VDA.xlsx-sheet- (ATH&VDA) vs ATH (sortUP),raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104590_DEGs_DualRNASeq_ATH-VDA.xlsx-sheet- (ATH&VDA) vs VDA (sortDOWN),basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE104590_DEGs_DualRNASeq_ATH-VDA.xlsx-sheet- (ATH&VDA) vs VDA (sortDOWN),raw,anti-conservative,anti-conservative,anti-conservative,human
GSE104590_DEGs_DualRNASeq_ATH-VDA.xlsx-sheet- (ATH&VDA) vs VDA (sortUP) ,basemean,NA,anti-conservative,anti-conservative,nnet
