Accession,suppdata_id,instrument_model
GSE58360,GSE58360_Cebpa.txt.gz,Illumina HiSeq 2000
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-ESCs_VS_EBDay4,Illumina HiSeq 2000
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-EBDay4_ControlVSBrachyuryKD,Illumina HiSeq 2000
GSE52038,GSE52038_Supplementary-table-1-date11021.txt.gz,Illumina Genome Analyzer IIx
GSE37703,GSE37703_miseq_cuffdiff_cds_exp.diff.gz,Illumina HiSeq 2000
GSE37703,GSE37703_miseq_cuffdiff_cds_exp.diff.gz,Illumina MiSeq
GSE41367,GSE41367_remanei_gns.expr.txt.gz,Illumina HiSeq 1000
GSE120293,GSE120293_CDYL-Processed_data.txt.gz,Illumina HiSeq 2500
GSE118915,GSE118915_Ovol2_MutantvsControl_Processed.txt.gz,Illumina HiSeq 2500
GSE114998,GSE114998_Spreadsheet1_CT_Repbase.xlsx,Illumina NextSeq 500
GSE109185,GSE109185_E3_F5_DESeq2.csv.gz,Illumina HiSeq 2500
GSE101996,GSE101996_bfx319.6month.table1.csv.gz,Illumina HiSeq 2500
GSE94967,GSE94967_tss_group_exp.diff_A_B_TSS.diff.gz,Illumina HiSeq 2500
GSE86323,GSE86323_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE60177,GSE60177_PseudomonasDESeq.txt.gz,Illumina HiSeq 2500
GSE75878,GSE75878_cds.diff.gz,Illumina Genome Analyzer IIx
GSE75510,GSE75510_diffExonExprZH3vsB6.txt.gz,Illumina HiSeq 2000
GSE64854,GSE64854_tss_group_exp.diff.gz,Illumina HiSeq 2000
GSE76190,GSE76190_OtA8536_vs_OtA8539_gene_exp.diff.gz,Illumina HiSeq 2000
GSE53040,GSE53040_wtDMSOvswtTX129.txt.gz,Illumina HiSeq 2000
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Gencode_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE63570,GSE63570_Rec_siRNA_RNA-seq.txt.gz,Illumina HiSeq 2000
GSE50557,GSE50557_rnaseq-lbl1-Cuffdiff_gene_expression.txt.gz,Illumina Genome Analyzer IIx
GSE57217,GSE57217_mkk2wt_geneexp_diff.txt.gz,Illumina HiSeq 2000
GSE58359,GSE58359_HOXA9.txt.gz,Illumina HiSeq 2000
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C1_WtE8.0_Vs_Wt10.0,Illumina HiSeq 2000
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C2_Wt_VS_ Tc E8.0,Illumina HiSeq 2000
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C3_Wt_VS_Tc_E10.0,Illumina HiSeq 2000
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C4_TcE8.0_VS_TcE10.0,Illumina HiSeq 2000
GSE52058,GSE52058_Cuffdiff_Dana_TestisOvary.gene_exp.diff.gz,Illumina HiSeq 2000
GSE52058,GSE52058_Cuffdiff_Dana_TestisOvary.gene_exp.diff.gz,Illumina Genome Analyzer IIx
GSE37703,GSE37703_miseq_cuffdiff_gene_exp.diff.gz,Illumina HiSeq 2000
GSE37703,GSE37703_miseq_cuffdiff_gene_exp.diff.gz,Illumina MiSeq
GSE41367,GSE41367_remanei_soap.expr.txt.gz,Illumina HiSeq 1000
GSE123017,GSE123017_RPE1_gene_exp_diff.csv.gz,Illumina HiSeq 4000
GSE123017,GSE123017_RPE1_gene_exp_diff.csv.gz,Illumina HiSeq 4000
GSE120293,GSE120293_CSDS-Processed_data.txt.gz,Illumina HiSeq 2500
GSE116607,GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-gene_exp,Illumina HiSeq 2500
GSE116607,GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-status = ok,Illumina HiSeq 2500
GSE114998,GSE114998_Spreadsheet2_CT_mRNAseq.xlsx,Illumina NextSeq 500
GSE101342,GSE101342_All_Genes_LincDUSP_V481_cells_DESeq2.csv.gz,Illumina HiSeq 2500
GSE113114,GSE113114_Het_vs_KO.txt.gz,Illumina HiSeq 2500
GSE101996,GSE101996_bfx319.6month.table2.csv.gz,Illumina HiSeq 2500
GSE100277,GSE100277_Mett3_gene_exp.diff.gz,Illumina HiSeq 2000
GSE93827,GSE93827_LMP1_2a_vs_GFP.txt.gz,Illumina NextSeq 500
GSE87532,GSE87532_gene_exp.diff.name.txt.gz,Illumina NextSeq 500
GSE76533,GSE76533_leaf.gene_exp.diff.gz,Illumina HiSeq 2000
GSE75878,GSE75878_cds_exp.diff.gz,Illumina Genome Analyzer IIx
GSE71943,GSE71943_KO_vs_WT_diffGenes.txt.gz,Illumina HiSeq 2000
GSE76190,GSE76190_OtA8537_vs_OtA8540_gene_exp.diff.gz,Illumina HiSeq 2000
GSE53040,GSE53040_wtDMSOvswtTX34.txt.gz,Illumina HiSeq 2000
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Rinn_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE66716,GSE66716_Lim_et_al_14-3-3zKOWAT_Processed_data_Cuffdiff.xlsx,Illumina HiSeq 2500
GSE70860,GSE70860_DEaxons.csv.gz,Illumina MiSeq
GSE57680,GSE57680_RPKM_luminal_epithelium.txt.gz,Illumina HiSeq 1500
GSE52058,GSE52058_Cuffdiff_Dpse_TestisOvary.gene_exp.diff.gz,Illumina HiSeq 2000
GSE52058,GSE52058_Cuffdiff_Dpse_TestisOvary.gene_exp.diff.gz,Illumina Genome Analyzer IIx
GSE43189,GSE43189_processed_h99_rim101.csv.gz,Illumina Genome Analyzer II
GSE37111,GSE37111_clip.txt.gz,Illumina Genome Analyzer II
GSE101342,GSE101342_All_Genes_LincDUSP_V703_cells_DESeq2.csv.gz,Illumina HiSeq 2500
GSE107419,GSE107419_DEG_N_vs_ESC_DEseq.xlsx,Illumina HiSeq 2500
GSE106709,GSE106709_gene_exp.diff.gz,Illumina NextSeq 500
GSE91400,GSE91400_isoform_exp.diff.gz,Illumina Genome Analyzer IIx
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-CASK,Illumina HiSeq 3000
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-SAP97,Illumina HiSeq 3000
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-MDX,Illumina HiSeq 3000
GSE98869,GSE98869_diffexp.tsv.gz,Illumina NextSeq 500
GSE77037,GSE77037_gene_exp.diff.gz,Illumina HiSeq 2000
GSE93313,GSE93313_DESeq_2Dvs3D.txt.gz,Illumina HiSeq 2000
GSE93877,GSE93877_NB4_RNASeq_ATRA.txt.gz,Illumina NextSeq 500
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-DSP-TP_VS_LL-YY,Illumina HiSeq 2000
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-DSP-TP,Illumina HiSeq 2000
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-LL-YY,Illumina HiSeq 2000
GSE76533,GSE76533_seedling.gene_exp.diff.gz,Illumina HiSeq 2000
GSE76683,GSE76683_shHOXA7gene_exp.diff.gz,Illumina HiSeq 2000
GSE75878,GSE75878_gene_exp.diff.gz,Illumina Genome Analyzer IIx
GSE76190,GSE76190_OtA8538_vs_OtA8541_gene_exp.diff.gz,Illumina HiSeq 2000
GSE53040,GSE53040_wtDMSOvswtTX87.txt.gz,Illumina HiSeq 2000
GSE71281,GSE71281_G53_veh_vs_SAA_Th17_CuffDiff_Gene_Differential.txt.gz,Illumina HiSeq 2500
GSE70544,GSE70544_Vehicle_vs_Cytokine_Gencode_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE70860,GSE70860_DEsoma.csv.gz,Illumina MiSeq
GSE67554,GSE67554_TAG5_Cuffdiff_gene_differential_expression_testing.txt.gz,Illumina Genome Analyzer
GSE57680,GSE57680_RPKM_stroma.txt.gz,Illumina HiSeq 1500
GSE61915,GSE61915_FilteredDifferentialExpression_min_10reads_3M-24M.xls.gz,Illumina HiSeq 2000
GSE57217,GSE57217_mpk1wt_geneexp_diff.txt.gz,Illumina HiSeq 2000
GSE50424,GSE50424_Adipose.tsv.gz,Illumina Genome Analyzer II
GSE37703,GSE37703_miseq_cuffdiff_isoform_exp.diff.gz,Illumina HiSeq 2000
GSE37703,GSE37703_miseq_cuffdiff_isoform_exp.diff.gz,Illumina MiSeq
GSE119029,GSE119029_gene_exp.diff.gz,Illumina NextSeq 500
GSE103415,GSE103415_DESeq2_genes_diffexp_by_fc_wildtype_vs_knockout.xls.gz,Illumina HiSeq 2500
GSE108418,GSE108418_tagged_EZH2_T372A_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,Illumina NextSeq 500
GSE97980,GSE97980_N2_vs_nlg.xlsx-sheet-N2vsnlg_DE,Ion Torrent PGM
GSE107419,GSE107419_DEG_P_vs_N_DEseq.xlsx,Illumina HiSeq 2500
GSE101995,GSE101995_bfx556.deseq.csv.gz,Illumina HiSeq 2500
GSE106605,GSE106605_gene_exp.diff.gz,Illumina HiSeq 2500
GSE93313,GSE93313_DESeq_2DvsTranswell.txt.gz,Illumina HiSeq 2000
GSE93877,GSE93877_NB4_RNASeq_DMSO.txt.gz,Illumina NextSeq 500
GSE87448,GSE87448_AKT_vs_CTRL_at_2fold-p005-4433_genes.txt.gz,Illumina HiSeq 2000
GSE76682,GSE76682_EB_AM580gene_exp.diff.gz,Illumina HiSeq 2000
GSE75878,GSE75878_isoform_exp.diff.gz,Illumina Genome Analyzer IIx
GSE76190,GSE76190_OtA8539_vs_OtA8542_gene_exp.diff.gz,Illumina HiSeq 2000
GSE53040,GSE53040_wtDMSOvswtXP13.txt.gz,Illumina HiSeq 2000
GSE70544,GSE70544_Vehicle_vs_Cytokine_Rinn_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE69110,GSE69110_d2GFP_vs_d2Sox9OE.deseq.res.csv.gz,Illumina NextSeq 500
GSE67554,GSE67554_ZG14_Cuffdiff_gene_differential_expression_testing.txt.gz,Illumina Genome Analyzer
GSE61915,GSE61915_FilteredDifferentialExpression_min_10reads_3M-29M.xls.gz,Illumina HiSeq 2000
GSE50424,GSE50424_Liver.tsv.gz,Illumina Genome Analyzer II
GSE45431,GSE45431_transcripts_rpkm.txt.gz,Illumina HiSeq 2000
GSE114463,GSE114463_DESeq2_genes_diffexp_by_fc_N2_15_vs_O2_15.csv.gz,Illumina HiSeq 2000
GSE108418,GSE108418_tagged_EZH2_T372A_overexpression_vs_tagged_EZH2_overexpression.DESeq2_Results.xlsx,Illumina NextSeq 500
GSE97980,GSE97980_N2_vs_nrx.xlsx-sheet-N2vsnrx,Ion Torrent PGM
GSE100367,GSE100367_CL6566_vs_CL6364_processed.txt.gz,Illumina Genome Analyzer IIx
GSE107419,GSE107419_DEG_Prl_vs_N_DEseq.xlsx,Illumina HiSeq 2500
GSE79633,GSE79633_DESeq2_out_FO_GFP_vs_WT.txt.gz,Illumina HiSeq 2000
GSE93313,GSE93313_DESeq_3DvsTranswell.txt.gz,Illumina HiSeq 2000
GSE87448,GSE87448_KRAS_vs_CTRL_at_2fold-p005-4238_genes.txt.gz,Illumina HiSeq 2000
GSE75878,GSE75878_promoters.diff.gz,Illumina Genome Analyzer IIx
GSE65142,GSE65142_HYBP.txt.gz,Illumina HiSeq 2500
GSE76190,GSE76190_OtA8540_vs_OtA8543_gene_exp.diff.gz,Illumina HiSeq 2000
GSE68102,GSE68102_gene_exp.diff.gz,Illumina NextSeq 500
GSE60701,GSE60701_AL_R_vs_AL_L.diff_expressed_transcripts.tsv.gz,Illumina HiSeq 2000
GSE37703,GSE37703_miseq_cuffdiff_promoters.diff.gz,Illumina HiSeq 2000
GSE37703,GSE37703_miseq_cuffdiff_promoters.diff.gz,Illumina MiSeq
GSE104286,GSE104286_Gene_differential_expression.xlsx,Illumina HiSeq 2000
GSE122992,GSE122992_DEseq_AR6-AR7-AR13-AR19_AR8-AR9-AR17-AR24_DEG_list.csv.gz,Illumina HiSeq 2000
GSE79435,GSE79435_DESeq2_genes_diffexp_by_fc_mLN-GF_vs_mLN-SPF.csv.gz,Illumina HiSeq 2500
GSE117682,GSE117682_gene_exp.diff.gz,Illumina MiSeq
GSE114463,GSE114463_DESeq2_genes_diffexp_by_fc_N2_60_vs_O2_60.csv.gz,Illumina HiSeq 2000
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,Illumina NextSeq 500
GSE97980,GSE97980_N2_vs_nrx_nlg.xlsx-sheet-N2_vs_nrx_nlg,Ion Torrent PGM
GSE113900,GSE113900_Significant_genes.xlsx.gz,Illumina NextSeq 500
GSE100367,GSE100367_CL6768_vs_CL6364_processed.txt.gz,Illumina Genome Analyzer IIx
GSE107419,GSE107419_DEG_Prl_vs_P_DEseq.xlsx,Illumina HiSeq 2500
GSE100990,GSE100990_RNA_Seq_Nr4a1_CDKO_HSC_DESeq2_output.txt.gz,Illumina HiSeq 2000
GSE101994,GSE101994_bfx564.deseq.csv.gz,Illumina NextSeq 500
GSE103914,GSE103914_ZLD_differential_gene_expression.csv.gz,Illumina HiSeq 2000
GSE106693,GSE106693_Control_v_zfp-1-1RNAi.xlsx,Illumina NextSeq 500
GSE98650,GSE98650_mb1_hdac3_cuffdiff_out.txt.gz,Illumina HiSeq 2500
GSE74929,GSE74929_ANOVA_gene_rpkm.txt.gz,Illumina HiSeq 2000
GSE93866,GSE93866_IDOE_GENE_EXPRESSION.xlsx,Illumina HiSeq 2000
GSE85308,GSE85308_gene_exp.diff.gz,Illumina HiSeq 2500
GSE75878,GSE75878_splicing.diff.gz,Illumina Genome Analyzer IIx
GSE72830,GSE72830_gene_exp.diff.gz,Illumina HiSeq 2000
GSE72917,GSE72917_DP1_WTvKO.txt.gz,Illumina HiSeq 2500
GSE64455,GSE64455_cuffdiff_out.txt.gz,Illumina HiSeq 1500
GSE65542,GSE65542_pnky_kd.diff.gz,Illumina HiSeq 2500
GSE60701,GSE60701_ChL_R_vs_AL_R.diff_expressed_transcripts.tsv.gz,Illumina HiSeq 2000
GSE42381,GSE42381_gene_exp.diff.gz,AB SOLiD 4 System
GSE44668,GSE44668_gene_exp_diff.txt.gz,Illumina HiSeq 2000
GSE37703,GSE37703_miseq_cuffdiff_splicing.diff.gz,Illumina HiSeq 2000
GSE37703,GSE37703_miseq_cuffdiff_splicing.diff.gz,Illumina MiSeq
GSE40948,GSE40948_MEF_vs_ESC_2replicates_expression.tsv.gz,Illumina HiSeq 2000
GSE79435,GSE79435_DESeq2_genes_diffexp_by_fc_pLN-GF_vs_mLN-GF.csv.gz,Illumina HiSeq 2500
GSE109850,GSE109850_DifferentialAnalysis.txt.gz,Illumina HiSeq 2500
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_tagged_EZH2_T372A_overexpression.DESeq2_Results.xlsx,Illumina NextSeq 500
GSE102300,GSE102300_diffexpr-results.csv.gz,Illumina HiSeq 4000
GSE110698,GSE110698_HepG2_cyt_vs_HepG2_tot.xls.gz,Illumina HiSeq 2000
GSE96684,GSE96684_Cuffdiff_4WT_4Mecp2_null_gene_differential_expression_testing.tabular.txt.gz,Illumina HiSeq 2500
GSE74929,GSE74929_Diff_Exp.txt.gz,Illumina HiSeq 2000
GSE85308,GSE85308_processed_data.txt.gz,Illumina HiSeq 2500
GSE75878,GSE75878_tss_group_exp.diff.gz,Illumina Genome Analyzer IIx
GSE65987,GSE65987_FPKM_for_MEFs.txt.gz,Illumina HiSeq 2000
GSE65142,GSE65142_YH.txt.gz,Illumina HiSeq 2500
GSE72830,GSE72830_tss_group_exp.diff.gz,Illumina HiSeq 2000
GSE72917,GSE72917_DP2_WTvKO.txt.gz,Illumina HiSeq 2500
GSE65542,GSE65542_ptbp1_kd.diff.gz,Illumina HiSeq 2500
GSE58910,GSE58910_SenescentAstrocytesDEanalysis_v2.csv.gz,Illumina HiSeq 2000
GSE60701,GSE60701_ChL_R_vs_ChL_L.diff_expressed_transcripts.tsv.gz,Illumina HiSeq 2000
GSE44665,GSE44665_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE37703,GSE37703_miseq_cuffdiff_tss_group_exp.diff.gz,Illumina HiSeq 2000
GSE37703,GSE37703_miseq_cuffdiff_tss_group_exp.diff.gz,Illumina MiSeq
GSE40948,GSE40948_NPC_vs_ESC_2replicates_result_10.transcript_summary.tsv.gz,Illumina HiSeq 2000
GSE122990,GSE122990_DEseq_ARC7-ARC10-ARC16_ARM4-ARM5-ARM6_DEG_list_1_.csv.gz,Illumina HiSeq 2000
GSE116650,GSE116650_gene_exp.diff.txt.gz,Illumina HiSeq 3000
GSE79435,GSE79435_DESeq2_genes_diffexp_by_fc_pLN-GF_vs_pLN-SPF.csv.gz,Illumina HiSeq 2500
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_tagged_EZH2_overexpression.DESeq2_Results.xlsx,Illumina NextSeq 500
GSE100829,GSE100829_N2_HPL2_J2IP_DESeqResults.xlsx,Illumina HiSeq 2000
GSE98258,GSE98258_annotated_diffana_exp++_p100++-p30++.txt.gz,Illumina HiSeq 2000
GSE104604,GSE104604_EIF5A_RNA-seq_genes.xls.gz,Illumina NextSeq 500
GSE73615,GSE73615_cds.diff.gz,Illumina HiSeq 2000
GSE102597,GSE102597_gene_exp.diff.gz,Illumina NextSeq 500
GSE84158,GSE84158_gene_exp.diff.gz,Illumina HiSeq 2500
GSE72820,GSE72820_MDA1N-1P_RPKM.xlsx.gz,Illumina HiSeq 2000
GSE75833,GSE75833_DESeq-processed_FB.control_vs_BR.txt.gz,Illumina HiSeq 2000
GSE76994,GSE76994_TKD_H2O_DEseq.xls.gz,Illumina NextSeq 500
GSE72917,GSE72917_KO_DP1vDP2.txt.gz,Illumina HiSeq 2500
GSE51144,GSE51144_all_exons.txt.gz,Illumina HiSeq 2000
GSE97738,GSE97738_hypothalamic_DEG.xls.gz-sheet-origin,Illumina HiSeq 4000
GSE79435,GSE79435_DESeq2_genes_diffexp_by_fc_pLN-SPF_vs_mLN-SPF.csv.gz,Illumina HiSeq 2500
GSE108418,GSE108418_tagged_EZH2_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,Illumina NextSeq 500
GSE98258,GSE98258_annotated_diffana_exp+-_p100+--p30+-.xlsx,Illumina HiSeq 2000
GSE98580,GSE98580_DESeq2_ERbeta_EV_HEK293.txt.gz,Illumina HiSeq 2000
GSE106365,GSE106365_S2.L7vsControl.Differential_analysis_results.txt.gz,Illumina HiSeq 4000
GSE95852,GSE95852_miRNA_wt_ko_p11.diff.gz,Illumina HiSeq 2000
GSE87495,GSE87495_results_dds_gencode22.csv.gz,Illumina HiSeq 2500
GSE72820,GSE72820_MDA27N-27P_RPKM.xlsx.gz,Illumina HiSeq 2000
GSE84786,GSE84786_gene_exp.xls.gz-sheet-gene_exp,Illumina Genome Analyzer
GSE84786,GSE84786_gene_exp.xls.gz-sheet-Fold change,Illumina Genome Analyzer
GSE75833,GSE75833_DESeq-processed_FB.control_vs_FB.25mkM.4HT.txt.gz,Illumina HiSeq 2000
GSE76991,GSE76991_Gcn5KD_H2O_DEseq.xls.gz,Illumina NextSeq 500
GSE71284,GSE71284_control_WT2_WT3_C1_C2_vs_truncation_3kb1_3kb2_100kb1_100kb2_CUFFDIFF_gene_exp.diff.gz,Illumina HiSeq 2000
GSE71164,GSE71164_SCR-static_vs_SCR-FSS.tabular.txt.gz,Illumina HiSeq 2500
GSE72917,GSE72917_WT_DP1vDP2.txt.gz,Illumina HiSeq 2500
GSE60822,GSE60822_cuffdiff.control.ablation.tab.gz,Illumina HiSeq 2000
GSE41487,GSE41487_ResultsContr123vsRas123Individual.xls.gz-sheet-Contr vs Ras1,Illumina HiSeq 2000
GSE41487,GSE41487_ResultsContr123vsRas123Individual.xls.gz-sheet-Contr vs Ras2,Illumina HiSeq 2000
GSE41487,GSE41487_ResultsContr123vsRas123Individual.xls.gz-sheet-Contr vs Ras3,Illumina HiSeq 2000
GSE39812,GSE39812_FB_result_transcript_summary.tsv.txt.gz,Illumina HiSeq 2000
GSE108157,GSE108157_huHrt_ICM.v.NICM_diffexp.xlsx,Illumina HiSeq 2500
GSE108005,GSE108005_gene_exp.diff.gz,Illumina HiSeq 2000
GSE98258,GSE98258_annotated_diffana_exp100j_p100+--p100++.xlsx,Illumina HiSeq 2000
GSE104090,GSE104090_Isoform_processed_data.xlsx,Illumina HiSeq 2000
GSE108308,GSE108308_Process.RNASeq.DE.txt.gz,Illumina NextSeq 500
GSE95852,GSE95852_miRNA_wt_ko_p27.diff.gz,Illumina HiSeq 2000
GSE102421,GSE102421_isoform_exp.diff.xlsx,Illumina HiSeq 2000
GSE102421,GSE102421_isoform_exp.diff.xlsx,Illumina HiSeq 2500
GSE93357,GSE93357_Cuffdiff_output.txt.gz,Illumina HiSeq 2000
GSE93547,GSE93547_LMvsWTM_cleaned_deseq2.csv.gz,Illumina HiSeq 2500
GSE83134,GSE83134_RYBPfl.DESeq2.Output.txt.gz,Illumina NextSeq 500
GSE72820,GSE72820_MDA2N-2P_RPKM.xlsx.gz,Illumina HiSeq 2000
GSE84786,GSE84786_isoform_exp.xlsx-sheet-isoform_exp,Illumina Genome Analyzer
GSE84786,GSE84786_isoform_exp.xlsx-sheet-Fold change,Illumina Genome Analyzer
GSE70815,GSE70815_gene_exp.diff.gz,Illumina HiSeq 2000
GSE71164,GSE71164_SCR-static_vs_SH-EZH2-static.tabular.txt.gz,Illumina HiSeq 2500
GSE60822,GSE60822_cuffdiff.control.induction.tab.gz,Illumina HiSeq 2000
GSE66822,GSE66822_PRMT5-vs-WT_SC-mrna_counts.txt.gz,Ion Torrent Proton
GSE61851,GSE61851_genelist-sortedbypadj.txt.gz,Illumina HiSeq 2000
GSE41487,GSE41487_ResultsContr123vsRas123Multiple.xls.gz-sheet-RawData Contr123 vs Ras123,Illumina HiSeq 2000
GSE40228,GSE40228_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE39812,GSE39812_FT_result_transcript_summary.tsv.txt.gz,Illumina HiSeq 2000
GSE108896,GSE108896_Supplementary_Table_3.xlsx-sheet-deseq2_malevsfemale,Illumina HiSeq 4000
GSE108896,GSE108896_Supplementary_Table_3.xlsx-sheet-deseq2_CAIAvsSAL,Illumina HiSeq 4000
GSE112903,GSE112903_Table_S2_Ccl19hi_TRC_Ccl19lo_TRC_Cxcl9_TRC.xlsx-sheet-Ccl19hi TRC,Illumina HiSeq 4000
GSE112903,GSE112903_Table_S2_Ccl19hi_TRC_Ccl19lo_TRC_Cxcl9_TRC.xlsx-sheet-Ccl19lo TRC,Illumina HiSeq 4000
GSE112903,GSE112903_Table_S2_Ccl19hi_TRC_Ccl19lo_TRC_Cxcl9_TRC.xlsx-sheet-Cxcl9+ TRC,Illumina HiSeq 4000
GSE98258,GSE98258_annotated_diffana_exp30j_p30+--p30++.txt.gz,Illumina HiSeq 2000
GSE104090,GSE104090_Processed_data.xlsx-sheet-gene_exp.diff,Illumina HiSeq 2000
GSE73615,GSE73615_cds_exp.diff.gz,Illumina HiSeq 2000
GSE95852,GSE95852_miRNA_wt_ko_p5.diff.gz,Illumina HiSeq 2000
GSE94280,GSE94280_DESeq2_results_Y_vs_O.txt.gz,Illumina HiSeq 2500
GSE85863,GSE85863_Galaxy238-_Cuffdiff_on_data_40__data_35__and_others_gene_differential_expression_testing_.txt.gz,Illumina MiSeq
GSE72820,GSE72820_MDA31N-31P_RPKM.xlsx.gz,Illumina HiSeq 2000
GSE72860,GSE72860_RNA-seq_log2fdc.txt.gz,Illumina NextSeq 500
