Accession,suppdata_id,PubMedIds,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO
GSE83360,GSE83360_mESC_V6.5_transcript_differential_expression_testing_.tabular.txt.gz,28855339,2017 Sep 19,2017 Aug 30,Proc Natl Acad Sci U S A,Zhang ZJones AEWu WKim JKang YBi XGu YPopov IKRenfrow MBVassylyeva MNVassylyev DGGiles KEChen DKumar AFan YTong YLiu CFAn WChang CLuo JChow LTWang H,Wang H,Role of remodeling and spacing factor 1 in histone H2A ubiquitination-mediated gene silencing.,114,38,E7949-E7958,English,7505876,0027-8424,1091-6490,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28855339171115811410.1073/pnas.1711158114PMC56173062885533928855339pmc-id: PMC5617306;,10.1073/pnas.1711158114,2017/09/01 06:002018/06/06 06:002017/09/01 06:00,NA,1,4,Proceedings of the National Academy of Sciences of the United States of America,doi: 10.1073/pnas.1711158114,2017 Sep 19;114(38):E7949-E7958
GSE123186,GSE123186_Lanno_et_al_2018_Cuffdiff.txt.gz,30847082,2019 Feb,2019 Jan 15,Ecol Evol,Lanno SMShimshak SJPeyser RDLinde SCCoolon JD,Coolon JD,Investigating the role of <i>Osiris</i> genes in <i>Drosophila sechellia</i> larval resistance to a host plant toxin.,9,4,1922-1933,English,101566408,NA,2045-7758,Journal Article,PubMed,NA,3084708210.1002/ece3.4885ECE34885PMC63923683084708230847082pmc-id: PMC6392368;,10.1002/ece3.4885,2018/11/06 00:002018/12/04 00:002018/12/13 00:002019/03/09 06:002019/03/09 06:002019/03/09 06:01,NA,1,0,Ecology and evolution,doi: 10.1002/ece3.4885,2019 Feb;9(4):1922-1933
GSE119029,GSE119029_gene_exp.diff.gz,30337919,2018,2018 Sep 25,Front Immunol,Gopal RLee BMcHugh KJRich HERamanan KMandalapu SClay MESeger PJEnelow RIManni MLRobinson KMRangel-Moreno JAlcorn JF,Alcorn JF,STAT2 Signaling Regulates Macrophage Phenotype During Influenza and Bacterial Super-Infection.,9,NA,2151,English,101560960,NA,1664-3224,Journal Article,PubMed - in process,NA,3033791910.3389/fimmu.2018.02151PMC61781353033791930337919pmc-id: PMC6178135;,10.3389/fimmu.2018.02151,2018/04/12 00:002018/08/31 00:002018/10/20 06:002018/10/20 06:002018/10/20 06:00,NA,1,4,Frontiers in immunology,doi: 10.3389/fimmu.2018.02151,2018;9:2151
GSE113400,GSE113400_all_FPKM_expression.txt.gz,30382079,2018 Oct 31,2018 Oct 31,Cell Death Dis,Chen DZou JZhao ZTang XDeng ZJia JLiu S,Liu S,TXNDC9 promotes hepatocellular carcinoma progression by positive regulation of MYC-mediated transcriptional network.,9,11,1110,English,101524092,NA,2041-4889,Journal Article,PubMed - in process,epublish,3038207910.1038/s41419-018-1150-410.1038/s41419-018-1150-4PMC62083823038207930382079pmc-id: PMC6208382;,10.1038/s41419-018-1150-4,2018/06/06 00:002018/10/15 00:002018/10/11 00:002018/11/02 06:002018/11/02 06:002018/11/02 06:00,NA,1,0,Cell death & disease,doi: 10.1038/s41419-018-1150-4,2018 Oct 31;9(11):1110
GSE108435,GSE108435_gut_vs_liver.txt.gz,30386173,2018 Nov,NA,Curr Genomics,Renaud Lda Silveira WAGlen WB JrHazard ESand.Hardiman G,Hardiman G,Interplay Between MicroRNAs and Targeted Genes in Cellular Homeostasis of Adult Zebrafish (<i>Danio rerio</i>).,19,7,615-629,English,100960527,1389-2029,1875-5488,Journal Article,PubMed,ppublish,3038617310.2174/1389202919666180503124522CG-19-615PMC61944363038617330386173pmc-id: PMC6194436;,10.2174/1389202919666180503124522,2018/02/09 00:002018/04/13 00:002018/04/30 00:002018/11/03 06:002018/11/06 06:002018/11/06 06:01,NA,1,0,Current genomics,doi: 10.2174/1389202919666180503124522,2018 Nov;19(7):615-629
GSE102543,GSE102543_p179_normalized_counts_table.xls.gz,30193848,2018 Sep 18,2018 Sep 4,Immunity,Uchimura YFuhrer TLi HLawson MAZimmermann MYilmaz BZindel JRonchi FSorribas MHapfelmeier SGanal-Vonarburg SCGomez de Agüero MMcCoy KDSauer UMacpherson AJ,Macpherson AJ,Antibodies Set Boundaries Limiting Microbial Metabolite Penetration and the Resultant Mammalian Host Response.,49,3,545-559.e5,English,9432918,1074-7613,1097-4180,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,30193848S1074-7613(18)30344-310.1016/j.immuni.2018.08.004PMC61623373019384830193848pmc-id: PMC6162337;,10.1016/j.immuni.2018.08.004,2017/10/02 00:002018/06/12 00:002018/08/03 00:002018/09/09 06:002019/04/10 06:002018/09/09 06:00,Immunity. 2018 Sep 18;49(3):386-388. PMID: 30231978,1,5,Immunity,doi: 10.1016/j.immuni.2018.08.004,2018 Sep 18;49(3):545-559.e5
GSE115349,GSE115349_PD09_v_PD11.batch1.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD09_v_PD12.batch1.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD10_v_PD11.batch1.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD10_v_PD12.batch1.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD11_v_PD12.batch1.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD19_v_PD20.batch2.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD19_v_PD21.batch2.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD19_v_PD22.batch2.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD20_v_PD21.batch2.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD20_v_PD22.batch2.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD21_v_PD22.batch2.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD28_v_PD29.batch3.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD28_v_PD30.batch3.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD28_v_PD31.batch3.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD29_v_PD30.batch3.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
GSE115349,GSE115349_PD29_v_PD31.batch3.novel.gene_exp.diff.txt.gz,29996101,2018 Jul 10,NA,Cell Rep,Domeier PPChodisetti SBSchell SLKawasawa YIFasnacht MJSoni CRahman ZSM,Rahman ZSM,B-Cell-Intrinsic Type 1 Interferon Signaling Is Crucial for Loss of Tolerance and the Development of Autoreactive B Cells.,24,2,406-418,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,29996101S2211-1247(18)30956-210.1016/j.celrep.2018.06.046PMC6089613NIHMS15009422999610129996101pmc-id: PMC6089613;manuscript-id: NIHMS1500942;,10.1016/j.celrep.2018.06.046,2017/11/22 00:002018/04/09 00:002018/06/11 00:002018/07/12 06:002018/07/12 06:002018/07/12 06:00,NA,1,4,Cell reports,doi: 10.1016/j.celrep.2018.06.046,2018 Jul 10;24(2):406-418
