Accession,Supplementary file name,True nulls proportion,histclus,code,type,Type,comment
GSE36872,GSE36872_NascentSeq_Mouse_Liver_NormalizedGeneSignal.txt.gz,0.63,#440154FF,16,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE36959,GSE36959_gene_exp_diff.txt.gz,0.64,#22A884FF,NA,NA,NA,NA
GSE37111,GSE37111_clip.txt.gz,0.98,#2A788EFF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE37682,GSE37682_RAW.txt.gz,0.69,#22A884FF,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_cds_exp.diff.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_cds.diff.gz,0.70,#440154FF,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_gene_exp.diff.gz,0.80,#440154FF,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_isoform_exp.diff.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_promoters.diff.gz,0.78,#440154FF,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_splicing.diff.gz,0.61,#440154FF,NA,NA,NA,NA
GSE37703,GSE37703_hiseq_cuffdiff_tss_group_exp.diff.gz,0.91,#440154FF,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_cds_exp.diff.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_cds.diff.gz,0.63,#440154FF,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_gene_exp.diff.gz,0.93,#440154FF,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_isoform_exp.diff.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_promoters.diff.gz,0.71,#440154FF,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_splicing.diff.gz,0.47,#7AD151FF,NA,NA,NA,NA
GSE37703,GSE37703_miseq_cuffdiff_tss_group_exp.diff.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE38413,GSE38413_Maize_Pericarp_14DAP_mRNA-Seq_gene_exp.diff.gz,0.94,#2A788EFF,NA,NA,NA,NA
GSE38413,GSE38413_Maize_Pericarp_25DAP_mRNA-Seq_gene_exp.diff.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE38414,GSE38414_Maize_Silks_mRNA-Seq_gene_exp.diff.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE39605,GSE39605_All_KOvsWT_filtered_final.xlsx.gz-sheet-All_KOvsWT_filtered,1.00,#440154FF,NA,NA,NA,NA
GSE39652,GSE39652_20111201c2Day3_gene_exp.txt.gz,0.91,#440154FF,NA,NA,NA,NA
GSE39652,GSE39652_20111201c2LZ_gene_exp.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE39652,GSE39652_20111201c2Pach_gene_exp.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE39652,GSE39652_20111201c2PreMeiotic_gene_exp.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE39812,GSE39812_FB_result_transcript_summary.tsv.txt.gz,0.65,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE39812,GSE39812_FT_result_transcript_summary.tsv.txt.gz,0.83,#440154FF,26,2,conservative,Identical comparisons? Adjusted p values?
GSE39812,GSE39812_TB_result_transcript_summary.tsv.txt.gz,0.70,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE40187,GSE40187_gene_exp_diff_Control_NXD30001_fromtophat120_cufflinks102_c0_081612.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE40187,GSE40187_gene_exp_diff_MG1_MG2_fromtophat120_cufflinks102_c0_081612.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE40218,GSE40218_processed_DESeq.txt.gz,0.92,#440154FF,NA,NA,NA,NA
GSE40228,GSE40228_gene_exp.diff.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE40478,GSE40478_output_score.txt.gz,0.32,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE40548,GSE40548_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE40948,GSE40948_MEF_vs_ESC_2replicates_expression.tsv.gz,0.67,#22A884FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE40948,GSE40948_NPC_vs_ESC_2replicates_result_10.transcript_summary.tsv.gz,0.48,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE41090,GSE41090_WT_vs_KO_full_genes.tab.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE41367,GSE41367_brenneri_gns.expr.txt.gz,0.36,#22A884FF,NA,NA,NA,NA
GSE41367,GSE41367_brenneri_soap.expr.txt.gz,0.37,#22A884FF,NA,NA,NA,NA
GSE41367,GSE41367_briggsae_gns.expr.txt.gz,0.33,#22A884FF,NA,NA,NA,NA
GSE41367,GSE41367_briggsae_soap.expr.txt.gz,0.35,#22A884FF,NA,NA,NA,NA
GSE41367,GSE41367_elegans_gns.expr.txt.gz,0.30,#7AD151FF,NA,NA,NA,NA
GSE41367,GSE41367_elegans_soap.expr.txt.gz,0.26,#7AD151FF,NA,NA,NA,NA
GSE41367,GSE41367_japonica_gns.expr.txt.gz,0.29,#7AD151FF,NA,NA,NA,NA
GSE41367,GSE41367_japonica_soap.expr.txt.gz,0.29,#7AD151FF,NA,NA,NA,NA
GSE41367,GSE41367_remanei_gns.expr.txt.gz,0.27,#7AD151FF,NA,NA,NA,NA
GSE41367,GSE41367_remanei_soap.expr.txt.gz,0.25,#7AD151FF,NA,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas123Multiple.xls.gz-sheet-RawData Contr123 vs Ras123,1.00,#2A788EFF,NA,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas12Multiple.xls.gz-sheet-RawData Contr123 vs Ras12,0.97,#2A788EFF,NA,NA,NA,NA
GSE41766,GSE41766_PRE1-Ox_IBH1-Ox_vs_IBH1-Ox.txt.gz,0.62,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE41873,GSE41873_FPKM_all_genes_from_CuffDiff.txt.gz,0.74,#440154FF,NA,NA,NA,NA
GSE41908,GSE41908_E11.5_E13.5f_cuffdiff1.2.txt.gz,0.91,#440154FF,NA,NA,NA,NA
GSE41908,GSE41908_E11.5_E13.5m_cuffdiff1.2.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE41908,GSE41908_E9.5_E11.5_cuffdiff1.2.txt.gz,0.93,#440154FF,NA,NA,NA,NA
GSE42381,GSE42381_gene_exp.diff.gz,0.89,#440154FF,NA,NA,NA,NA
GSE42443,GSE42443_Brg1cKO_gene_exp.diff.gz,0.98,#440154FF,NA,NA,NA,NA
GSE42805,GSE42805_acute_gene.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE42805,GSE42805_cds_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE42805,GSE42805_cds.diff.gz,0.86,#440154FF,NA,NA,NA,NA
GSE42805,GSE42805_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE42805,GSE42805_isoform_exp.diff.gz,0.99,#440154FF,NA,NA,NA,NA
GSE42805,GSE42805_promoters.diff.gz,0.87,#440154FF,NA,NA,NA,NA
GSE42805,GSE42805_splicing.diff.gz,0.95,#414487FF,NA,NA,NA,NA
GSE42805,GSE42805_tss_group_exp.diff.gz,0.99,#440154FF,NA,NA,NA,NA
GSE43143,GSE43143_tooth_FPKM_DE.txt.gz,0.65,#22A884FF,NA,NA,NA,NA
GSE43143,GSE43143_tooth_FPKM_DE.txt.gz,0.82,#440154FF,NA,NA,NA,NA
GSE43143,GSE43143_tooth_FPKM_DE.txt.gz,0.99,#440154FF,NA,NA,NA,NA
GSE43189,GSE43189_processed_h99_rim101.csv.gz,0.46,#22A884FF,NA,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz,0.87,#440154FF,NA,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz,0.87,#440154FF,NA,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz,0.95,#440154FF,NA,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz,0.86,#440154FF,NA,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz,0.88,#440154FF,NA,NA,NA,NA
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz,0.91,#440154FF,NA,NA,NA,NA
GSE43194,GSE43194_HH18chick_abundance.txt.gz,0.72,#440154FF,NA,NA,NA,NA
GSE43194,GSE43194_HH18chick_abundance.txt.gz,0.75,#440154FF,NA,NA,NA,NA
GSE43194,GSE43194_HH18chick_abundance.txt.gz,0.76,#440154FF,NA,NA,NA,NA
GSE43431,GSE43431_mRNA_STHdh_CUFF_gene_exp.diff.txt.gz,0.98,#440154FF,NA,NA,NA,NA
GSE43614,GSE43614_diff_out.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE43660,GSE43660_control_vs_il33_1hr.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE43660,GSE43660_control_vs_il33_4hr.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE43660,GSE43660_control_vs_IL4_1hr.txt.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE43660,GSE43660_control_vs_IL4_4hr.txt.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE44233,GSE44233_processed_data.txt.gz,0.93,#440154FF,26,2,conservative,Identical comparisons? Adjusted p values?
GSE44333,GSE44333_d33_mock_vs_mhv_res_noNA.txt.gz,1.00,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE44536,GSE44536_GEO_Processed_file_excel.xlsx.gz-sheet-FPKM_NC_009338,0.98,#440154FF,NA,NA,NA,NA
GSE44665,GSE44665_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE44668,GSE44668_gene_exp_diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE44831,GSE44831_BALBfab_BALBmj_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE44831,GSE44831_BALBfabD1_BALBmockD1_24hr_post_expr.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE44831,GSE44831_BALBfabD1_BALBmockD1_exp.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE44831,GSE44831_C57BL6fabD1_C57BL6mockD1_24hr_post_expr.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE44831,GSE44831_C57BL6fabD1_C57BL6mockD1_exp.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE44831,GSE44831_C57BLfab_C57BLmj_gene_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE44831,GSE44831_matrix_BALB_C57BL.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE44846,GSE44846_O157_genome_total.xlsx.gz-sheet-Sheet1,0.99,#440154FF,NA,NA,NA,NA
GSE46046,GSE46046_GenesTable.txt.gz,1.00,#440154FF,26,2,conservative,Identical comparisons? Adjusted p values?
GSE46066,GSE46066_ICRFVsDMSO.txt.gz,0.77,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE46486,GSE46486_young_old_deseq.txt.gz,0.97,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE46502,GSE46502_diff_gene_exp_PR_all.xlsx.gz-sheet-gene_exp.diff,1.00,#2A788EFF,NA,NA,NA,NA
GSE46807,GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz,0.80,#440154FF,NA,NA,NA,NA
GSE46807,GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz,0.90,#440154FF,NA,NA,NA,NA
GSE46807,GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE47062,GSE47062_KO_vs_WT.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE47083,GSE47083_WTvsSclKO_WTvsGata12KO.xlsx.gz,0.93,#440154FF,NA,NA,NA,NA
GSE47083,GSE47083_WTvsSclKO_WTvsGata12KO.xlsx.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE47095,GSE47095_splicing_diff.txt.gz,0.85,#440154FF,NA,NA,NA,NA
GSE47395,GSE47395_gene_exp.diff.anno.known.csv.gz,1.00,#414487FF,NA,NA,NA,NA
GSE47399,GSE47399_diff_exp_gene_exp.diff.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE48166,GSE48166_Cufflinks_FPKM.txt.gz,0.95,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_isoform_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,0.88,#440154FF,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,0.94,#440154FF,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_gene_exp.diff.txt.gz,0.81,#440154FF,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_isoform_exp.diff.txt.gz,0.91,#440154FF,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE48671,GSE48671_all.GeneDiffExp.txt.gz,0.16,#7AD151FF,NA,NA,NA,NA
GSE48671,GSE48671_all.GeneDiffExp.txt.gz,0.27,#7AD151FF,NA,NA,NA,NA
GSE49097,GSE49097_BetweenGenotypes_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE49097,GSE49097_CompareAll_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE49097,GSE49097_Within_A_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE49097,GSE49097_Within_B_gene_exp.diff.gz,0.99,#440154FF,NA,NA,NA,NA
GSE49097,GSE49097_Within_WT_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE49147,GSE49147_ESC_KO_vs_WT.txt.gz,0.98,#440154FF,NA,NA,NA,NA
GSE49147,GSE49147_iPS_PF1_vs_PF2.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE49147,GSE49147_iPS_TTF1_vs_TTF2.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE49313,GSE49313_DRRi_GFPi_cds_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE49313,GSE49313_PhanDRR1.2_PhanGFP_cds_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE49389,GSE49389_RNAseq_gene_exp.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.87,#440154FF,NA,NA,NA,NA
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.87,#440154FF,NA,NA,NA,NA
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.88,#440154FF,NA,NA,NA,NA
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.88,#440154FF,NA,NA,NA,NA
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.88,#440154FF,NA,NA,NA,NA
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.88,#440154FF,NA,NA,NA,NA
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.89,#440154FF,NA,NA,NA,NA
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.89,#440154FF,NA,NA,NA,NA
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,0.99,#414487FF,NA,NA,NA,NA
GSE49587,GSE49587_L2_L3P1_2_DEUtable.txt.gz,0.86,#440154FF,NA,NA,NA,NA
GSE49587,GSE49587_L312hr_L3P1_2_DEUtable.txt.gz,0.84,#440154FF,NA,NA,NA,NA
GSE49587,GSE49587_ORvSmn_DEUtable.txt.gz,0.77,#440154FF,NA,NA,NA,NA
GSE49700,GSE49700_aza.repeats.txt.gz,0.93,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE49700,GSE49700_aza.txt.gz,1.00,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE49700,GSE49700_FB_FLM.RNA.txt.gz,1.00,#2A788EFF,3,4,other,Test assumptions violated? Adjusted P values?
GSE49716,GSE49716_pei1vspei3_gene_exp.diff.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE49843,GSE49843_gene_exp.diff_22345-22353.txt.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE50068,GSE50068_Cuffdiff_output.txt.gz,0.89,#440154FF,NA,NA,NA,NA
GSE50156,GSE50156_mas5D_AND_WT_24oC.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50156,GSE50156_nmt1-hsf1_MMThi-_AND_WT_MMThi-.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE50156,GSE50156_ssa2D_AND_WT_24oC.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50156,GSE50156_WT_36oC_15min_AND_WT_24oC.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50198,GSE50198_Tet1kd_vs_v6.5_DESeq_results.txt.gz,0.46,#22A884FF,16,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE50198,GSE50198_Tet1kd_vs_v6.5_DESeq_results.txt.gz,0.57,#22A884FF,16,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE50198,GSE50198_Tet1kd_vs_v6.5_DEXSeq_results.txt.gz,0.67,#440154FF,NA,NA,NA,NA
GSE50198,GSE50198_Tet2kd_vs_v6.5_DESeq_results.txt.gz,0.57,#22A884FF,16,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE50198,GSE50198_Tet2kd_vs_v6.5_DESeq_results.txt.gz,0.57,#22A884FF,126,2,conservative,Identical comparisons? Adjusted p values?
GSE50198,GSE50198_Tet2kd_vs_v6.5_DESeq_results.txt.gz,0.70,#440154FF,16,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE50198,GSE50198_Tet2kd_vs_v6.5_DESeq_results.txt.gz,0.70,#440154FF,126,2,conservative,Identical comparisons? Adjusted p values?
GSE50198,GSE50198_Tet2kd_vs_v6.5_DEXSeq_results.txt.gz,0.68,#440154FF,NA,NA,NA,NA
GSE50203,GSE50203_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50203,GSE50203_isoform_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50424,GSE50424_Adipose.tsv.gz,1.00,#414487FF,NA,NA,NA,NA
GSE50424,GSE50424_Liver.tsv.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50535,GSE50535_diffexp_1.txt.gz,0.63,#22A884FF,NA,NA,NA,NA
GSE50535,GSE50535_diffexp_1.txt.gz,0.64,#22A884FF,NA,NA,NA,NA
GSE50535,GSE50535_diffexp_2.txt.gz,0.56,#22A884FF,NA,NA,NA,NA
GSE50535,GSE50535_diffexp_3.txt.gz,0.30,#22A884FF,NA,NA,NA,NA
GSE50535,GSE50535_diffexp_3.txt.gz,0.61,#22A884FF,NA,NA,NA,NA
GSE50554,GSE50554_Routine_gene.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50554,GSE50554_Routine_isoform.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50554,GSE50554_Stringent_gene.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50554,GSE50554_Stringent_isoform.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE50557,GSE50557_rnaseq-lbl1-Cuffdiff_gene_expression.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE50708,GSE50708_DE_result.txt.gz,0.32,#22A884FF,NA,NA,NA,NA
GSE50739,GSE50739_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE51037,GSE51037_Untreated_Nitrate_Processed_CunninghamBussel.xlsx.gz,0.90,#440154FF,NA,NA,NA,NA
GSE51119,GSE51119_bHLH159KD_vs_Col_gene_exp.diff.txt.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE51119,GSE51119_bHLH159ox_vs_Col_gene_exp.diff.txt.gz,0.92,#440154FF,NA,NA,NA,NA
GSE51119,GSE51119_IBH1KD_vs_Col_gene_exp.diff.txt.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE51119,GSE51119_IBH1ox_vs_Col_gene_exp.diff.txt.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE51144,GSE51144_all_exons.txt.gz,0.86,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE51645,GSE51645_ASE_processed_data.txt.gz,0.98,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE51645,GSE51645_DE_processed_data.txt.gz,0.76,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE51847,GSE51847_Expression_table_LE-2_x_HR-3.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE51893,GSE51893_wt_v_MZeomesa-sphere_gene_exp.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL1_2_gene_exp.diff.gz,0.87,#440154FF,NA,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL1_2_isoform_exp.diff.gz,0.94,#2A788EFF,NA,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL1_gene_exp.diff.gz,0.95,#440154FF,NA,NA,NA,NA
