PubMedIds,citations
25416762,18
24606920,154
24322557,27
25222563,91
24815909,4
24550223,88
23345435,55
22985206,14
21705755,59
20393465,1285
30655616,5
30401716,3
30222730,6
30061114,8
29906446,31
29443965,157
29044515,5
29249691,26
30217811,17
28798252,4
28328153,18
28134626,33
27558660,44
27194798,7
26798136,51
26875865,70
26849165,8
26411344,160
25590618,35
25774451,91
24510705,7
24284625,779
21408607,63
30389539,3
30484769,5
30380782,0
29513652,35
28964717,4
28394333,29
27905495,15
27211866,18
26871630,98
26412306,59
25664725,760
24939876,97
24530304,127
24633177,35
24463464,287
25517638,55
24215296,45
24204316,11
24035497,707
23707782,75
23291096,24
20946983,80
30633902,26
30415952,11
29339748,5
29909981,16
29626115,23
29529099,2
29438740,7
29400650,5
29202477,20
30214444,1
28539612,4
28986440,3
28801231,39
29046501,0
27835569,16
27001518,19
27169980,27
27058786,24
25822788,461
24780627,31
24929964,30
25549968,58
23776204,26
22855831,137
21179089,528
30927045,0
30602583,4
30127368,2
30361695,8
30296942,10
30237504,5
29660014,14
29593102,3
29426285,2
28663579,29
28877970,3
28570276,6
28212443,10
27511730,28
27377164,12
26522261,50
26721685,367
25605792,4862
25683803,59
25480298,184
24874799,65
23583100,148
31219654,4
30421359,0
30651641,17
29727663,26
29346763,3
28786813,11
28837588,10
28628092,108
28579392,14
28393894,9
28069942,39
27808245,9
27776542,18
27601574,13
26685207,11
27623524,6
26783758,5
26275108,218
25690310,11
25713142,10
25636363,39
26371248,9
25104425,32
24927563,88
31147539,4
30500538,35
29881994,8
29856313,5
29301958,115
30032264,2
29087175,6
28851877,16
28747678,60
29099875,8
29069103,23
28869591,86
27016565,14
27110916,24
26796035,12
27325891,31
26777276,86
26404089,32
26237550,78
25633873,14
25413365,153
24498386,32
23469233,24
22711821,16
22055183,301
31398343,4
30393775,5
29703886,18
30128583,3
30093495,17
30078576,23
29681534,34
29339538,12
28912243,54
28512194,8
28607484,187
28096348,26
28067315,7
27292646,19
28007900,31
25602132,30
26070677,17
25368162,15
25193493,16
24594777,41
23258891,400
22645258,25
30479398,8
30333515,1
30244870,10
30320555,6
29436396,32
29364875,27
28827812,17
28475900,239
28363943,9
28258199,6
27926867,29
27873573,43
27840052,94
27880818,24
26588041,4
27515308,39
26337789,16
26091879,41
26238712,16
24336318,71
22983443,65
21867878,174
30692668,3
29602945,15
30224802,12
29528143,7
29352292,8
29089522,9
28394259,9
27992879,40
28126920,9
27273766,49
27379215,14
27053337,88
26915352,7
27381916,1
26751641,24
26486592,55
25561518,88
24861551,68
24608322,6
23246434,39
21906321,69
30104731,17
29661879,3
29592953,7
30011022,3
28087642,8
28320314,8
28555890,7
27452460,20
26916032,12
26637797,104
26355004,44
26279576,20
25951516,20
25722371,29
25492498,79
25487743,3
24424412,54
25453902,29
24848017,18
23485825,7
23151479,147
22558397,119
30185635,6
29724793,10
29472357,26
29360433,3
29432121,18
30082317,1
28928277,6
28351387,56
28114302,64
27783941,10
27338705,287
27374332,96
26997336,14
26883633,9
26546267,2
25971364,80
26196144,67
25924064,314
26279566,51
24887438,21
24843027,215
21775302,201
21784246,1018
30341288,6
29844388,2
29535300,13
30463588,1
30127427,22
30046099,42
29973406,10
29317265,8
29615789,34
29982443,0
28886366,31
28689996,23
28724804,8
28538188,20
27748763,20
28089908,33
28600441,7
27965387,56
27112266,20
27697109,21
26238124,22
26443847,29
23716601,54
30595499,14
30445574,3
30232283,1
30170615,0
29974860,22
28963538,15
28827569,11
28803727,74
28552266,3
28732548,23
28460001,7
27984724,54
27385437,5
26816381,82
26242322,6
26052047,188
24302724,38
25015891,16
24100079,46
20929578,63
30742945,8
30050055,3
30507376,3
30082494,10
30412601,2
30282751,11
30135560,1
29434354,52
29145027,4
29335546,57
28429489,3
28528817,16
28358093,189
28245801,10
29160304,70
27668839,3
27759042,6
26808453,5
26735499,5
25405991,2
23729647,25
23136297,16
22950661,88
18985160,84
28872766,0
30532187,3
29808028,39
29535194,29
30209392,29
28923089,40
28579394,7
28264906,1
28134272,15
28069687,54
27629269,23
27810048,59
27298008,1
27133129,41
27153541,47
26923714,10
26657776,34
27342561,16
26440885,25
25904789,109
24265154,267
23446348,2314
22733996,19
22153074,236
31437148,0
30464343,16
29567811,2
29894689,22
29779941,7
29580943,1
29622724,125
29483152,11
29280310,9
29180631,19
28827773,8
28652263,21
27358499,32
26642120,3
27783602,320
26549683,47
26149272,19
26048924,3
24200226,27
25387874,69
22792077,38
21454787,125
30478422,25
30194383,4
30127461,22
30322407,8
30306128,18
29784854,14
29915331,42
29617655,8
29255038,4
28814746,0
28366588,23
28264196,24
28099430,140
28154022,31
28549128,28
27762356,263
27756904,39
27618450,186
27147029,82
26924576,65
24429688,182
22912590,76
20436463,183
20331782,33
31407334,1
30666957,8
30382133,5
30463022,5
30232221,5
30220456,10
30174241,13
30078556,22
29398113,44
29180699,36
28642487,15
28801509,27
28526573,15
28636595,66
28221375,26
27532666,1
26755663,28
25659587,7
25288732,33
24912400,7
24789973,130
23428183,19
23263965,23
24142925,6
22888137,26
30594464,12
30440012,1
30051747,1
29764806,5
29805094,11
28790111,2
28685836,4
28487411,26
28584099,13
28507144,50
28355564,8
27638884,15
27703156,27
27306793,41
27102483,55
26787849,18
26096734,4
25614682,20
25487071,52
25456064,3
24781900,41
24598257,10
30297796,9
29679004,28
30380407,6
29203634,13
28855212,10
28891814,103
28696287,16
28662216,8
28133853,10
28356702,29
27694579,19
27301593,45
26728715,17
26170288,46
26163372,81
25535376,90
26246448,16
25915732,85
25573029,9
25497096,48
22689670,43
20174472,89
31527595,1
31259691,2
30872277,0
30509981,10
30273606,3
29180571,7
29192133,33
28878246,1
28404620,9
28320836,11
27956704,8
27756306,12
27184706,10
26344044,127
26268681,31
25942444,13
26216843,8
25150837,79
24648519,18
25146988,3
21816910,291
21494657,41
30644424,0
30692691,25
30108245,1
29656930,36
29590434,7
29274096,3
29273440,5
29317538,14
27742662,9
29281831,15
29109255,6
28869609,99
28855339,6
28781126,19
28399398,63
27777239,14
27922002,101
27282385,15
26947068,120
26853561,15
26814702,18
26627478,5
26651292,71
30894540,2
30760710,1
30665597,7
30508043,4
29790574,8
29853607,8
29914980,7
29438994,6
28705898,9
28465430,21
28394946,15
28191871,14
28084216,29
27749922,3
26782054,30
27063937,46
27033523,12
26999799,21
26687005,126
26496077,8
23991285,106
23676078,19
22442418,29
30209240,6
30086735,5
29703781,8
29712858,10
29775477,22
29282718,20
29437903,2
29282307,5
30010758,2
29210315,2
28960747,9
28784835,6
28696253,17
27032388,12
28273480,103
27870832,42
27065321,10
27524439,40
27705745,21
27519343,40
27380875,14
26844818,27
23826166,33
30449681,8
30621044,1
30352278,0
30541781,1
30220570,5
30072421,13
29867216,17
29720662,37
29531362,30
29017058,109
28825595,29
28515302,14
28530678,38
28539431,7
27991934,3
27802135,19
27373156,43
26960794,49
26154507,15
26051938,13
25706537,39
25373781,97
22772985,17
20921232,120
30558585,2
30404791,3
30076308,14
29651131,5
29426832,29
30355486,8
29930011,28
29734330,1
29378787,63
29153843,18
28400491,48
28264836,9
28082594,49
27669147,57
27253323,30
27020553,24
26748827,42
27829228,14
26307088,63
26057633,4
25107963,14
25122893,45
20835245,189
30538339,39
30253121,1
30232101,1
30312294,7
30154100,1
29459038,1
29251592,12
28648779,15
28678006,4
27941246,29
27883890,63
27829155,19
27412690,16
27173635,8
26669263,31
27464526,14
26282166,39
26391122,8
24755115,29
24374135,14
24336217,2858
24069164,25
22266139,44
31215866,2
29796945,1
29706548,77
29337119,8
29371244,16
29255257,23
29133930,6
28202015,13
29186125,130
27907096,17
27857075,17
27590115,123
27399229,122
26838501,52
26710108,4
26568260,6
25578878,64
26553465,15
25373142,66
25219674,325
24821775,43
23361014,125
31747871,0
30540934,17
30517854,5
29581426,8
30266823,1
30177776,28
29997232,5
30082899,10
30129931,22
30096299,119
29649445,13
28444370,15
28542170,19
28431248,36
28134929,20
27608714,11
27076172,15
27041589,8
25752574,54
26473962,28
25212861,15
23177736,711
22965116,9
22499666,75
22723894,31
29976922,6
29670099,6
30420515,2
29967166,7
29949907,1
29752063,14
29314052,4
29295936,23
29045536,11
28823557,37
28481029,7
27862526,13
27989715,44
27820602,26
27732860,18
27270588,35
26497803,12
26711009,31
26597164,14
25904599,43
25669884,9
25060702,31
24350621,50
31488212,0
29579301,5
29321057,19
29030335,15
29239726,6
29212037,18
28814642,41
28472346,6
28530236,35
29244788,9
28118667,7
27760318,11
27268418,14
27358050,66
27230261,9
27012629,11
26382858,26
25385761,32
26116661,42
25242323,37
25043028,213
23935515,40
16925838,380
30930117,28
30674677,8
30412052,7
30006123,2
30042200,5
29606582,11
29931089,6
29309690,3
29161457,4
29078349,16
28982113,4
28625800,4
28512712,2
28207760,4
27869800,72
27720483,57
27253878,9
26999735,110
26438361,60
25877919,34
24332853,49
23010511,12
22761991,286
30482800,1
30093396,4
30389707,5
29316274,5
29576538,9
30247719,2
28178884,11
28209615,54
28377872,8
28159827,22
27798843,18
27595405,165
27523733,22
27159561,83
26895237,26
26147685,107
26202970,30
25865119,115
25147279,188
24289286,24
24074028,27
24034785,18
24020486,362
23580730,78
23334669,72
30213958,2
30485816,3
30232002,2
30154548,56
29193665,6
29361514,7
29335024,14
28933695,20
28542535,30
28089889,89
27991900,103
27939581,27
27500496,10
26683334,45
26677768,8
26328763,10
26302407,83
26716708,37
24867218,187
25216677,21
24770949,34
23303937,129
22174677,59
30420746,12
29847788,5
29768216,11
29529026,1
29360820,1
29142068,3
28977589,16
28428443,10
28579393,16
28257233,67
28557307,2
28538737,54
28031467,14
27923061,16
27376689,57
27210747,42
27198230,14
26324926,21
25105596,36
24857549,208
24410936,23
25250711,24
22965133,22
30092345,3
30562046,2
29765017,10
30146163,3
30078722,7
30086712,4
30024931,2
29382649,4
29227282,6
29097753,2
29021563,4
29033306,2
27609021,26
27450084,12
26711875,13
25604693,55
25332240,12
25330313,18
24389009,93
25284791,40
24045338,11
24147027,22
23965619,106
23358822,21
30012633,23
29490982,8
28819152,3
29078333,5
27899423,8
28031481,5
28103263,9
27768872,19
27637148,80
27540173,98
27430939,30
26773044,11
26850273,24
26483458,37
26214130,133
25488664,24
26628367,53
24855954,70
25633159,53
25242146,97
25199836,28
24850856,26
22319150,39
31829940,0
30602780,11
31215457,0
29925930,4
30638445,1
30566865,1
30478324,13
30320932,0
29868516,3
29643507,11
29317436,12
30277483,6
29361035,12
29038567,4
28444387,15
28658268,12
28537551,21
27179036,20
26880300,7
26679111,38
26124281,47
25767108,8
25209997,13
25407795,23
19169244,388
31109354,1
30309298,2
29985644,3
30382931,3
29942093,98
29559301,0
29706549,68
29431698,12
29101221,15
29216416,7
28963396,84
28985527,30
28957510,9
28930689,13
28630186,8
28424327,32
28111200,21
28381300,12
28928284,7
25349106,22
25557549,52
26268413,17
24798046,22
24681887,31
30866995,1
29391432,12
30279224,8
30177743,13
28778663,2
28586482,11
28379505,12
28450296,11
28331091,19
28459456,105
28507606,20
28400510,56
28288101,55
28006658,4
28196477,17
27789739,6
27630193,14
27573516,24
26769123,11
25958198,18
26413508,3
25101683,46
24389103,117
24853112,30
30059276,4
30940071,1
30348985,57
29921861,20
30250277,15
30068296,5
29871889,13
29728440,23
29738711,14
29394393,16
28973690,6
28687795,7
28724790,4
28351978,20
27913603,30
26982723,66
26588211,27
26399832,60
25630241,218
25734491,122
24252181,24
21846378,76
20573200,56
30635621,6
30552022,6
29695774,11
29808415,12
29915080,8
29643186,64
29471413,3
28289232,21
27984037,9
28111013,18
28380590,9
27895125,11
26546824,4
27150361,73
26253404,16
25071199,67
23878158,39
23836885,58
24068976,44
23993096,196
23792564,212
23580553,82
23468957,4
30517762,2
30651636,16
30665463,3
30224821,17
29698924,15
28074632,7
29530451,2
28687800,3
29024657,52
29089420,28
28614293,45
28424523,113
27819679,27
27838456,1
27663076,5
27557078,2
27254783,14
26993066,22
26739502,41
26549848,15
24612420,28
24530302,119
25329884,37
23899370,22
30283134,39
30146489,3
29915193,12
29716990,33
29606597,8
30194241,7
29281841,28
29132316,11
27903907,6
28128390,4
27980103,20
27838490,7
27667665,111
27097852,93
26959367,7
26086217,35
26034170,22
25703348,37
25346348,9
24769698,17
22959273,206
22346750,101
23043051,71
30606801,2
30568299,18
28483703,2
29899063,7
29712771,4
29697803,7
28135249,19
28279190,29
28122245,28
27345836,30
26699484,21
27760115,57
26348578,20
26386146,10
26452545,26
25707794,69
25528681,52
24994762,81
23995701,16
24223838,6
23886891,39
22328084,42
31014240,1
30429474,11
30348775,16
30311909,14
29875413,41
29367234,12
29437928,6
29138456,6
28743002,14
28615029,8
28591655,28
28497787,53
27477906,36
27465027,28
27396363,52
26597826,11
25239642,22
24277936,22
25364803,18
23771028,76
24121437,167
21874022,384
19631987,180
31123263,2
31345162,0
30552185,2
30329080,2
29666403,2
29857010,0
29843002,1
28696319,16
28436964,33
27866042,3
27939219,71
28178271,14
28059767,224
28698297,28
27751175,21
26818017,9
27481483,6
27207143,14
26989253,182
26987594,13
26337101,53
25115705,8
24116120,11
23382553,107
30692537,1
29893449,1
29777200,4
29563566,2
30379932,4
29520084,2
30157426,18
29975684,4
29795348,39
29618664,8
29891550,1
28663574,16
28584154,4
28625552,113
29030469,4
27916455,31
27510991,24
27041000,29
27089380,87
27058937,59
26607794,189
26321660,87
25636313,14
25091826,26
23788724,31
30659203,4
30046115,4
30026493,5
29937144,7
30108170,8
29795351,22
29511063,21
29490272,12
29444418,8
28874519,6
28757165,44
28025117,8
28270621,60
28190776,3
27729060,20
27538485,19
26330140,40
25972006,115
24152290,10
25458896,15
24561252,31
24075990,40
22955616,7501
21659555,54
21596954,283
29422664,4
30205047,6
29861296,29
29453314,14
29069469,6
29618058,7
29367339,4
29180639,7
28432352,2
28167506,9
28204585,13
28052240,21
27698409,11
26952988,3
25939354,169
24590290,72
24876128,10
24388747,32
24201284,125
23976882,121
22563483,34
21924763,205
20961407,35
30472157,11
29925518,12
29884649,8
29768211,15
29551674,3
29298432,8
29061907,3
29021218,4
28947736,13
28604738,40
28400494,21
28193726,20
27913638,23
27679653,63
27573849,71
27524611,17
27065194,42
26468528,27
25772072,66
25176650,32
23133370,45
22681889,563
31903125,0
30973878,1
29844131,9
29851958,3
29416007,5
30456367,3
29109175,2
29199959,16
28843648,2
28396539,3
28439016,39
28394251,15
28362800,5
27649280,8
27555590,15
26821878,19
26601949,51
27647347,15
26740582,5
25870282,115
25878276,4
25892229,48
25484291,18
24631025,26
30489156,1
30649554,6
30392795,2
30087143,4
30371266,0
30146161,35
29437775,1
29431914,8
29358707,8
29233929,15
28559568,9
28725001,15
28402695,3
28499073,7
28838946,9
27214567,55
27003939,82
26490963,9
27811056,31
26367387,3
25586221,38
21685128,107
30672092,3
29786076,11
30638901,6
29765032,11
29691479,2
30405621,10
30261621,3
29520929,13
29546410,1
29379199,35
28993516,11
28734833,23
28008008,39
27016420,7
26983497,9
26912365,87
26881808,8
26564964,25
24732378,151
24463139,16
24465213,71
23803858,194
22817891,263
30596634,2
30353734,3
30068703,5
29581250,28
29642003,10
29494583,4
29269867,23
29292161,22
29293084,2
29377894,8
29180615,3
28798256,14
28703188,89
28301039,5
27992405,31
27350436,21
26429547,13
26076035,68
26159996,83
25860612,38
25415967,20
25331115,23
23396136,150
22080597,31
31113472,0
30022164,25
29791852,6
29438444,3
28826479,19
28760958,33
28609655,24
28108460,41
28068403,1
27998927,12
27466694,10
26989177,87
27151365,67
27019226,80
26687839,71
27216822,4
25732733,4
25464844,20
24990964,38
21097887,157
18472421,478
30595537,3
30003673,4
29885264,2
30054204,12
30029619,2
29545200,6
29342213,5
29217582,39
29145494,0
28965767,13
28703029,9
28864472,9
28591870,33
28697340,14
27984043,6
27598998,17
26958833,59
26755583,32
26091037,191
25908225,18
26426037,4
25489054,30
25449132,170
23903188,67
30353164,2
30496484,1
29859049,1
29670287,69
29618337,6
28804122,8
29185442,15
28466676,3
27841882,19
27840027,38
27487209,40
27197219,62
26602946,11
26729287,43
26473332,19
26385698,8
25409146,399
25603933,42
25339359,61
25008181,43
24586954,19
25428981,32
23569115,15
23531360,103
31534115,2
31087609,1
30180878,5
29861168,4
29695414,10
29746501,1
29437960,13
29393020,1
28808254,4
28892074,10
28911114,13
28247413,17
28369043,22
27920256,0
27407110,30
27571008,25
26947975,22
26766736,11
26153529,3
25106430,34
23706135,14
23064648,46
22769017,28
20935180,335
30616562,3
30587117,1
30566875,7
30487586,14
30343100,1
30181561,8
30122371,4
30475207,4
30176372,5
28901284,0
28556967,9
28854373,50
28545587,8
28494859,5
28326294,7
28052262,12
27512016,21
26342021,19
25931586,24
26484760,36
26341198,25
24642862,59
22196887,118
30977723,3
30498131,1
29861096,21
30455458,17
29491376,23
30385632,4
30360761,1
30332638,5
29466355,0
29127211,4
28903026,4
28993409,12
29150605,31
28611217,26
28346410,30
29272703,28
27192402,5
26858037,28
26503053,166
26036254,33
25894659,127
24112122,51
24499931,35
30664737,17
30893019,2
30150766,1
29474907,11
29089422,11
28765163,27
28813657,32
28213091,11
27655246,9
28230051,231
28081440,43
27713544,6
27231839,7
27452466,77
27434182,4
27287411,28
26928226,84
26896798,15
26820575,16
25576482,40
24456102,11
24368734,178
23177623,17
22708697,29
30626875,2
29748556,3
29700298,29
29954933,1
30285846,1
30054366,0
29666124,4
29162437,22
28945250,49
28805822,64
27932387,1
27694442,18
26356302,24
25645357,21
26254031,9
25625564,113
24286025,63
23829427,27
23754401,154
22479196,152
22832163,127
21177957,57
20452321,332
31814692,1
30061742,28
30057262,10
29649237,6
28522693,31
28826504,8
28772121,19
28694385,149
28723550,59
28535371,16
28007978,11
27488818,14
26941323,116
26828195,290
26581859,4
25720978,16
26041313,6
25921526,30
25150835,107
25453760,28
24752898,83
24747640,59
24653039,39
24367943,34
21993781,35
31493975,1
30072689,12
29172250,20
29311336,21
29901772,2
29085060,4
29138277,16
28978473,35
28506465,36
28607179,13
28190001,10
27974438,12
27863226,26
27552617,69
26944194,12
26891448,15
26576614,45
26732280,54
26418419,3
26402678,18
26177267,18
25326170,30
25135956,31
21402899,40
20700444,124
30595531,18
30540942,5
29352183,28
29686140,3
29686109,0
29625896,34
29371439,36
28790409,3
28864682,3
28723896,91
28536678,0
28407681,16
27841873,67
27221067,17
27118842,19
27104978,51
26926465,18
26530351,30
25202826,8
26710171,19
26463163,36
23651857,67
23484019,39
30971782,0
30026560,11
30385725,0
29478914,15
29361555,6
28465541,9
28923166,9
28826820,18
28837622,7
28777813,5
28283548,9
28262751,50
28059714,117
27923844,36
28017658,12
27841856,57
27180681,31
26700268,6
27481242,17
25394905,52
24461193,50
24812032,8
19808877,276
30966857,1
30951671,21
30065074,2
29901742,0
30146411,5
30082068,8
29682831,1
29615509,8
29263113,2
29545365,59
29236770,5
28819115,6
29269483,28
29149604,34
28484037,38
27422411,8
27879268,23
27938667,6
27475528,45
26414909,17
26544867,21
24476825,253
24670763,970
24371808,78
23140097,25
30482756,6
30389913,4
30038226,6
30332651,2
30322406,5
29899093,8
29742392,6
28940700,56
29211713,80
28637241,10
27604819,44
28194035,91
27497973,15
27571262,29
27493002,10
27225899,31
27306184,86
27193058,15
27187149,20
26710888,23
25766122,29
25280221,67
22959275,151
22552098,700
31308451,0
30563064,2
30143639,3
30220099,5
30254126,2
29657129,57
29305462,55
28761171,0
28423318,9
28904958,1
27913602,4
27520549,12
27378778,16
27219007,4
26187872,21
25124075,33
25242744,569
25102070,8
24256510,41
24975990,44
22759920,54
22608085,966
31566233,0
31552827,1
30590473,2
29789568,0
30318291,1
30402543,24
29719265,16
29151585,10
29305388,3
28623086,19
28132887,7
28827401,13
28049151,27
27344374,9
26859354,34
26986205,14
26259570,11
25799441,63
25739089,22
25926645,24
23447580,24
21368835,129
18459106,124
30718840,8
29861389,18
29995933,2
30032211,5
28644712,2
28818970,26
28475897,150
28384468,42
28082345,10
27245359,11
27380413,26
26784546,18
26745863,30
26382853,79
26416749,120
26013826,2
25409824,600
25330228,3
24894543,31
23453015,125
23159368,292
21760907,35
30002159,7
29760084,19
29383869,16
29281003,12
29420172,9
29108019,4
28795454,4
28575377,20
28489916,13
28289081,15
28099866,21
28128379,15
27856696,10
28007784,9
27565342,79
27156384,58
26172874,63
26143042,13
24881874,44
24002588,43
23667457,9
23512658,31
22274562,7
21289626,1053
31253755,2
30341147,7
29430619,5
29943428,4
30366940,8
30135188,3
28346225,12
27524623,28
27056325,30
26920757,9
26446995,22
26149852,14
25762136,236
26412130,39
25901032,90
25552497,16
25367915,8
24503642,111
23900141,43
23369715,503
22815530,23
30596671,2
30385745,12
29374279,3
30475900,6
29967121,4
29490280,12
29335608,47
29386116,21
28753224,14
28879499,0
29020636,55
28746393,15
28434878,9
28003365,7
28968576,11
27342214,23
27181059,76
26466203,22
26236012,74
26007656,9
25150839,217
25215492,53
24722255,85
30795750,1
30416071,12
29535189,55
29462153,35
29217753,2
29225342,37
28976960,41
28867293,7
28854962,4
28708456,4
28475736,3
28082412,46
27857073,21
27142468,52
26871635,72
25903797,14
26555942,14
26324254,13
26076956,192
24600046,15
25178283,17
24163313,91
22438023,182
30659199,3
30548288,0
30830868,2
30093397,4
29945552,2
29686054,13
29644996,77
29658714,2
29206203,8
29066820,43
28645700,11
28768686,24
28708999,24
28794184,25
28416637,18
27856756,16
27548314,69
27507283,8
27386949,24
26931818,13
27175901,4
26642438,37
26109049,60
25078267,60
31280962,1
30803307,1
30361550,11
29958803,9
29597262,6
29161413,14
29426889,1
29246441,21
28805814,27
28436945,28
28082400,6
27941797,72
25583711,17
26345368,0
26193633,42
25965569,204
25385641,33
24214992,63
24850797,8
24423662,122
23399596,96
30353168,6
30728521,56
30282036,0
30197299,15
29895674,3
29305589,6
29724792,12
29719235,21
29021529,8
29066438,2
28437395,15
27984734,193
27746097,78
27749823,17
26863196,286
26464439,30
25985234,47
25637652,16
25891934,13
26339636,17
25180063,72
25057003,40
24722732,14
23290917,25
31536771,0
30886404,9
31057555,1
30540249,3
29993038,2
29617759,5
29483597,25
29133947,9
29101332,8
28841717,18
28552993,8
28273452,12
28935668,6
27907090,6
27616062,94
26943576,15
26834239,12
26818975,14
26656643,118
25871848,3
25634765,16
24732588,29
24346282,11
23624402,652
22920253,138
30413481,5
30389848,4
30232334,6
30344096,15
30295647,12
30355489,3
29617651,21
29360641,5
29672594,13
29472497,17
29489876,6
29329948,31
28345808,7
28463102,11
28542576,16
