Accession,suppdata_id,Type,pi0,Type_after_filter,pi0_after_filter
GSE65142,GSE65142_YH.txt.gz,bimodal,NA,NA,NA
GSE72830,GSE72830_tss_group_exp.diff.gz,conservative,NA,NA,NA
GSE72917,GSE72917_DP2_WTvKO.txt.gz,conservative,NA,NA,NA
GSE65542,GSE65542_ptbp1_kd.diff.gz,bimodal,NA,NA,NA
GSE58910,GSE58910_SenescentAstrocytesDEanalysis_v2.csv.gz,bimodal,NA,anti-conservative,0.6923670574515448
GSE60701,GSE60701_ChL_R_vs_ChL_L.diff_expressed_transcripts.tsv.gz,bimodal,NA,NA,NA
GSE44665,GSE44665_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE122990,GSE122990_DEseq_ARC7-ARC10-ARC16_ARM4-ARM5-ARM6_DEG_list_1_.csv.gz,spiky,NA,anti-conservative,0.47136778079446023
GSE116650,GSE116650_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_tagged_EZH2_overexpression.DESeq2_Results.xlsx,other,NA,anti-conservative,0.717859774641845
GSE100829,GSE100829_N2_HPL2_J2IP_DESeqResults.xlsx,spiky,NA,anti-conservative,0.13595244623735556
GSE98258,GSE98258_annotated_diffana_exp++_p100++-p30++.txt.gz,bimodal,NA,anti-conservative,0.7866952397964416
GSE73615,GSE73615_cds.diff.gz,conservative,NA,NA,NA
GSE102597,GSE102597_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE84158,GSE84158_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE72820,GSE72820_MDA1N-1P_RPKM.xlsx.gz,conservative,NA,NA,NA
GSE76994,GSE76994_TKD_H2O_DEseq.xls.gz,bimodal,NA,anti-conservative,0.7141948878051181
GSE72917,GSE72917_KO_DP1vDP2.txt.gz,conservative,NA,NA,NA
GSE51144,GSE51144_all_exons.txt.gz,other,NA,NA,NA
GSE97738,GSE97738_hypothalamic_DEG.xls.gz-sheet-origin,bimodal,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,other,NA,anti-conservative,0.8238737371185642
GSE98258,GSE98258_annotated_diffana_exp+-_p100+--p30+-.xlsx,bimodal,NA,anti-conservative,0.5867208856555877
GSE98580,GSE98580_DESeq2_ERbeta_EV_HEK293.txt.gz,conservative,NA,anti-conservative,0.6957409886107503
GSE106365,GSE106365_S2.L7vsControl.Differential_analysis_results.txt.gz,conservative,NA,NA,NA
GSE95852,GSE95852_miRNA_wt_ko_p11.diff.gz,conservative,NA,NA,NA
GSE72820,GSE72820_MDA27N-27P_RPKM.xlsx.gz,conservative,NA,NA,NA
GSE84786,GSE84786_gene_exp.xls.gz-sheet-gene_exp,conservative,NA,NA,NA
GSE84786,GSE84786_gene_exp.xls.gz-sheet-Fold change,conservative,NA,NA,NA
GSE75833,GSE75833_DESeq-processed_FB.control_vs_FB.25mkM.4HT.txt.gz,conservative,NA,other,NA
GSE76991,GSE76991_Gcn5KD_H2O_DEseq.xls.gz,conservative,NA,anti-conservative,0.68931368353349
GSE71284,GSE71284_control_WT2_WT3_C1_C2_vs_truncation_3kb1_3kb2_100kb1_100kb2_CUFFDIFF_gene_exp.diff.gz,conservative,NA,NA,NA
GSE71164,GSE71164_SCR-static_vs_SCR-FSS.tabular.txt.gz,bimodal,NA,NA,NA
GSE72917,GSE72917_WT_DP1vDP2.txt.gz,conservative,NA,NA,NA
GSE60822,GSE60822_cuffdiff.control.ablation.tab.gz,conservative,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas123Individual.xls.gz-sheet-Contr vs Ras1,conservative,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas123Individual.xls.gz-sheet-Contr vs Ras2,conservative,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas123Individual.xls.gz-sheet-Contr vs Ras3,conservative,NA,NA,NA
GSE108005,GSE108005_gene_exp.diff.gz,conservative,NA,NA,NA
GSE98258,GSE98258_annotated_diffana_exp100j_p100+--p100++.xlsx,conservative,NA,anti-conservative,0.9345933403534896
GSE104090,GSE104090_Isoform_processed_data.xlsx,conservative,NA,NA,NA
GSE108308,GSE108308_Process.RNASeq.DE.txt.gz,bimodal,NA,NA,NA
GSE95852,GSE95852_miRNA_wt_ko_p27.diff.gz,conservative,NA,NA,NA
GSE93357,GSE93357_Cuffdiff_output.txt.gz,conservative,NA,NA,NA
GSE72820,GSE72820_MDA2N-2P_RPKM.xlsx.gz,conservative,NA,NA,NA
GSE84786,GSE84786_isoform_exp.xlsx-sheet-isoform_exp,conservative,NA,NA,NA
GSE84786,GSE84786_isoform_exp.xlsx-sheet-Fold change,conservative,NA,NA,NA
GSE70815,GSE70815_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE71164,GSE71164_SCR-static_vs_SH-EZH2-static.tabular.txt.gz,conservative,NA,NA,NA
GSE60822,GSE60822_cuffdiff.control.induction.tab.gz,conservative,NA,NA,NA
GSE61851,GSE61851_genelist-sortedbypadj.txt.gz,bimodal,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas123Multiple.xls.gz-sheet-RawData Contr123 vs Ras123,conservative,NA,NA,NA
GSE40228,GSE40228_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE39812,GSE39812_FT_result_transcript_summary.tsv.txt.gz,conservative,NA,NA,NA
GSE108896,GSE108896_Supplementary_Table_3.xlsx-sheet-deseq2_malevsfemale,other,NA,anti-conservative,0.9473577167941731
GSE108896,GSE108896_Supplementary_Table_3.xlsx-sheet-deseq2_CAIAvsSAL,spiky,NA,uniform,NA
GSE98258,GSE98258_annotated_diffana_exp30j_p30+--p30++.txt.gz,conservative,NA,anti-conservative,0.8429912344306942
GSE104090,GSE104090_Processed_data.xlsx-sheet-gene_exp.diff,conservative,NA,NA,NA
GSE73615,GSE73615_cds_exp.diff.gz,conservative,NA,NA,NA
GSE95852,GSE95852_miRNA_wt_ko_p5.diff.gz,conservative,NA,NA,NA
GSE85863,GSE85863_Galaxy238-_Cuffdiff_on_data_40__data_35__and_others_gene_differential_expression_testing_.txt.gz,conservative,NA,NA,NA
GSE72820,GSE72820_MDA31N-31P_RPKM.xlsx.gz,conservative,NA,NA,NA
GSE60822,GSE60822_cuffdiff.induction.ablation.tab.gz,conservative,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas12Multiple.xls.gz-sheet-RawData Contr123 vs Ras12,conservative,NA,NA,NA
GSE113085,GSE113085_gene_exp.diff.gz,conservative,NA,NA,NA
GSE98941,GSE98941_NvsP.csv.gz,conservative,NA,bimodal,NA
GSE101545,GSE101545_DiffExpr_diet_sw1_versus_control.xlsx,conservative,NA,other,NA
GSE101510,GSE101510_IRF4_master_table.csv.gz,conservative,NA,NA,NA
GSE73615,GSE73615_gene_exp.diff.gz,conservative,NA,NA,NA
GSE87441,GSE87441_gene_exp_CTRL_HDAC2-KD_statistics.txt.gz,bimodal,NA,NA,NA
GSE98576,GSE98576_gene_exp.diff.gz,conservative,NA,NA,NA
GSE83217,GSE83217_Processed_Matrix_FPKM.xlsx-sheet-siScramble_vs_siHdac4,conservative,NA,NA,NA
GSE83217,GSE83217_Processed_Matrix_FPKM.xlsx-sheet-siScramble_vs_siBdnf,conservative,NA,NA,NA
GSE77395,GSE77395_A_OE_air_vs_Col_air.diff.gz,conservative,NA,NA,NA
GSE72820,GSE72820_MDA33N-33P_RPKM.xlsx.gz,conservative,NA,NA,NA
GSE84529,GSE84529_Paired_comparison_of_three_sections_Cuffdiff.xlsx-sheet-Comparison_0-5_mm_vs_15-20_mm,bimodal,NA,NA,NA
GSE84529,GSE84529_Paired_comparison_of_three_sections_Cuffdiff.xlsx-sheet-Comparison_0-5_mm_vs_30-35_mm,bimodal,NA,NA,NA
GSE84529,GSE84529_Paired_comparison_of_three_sections_Cuffdiff.xlsx-sheet-Comparison_30-35_mm_vs_15-20_mm,conservative,NA,NA,NA
GSE72712,GSE72712_ESCd_40-70_over_ESCd_lt40.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-d_lt40,conservative,NA,NA,NA
GSE63838,GSE63838_cds_exp_diff_2D.txt.gz,conservative,NA,NA,NA
GSE56122,GSE56122_IFN-gene_exp.diff.gz,conservative,NA,NA,NA
GSE50203,GSE50203_gene_exp.diff.gz,conservative,NA,NA,NA
GSE63300,GSE63300_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE56575,GSE56575_cds_exp.diff.txt.gz,conservative,NA,NA,NA
GSE39812,GSE39812_TB_result_transcript_summary.tsv.txt.gz,bimodal,NA,NA,NA
GSE101545,GSE101545_DiffExpr_diet_sw1_versus_control_Ssal_ref.xlsx,conservative,NA,other,NA
GSE109870,GSE109870_gene_exp.diff.gz,conservative,NA,NA,NA
GSE87441,GSE87441_gene_exp_CTRL_SP3-KD_statistics.txt.gz,bimodal,NA,NA,NA
GSE77395,GSE77395_col_air_vs_ethylene.diff.gz,bimodal,NA,NA,NA
GSE72820,GSE72820_MDA34N-34P_RPKM.xlsx.gz,conservative,NA,NA,NA
GSE84798,GSE84798_gene_exp.diff.gz,conservative,NA,NA,NA
GSE80972,GSE80972_frm_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE72712,GSE72712_ESCd_40-70_over_ESCu.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-u.cuffdiff,conservative,NA,NA,NA
GSE77256,GSE77256_Cuffdiff_Anagen_HFSCs.txt.gz,bimodal,NA,NA,NA
GSE76992,GSE76992_GFP_vs_p16.txt.gz,bimodal,NA,NA,NA
GSE58586,GSE58586_RNAseq-PDX-paired-tr-vs-untr_allintensity-filtered.txt.gz,other,NA,NA,NA
GSE50203,GSE50203_isoform_exp.diff.gz,conservative,NA,NA,NA
GSE56097,GSE56097_Cufflinks_CuffDiff_gene_exp.txt.gz,conservative,NA,NA,NA
GSE55596,GSE55596_LOLOdiff_nonovel.txt.gz,conservative,NA,NA,NA
GSE101545,GSE101545_DiffExpr_diet_sw2_versus_control.xlsx,conservative,NA,other,NA
GSE113252,GSE113252_DESeq.H_vs_K.xlsx.gz,other,NA,other,NA
GSE61955,GSE61955_12hr.txt.gz,bimodal,NA,NA,NA
GSE62563,GSE62563_gene_expression.txt.gz,conservative,NA,NA,NA
GSE87808,GSE87808_diffExp_Slc7a5_Cerebellum_allGenes.txt.gz,spiky,NA,anti-conservative,0.8333603496972849
GSE79412,GSE79412_amiFPSa_gene_exp_diff.xlsx-sheet-Hoja1,conservative,NA,NA,NA
GSE73192,GSE73192_cds_chromosome_exp.diff.gz,bimodal,NA,NA,NA
GSE72820,GSE72820_MDA3N-3P_RPKM.xlsx.gz,conservative,NA,NA,NA
GSE72712,GSE72712_ESCd_gt70_over_ESCd_40-70.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-d_40-70,conservative,NA,NA,NA
GSE77256,GSE77256_Cuffdiff_Telogen_HFSCs.txt.gz,conservative,NA,NA,NA
GSE57254,GSE57254_Control_CELF1KD_abundances.txt.gz,conservative,NA,NA,NA
GSE71153,GSE71153_projectLindholmPerry_USDA0001AL_master_list.txt.gz,spiky,NA,NA,NA
GSE56122,GSE56122_LPS-gene_exp.diff.gz,conservative,NA,NA,NA
GSE55596,GSE55596_alldiff_nonovel.txt.gz,conservative,NA,NA,NA
GSE49587,GSE49587_L2_L3P1_2_DEUtable.txt.gz,other,NA,NA,NA
GSE107434,GSE107434_RNASeq-mice-CTX-6week_cuffdiff_KOvsWT_genes.txt.gz,conservative,NA,NA,NA
GSE101545,GSE101545_DiffExpr_diet_sw2_versus_control_Ssal_ref.xlsx,conservative,NA,other,NA
GSE97769,GSE97769_Diff_Exp_Results_24_0-vs-24_1_2.txt.gz,conservative,NA,NA,NA
GSE106259,GSE106259_gene_exp.txt.gz,conservative,NA,NA,NA
GSE94853,GSE94853_genes_differentialexpression_matrix.txt.gz,conservative,NA,NA,NA
GSE100632,GSE100632_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE76287,GSE76287_rosettes_col0vdko_tair.txt.gz,conservative,NA,NA,NA
GSE86521,GSE86521_DESeq_out_KO_vs_WT.txt.gz,bimodal,NA,anti-conservative,0.7426756559446382
GSE72712,GSE72712_ESCd_gt70_over_ESCd_lt40.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-d_lt40,conservative,NA,NA,NA
GSE77256,GSE77256_Cuffdiff_all_HFSCs.txt.gz,bimodal,NA,NA,NA
GSE74868,GSE74868_ETS2_T72D_OE_Epi_RNAseq.txt.gz,conservative,NA,NA,NA
GSE54246,GSE54246_Control_vs._4_NQO_Tongue_gene_exp.xlsx.gz,bimodal,NA,NA,NA
GSE49587,GSE49587_L312hr_L3P1_2_DEUtable.txt.gz,other,NA,NA,NA
GSE107434,GSE107434_RNASeq-mice-CTX-6week_cuffdiff_KOvsWT_isoforms.txt.gz,conservative,NA,NA,NA
GSE117631,GSE117631_Cg1-Cre_PU.1_KO_Tumor_vs_control.txt.gz,spiky,NA,NA,NA
GSE97769,GSE97769_Diff_Exp_Results_24_0-vs-24_6.txt.gz,conservative,NA,NA,NA
GSE76287,GSE76287_seedling_col0vdko_tair.txt.gz,bimodal,NA,NA,NA
GSE76487,GSE76487_shMBNL1_gene_exp_diff.txt.gz,bimodal,NA,NA,NA
GSE72712,GSE72712_ESCd_gt70_over_ESCu.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-u.cuffdiff,conservative,NA,NA,NA
GSE62909,GSE62909_Differential_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE72321,GSE72321_annotated_diffana_6-OHDA-6-OHDA_En.xlsx,conservative,NA,other,NA
GSE69900,GSE69900_control-CBD16H.txt.gz,bimodal,NA,NA,NA
GSE41090,GSE41090_WT_vs_KO_full_genes.tab.txt.gz,conservative,NA,NA,NA
