Accession,suppdata_id,Type,pi0,SRP,pi01,fp,rs,ud
GSE94967,GSE94967_isoform_exp.diff_A_B_ISOFORM.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE94821,GSE94821_cuffdiff_mock_vs_8hpi.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE81100,GSE81100_youngARSER_output.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE61336,GSE61336_results_WTL_vs_WTZ.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE64854,GSE64854_splicing.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8535_vs_OtA8538_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtD1.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE59290,GSE59290_MIR_isoform_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE52201,GSE52201_RNAseq_processed_data_L_D_siLSD1.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE58360,GSE58360_Cebpa.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-ESCs_VS_EBDay4,bimodal,NA,NA,NA,NA,NA,NA
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-EBDay4_ControlVSBrachyuryKD,bimodal,NA,NA,NA,NA,NA,NA
GSE52038,GSE52038_Supplementary-table-1-date11021.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE120293,GSE120293_CDYL-Processed_data.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE118915,GSE118915_Ovol2_MutantvsControl_Processed.txt.gz,spiky,NA,NA,NA,NA,NA,NA
GSE114998,GSE114998_Spreadsheet1_CT_Repbase.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE109185,GSE109185_E3_F5_DESeq2.csv.gz,other,NA,NA,NA,NA,NA,NA
GSE101996,GSE101996_bfx319.6month.table1.csv.gz,other,NA,NA,NA,NA,NA,NA
GSE94967,GSE94967_tss_group_exp.diff_A_B_TSS.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE86323,GSE86323_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE60177,GSE60177_PseudomonasDESeq.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_cds.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE64854,GSE64854_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8536_vs_OtA8539_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX129.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Gencode_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE63570,GSE63570_Rec_siRNA_RNA-seq.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE50557,GSE50557_rnaseq-lbl1-Cuffdiff_gene_expression.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE58359,GSE58359_HOXA9.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C1_WtE8.0_Vs_Wt10.0,bimodal,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C2_Wt_VS_ Tc E8.0,bimodal,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C3_Wt_VS_Tc_E10.0,bimodal,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C4_TcE8.0_VS_TcE10.0,bimodal,NA,NA,NA,NA,NA,NA
GSE120293,GSE120293_CSDS-Processed_data.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE116607,GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-gene_exp,conservative,NA,NA,NA,NA,NA,NA
GSE116607,GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-status = ok,other,NA,NA,NA,NA,NA,NA
GSE114998,GSE114998_Spreadsheet2_CT_mRNAseq.xlsx,uniform,NA,NA,NA,NA,NA,NA
GSE113114,GSE113114_Het_vs_KO.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE101996,GSE101996_bfx319.6month.table2.csv.gz,other,NA,NA,NA,NA,NA,NA
GSE100277,GSE100277_Mett3_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE87532,GSE87532_gene_exp.diff.name.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE76533,GSE76533_leaf.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_cds_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE71943,GSE71943_KO_vs_WT_diffGenes.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8537_vs_OtA8540_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX34.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Rinn_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE66716,GSE66716_Lim_et_al_14-3-3zKOWAT_Processed_data_Cuffdiff.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE70860,GSE70860_DEaxons.csv.gz,spiky,NA,NA,NA,NA,NA,NA
GSE57680,GSE57680_RPKM_luminal_epithelium.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE37111,GSE37111_clip.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE106709,GSE106709_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE91400,GSE91400_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-CASK,spiky,NA,NA,NA,NA,NA,NA
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-SAP97,spiky,NA,NA,NA,NA,NA,NA
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-MDX,other,NA,NA,NA,NA,NA,NA
GSE98869,GSE98869_diffexp.tsv.gz,spiky,NA,NA,NA,NA,NA,NA
GSE77037,GSE77037_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-DSP-TP_VS_LL-YY,conservative,NA,NA,NA,NA,NA,NA
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-DSP-TP,conservative,NA,NA,NA,NA,NA,NA
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-LL-YY,conservative,NA,NA,NA,NA,NA,NA
GSE76533,GSE76533_seedling.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE76683,GSE76683_shHOXA7gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8538_vs_OtA8541_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX87.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE71281,GSE71281_G53_veh_vs_SAA_Th17_CuffDiff_Gene_Differential.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Vehicle_vs_Cytokine_Gencode_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE70860,GSE70860_DEsoma.csv.gz,other,NA,NA,NA,NA,NA,NA
GSE67554,GSE67554_TAG5_Cuffdiff_gene_differential_expression_testing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE57680,GSE57680_RPKM_stroma.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE50424,GSE50424_Adipose.tsv.gz,conservative,NA,NA,NA,NA,NA,NA
GSE119029,GSE119029_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372A_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,other,NA,NA,NA,NA,NA,NA
GSE97980,GSE97980_N2_vs_nlg.xlsx-sheet-N2vsnlg_DE,conservative,NA,NA,NA,NA,NA,NA
GSE101995,GSE101995_bfx556.deseq.csv.gz,other,NA,NA,NA,NA,NA,NA
GSE106605,GSE106605_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE76682,GSE76682_EB_AM580gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8539_vs_OtA8542_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Vehicle_vs_Cytokine_Rinn_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE67554,GSE67554_ZG14_Cuffdiff_gene_differential_expression_testing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE50424,GSE50424_Liver.tsv.gz,conservative,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372A_overexpression_vs_tagged_EZH2_overexpression.DESeq2_Results.xlsx,other,NA,NA,NA,NA,NA,NA
GSE97980,GSE97980_N2_vs_nrx.xlsx-sheet-N2vsnrx,conservative,NA,NA,NA,NA,NA,NA
GSE100367,GSE100367_CL6566_vs_CL6364_processed.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE79633,GSE79633_DESeq2_out_FO_GFP_vs_WT.txt.gz,spiky,NA,NA,NA,NA,NA,NA
GSE65142,GSE65142_HYBP.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8540_vs_OtA8543_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE68102,GSE68102_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE60701,GSE60701_AL_R_vs_AL_L.diff_expressed_transcripts.tsv.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE104286,GSE104286_Gene_differential_expression.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE122992,GSE122992_DEseq_AR6-AR7-AR13-AR19_AR8-AR9-AR17-AR24_DEG_list.csv.gz,conservative,NA,NA,NA,NA,NA,NA
GSE117682,GSE117682_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE97980,GSE97980_N2_vs_nrx_nlg.xlsx-sheet-N2_vs_nrx_nlg,conservative,NA,NA,NA,NA,NA,NA
GSE100367,GSE100367_CL6768_vs_CL6364_processed.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE101994,GSE101994_bfx564.deseq.csv.gz,other,NA,NA,NA,NA,NA,NA
GSE103914,GSE103914_ZLD_differential_gene_expression.csv.gz,conservative,NA,NA,NA,NA,NA,NA
GSE98650,GSE98650_mb1_hdac3_cuffdiff_out.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE74929,GSE74929_ANOVA_gene_rpkm.txt.gz-set-0,other,NA,NA,NA,NA,NA,NA
GSE74929,GSE74929_ANOVA_gene_rpkm.txt.gz-set-1,other,NA,NA,NA,NA,NA,NA
GSE93866,GSE93866_IDOE_GENE_EXPRESSION.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE85308,GSE85308_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72830,GSE72830_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE72917,GSE72917_DP1_WTvKO.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE64455,GSE64455_cuffdiff_out.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE65542,GSE65542_pnky_kd.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE60701,GSE60701_ChL_R_vs_AL_R.diff_expressed_transcripts.tsv.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE42381,GSE42381_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE44668,GSE44668_gene_exp_diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE40948,GSE40948_MEF_vs_ESC_2replicates_expression.tsv.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE109850,GSE109850_DifferentialAnalysis.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_tagged_EZH2_T372A_overexpression.DESeq2_Results.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE110698,GSE110698_HepG2_cyt_vs_HepG2_tot.xls.gz,spiky,NA,NA,NA,NA,NA,NA
GSE96684,GSE96684_Cuffdiff_4WT_4Mecp2_null_gene_differential_expression_testing.tabular.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85308,GSE85308_processed_data.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE65987,GSE65987_FPKM_for_MEFs.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE65142,GSE65142_YH.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE72830,GSE72830_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72917,GSE72917_DP2_WTvKO.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE65542,GSE65542_ptbp1_kd.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE58910,GSE58910_SenescentAstrocytesDEanalysis_v2.csv.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE60701,GSE60701_ChL_R_vs_ChL_L.diff_expressed_transcripts.tsv.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE44665,GSE44665_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE122990,GSE122990_DEseq_ARC7-ARC10-ARC16_ARM4-ARM5-ARM6_DEG_list_1_.csv.gz,spiky,NA,NA,NA,NA,NA,NA
GSE116650,GSE116650_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_tagged_EZH2_overexpression.DESeq2_Results.xlsx,other,NA,NA,NA,NA,NA,NA
GSE100829,GSE100829_N2_HPL2_J2IP_DESeqResults.xlsx,spiky,NA,NA,NA,NA,NA,NA
GSE98258,GSE98258_annotated_diffana_exp++_p100++-p30++.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE73615,GSE73615_cds.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102597,GSE102597_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE84158,GSE84158_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE72820,GSE72820_MDA1N-1P_RPKM.xlsx.gz,conservative,NA,NA,NA,NA,NA,NA
GSE76994,GSE76994_TKD_H2O_DEseq.xls.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE72917,GSE72917_KO_DP1vDP2.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE51144,GSE51144_all_exons.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE97738,GSE97738_hypothalamic_DEG.xls.gz-sheet-origin,bimodal,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,other,NA,NA,NA,NA,NA,NA
GSE98258,GSE98258_annotated_diffana_exp+-_p100+--p30+-.xlsx,bimodal,NA,NA,NA,NA,NA,NA
GSE98580,GSE98580_DESeq2_ERbeta_EV_HEK293.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE106365,GSE106365_S2.L7vsControl.Differential_analysis_results.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE95852,GSE95852_miRNA_wt_ko_p11.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72820,GSE72820_MDA27N-27P_RPKM.xlsx.gz,conservative,NA,NA,NA,NA,NA,NA
GSE84786,GSE84786_gene_exp.xls.gz-sheet-gene_exp,conservative,NA,NA,NA,NA,NA,NA
GSE84786,GSE84786_gene_exp.xls.gz-sheet-Fold change,conservative,NA,NA,NA,NA,NA,NA
GSE75833,GSE75833_DESeq-processed_FB.control_vs_FB.25mkM.4HT.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE76991,GSE76991_Gcn5KD_H2O_DEseq.xls.gz,conservative,NA,NA,NA,NA,NA,NA
GSE71284,GSE71284_control_WT2_WT3_C1_C2_vs_truncation_3kb1_3kb2_100kb1_100kb2_CUFFDIFF_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE71164,GSE71164_SCR-static_vs_SCR-FSS.tabular.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE72917,GSE72917_WT_DP1vDP2.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE60822,GSE60822_cuffdiff.control.ablation.tab.gz,conservative,NA,NA,NA,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas123Individual.xls.gz-sheet-Contr vs Ras1,conservative,NA,NA,NA,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas123Individual.xls.gz-sheet-Contr vs Ras2,conservative,NA,NA,NA,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas123Individual.xls.gz-sheet-Contr vs Ras3,conservative,NA,NA,NA,NA,NA,NA
GSE108005,GSE108005_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE98258,GSE98258_annotated_diffana_exp100j_p100+--p100++.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE104090,GSE104090_Isoform_processed_data.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE108308,GSE108308_Process.RNASeq.DE.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE95852,GSE95852_miRNA_wt_ko_p27.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE93357,GSE93357_Cuffdiff_output.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72820,GSE72820_MDA2N-2P_RPKM.xlsx.gz,conservative,NA,NA,NA,NA,NA,NA
GSE84786,GSE84786_isoform_exp.xlsx-sheet-isoform_exp,conservative,NA,NA,NA,NA,NA,NA
GSE84786,GSE84786_isoform_exp.xlsx-sheet-Fold change,conservative,NA,NA,NA,NA,NA,NA
GSE70815,GSE70815_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE71164,GSE71164_SCR-static_vs_SH-EZH2-static.tabular.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE60822,GSE60822_cuffdiff.control.induction.tab.gz,conservative,NA,NA,NA,NA,NA,NA
GSE61851,GSE61851_genelist-sortedbypadj.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas123Multiple.xls.gz-sheet-RawData Contr123 vs Ras123,conservative,NA,NA,NA,NA,NA,NA
GSE40228,GSE40228_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE39812,GSE39812_FT_result_transcript_summary.tsv.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE108896,GSE108896_Supplementary_Table_3.xlsx-sheet-deseq2_malevsfemale,other,NA,NA,NA,NA,NA,NA
GSE108896,GSE108896_Supplementary_Table_3.xlsx-sheet-deseq2_CAIAvsSAL,spiky,NA,NA,NA,NA,NA,NA
GSE98258,GSE98258_annotated_diffana_exp30j_p30+--p30++.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE104090,GSE104090_Processed_data.xlsx-sheet-gene_exp.diff,conservative,NA,NA,NA,NA,NA,NA
GSE73615,GSE73615_cds_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE95852,GSE95852_miRNA_wt_ko_p5.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85863,GSE85863_Galaxy238-_Cuffdiff_on_data_40__data_35__and_others_gene_differential_expression_testing_.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72820,GSE72820_MDA31N-31P_RPKM.xlsx.gz,conservative,NA,NA,NA,NA,NA,NA
GSE60822,GSE60822_cuffdiff.induction.ablation.tab.gz,conservative,NA,NA,NA,NA,NA,NA
GSE41487,GSE41487_ResultsContr123vsRas12Multiple.xls.gz-sheet-RawData Contr123 vs Ras12,conservative,NA,NA,NA,NA,NA,NA
GSE113085,GSE113085_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE98941,GSE98941_NvsP.csv.gz,conservative,NA,NA,NA,NA,NA,NA
GSE101545,GSE101545_DiffExpr_diet_sw1_versus_control.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE101510,GSE101510_IRF4_master_table.csv.gz,conservative,NA,NA,NA,NA,NA,NA
GSE73615,GSE73615_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE87441,GSE87441_gene_exp_CTRL_HDAC2-KD_statistics.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE98576,GSE98576_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE83217,GSE83217_Processed_Matrix_FPKM.xlsx-sheet-siScramble_vs_siHdac4,conservative,NA,NA,NA,NA,NA,NA
GSE83217,GSE83217_Processed_Matrix_FPKM.xlsx-sheet-siScramble_vs_siBdnf,conservative,NA,NA,NA,NA,NA,NA
GSE77395,GSE77395_A_OE_air_vs_Col_air.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72820,GSE72820_MDA33N-33P_RPKM.xlsx.gz,conservative,NA,NA,NA,NA,NA,NA
GSE84529,GSE84529_Paired_comparison_of_three_sections_Cuffdiff.xlsx-sheet-Comparison_0-5_mm_vs_15-20_mm,bimodal,NA,NA,NA,NA,NA,NA
GSE84529,GSE84529_Paired_comparison_of_three_sections_Cuffdiff.xlsx-sheet-Comparison_0-5_mm_vs_30-35_mm,bimodal,NA,NA,NA,NA,NA,NA
GSE84529,GSE84529_Paired_comparison_of_three_sections_Cuffdiff.xlsx-sheet-Comparison_30-35_mm_vs_15-20_mm,conservative,NA,NA,NA,NA,NA,NA
GSE72712,GSE72712_ESCd_40-70_over_ESCd_lt40.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-d_lt40,conservative,NA,NA,NA,NA,NA,NA
GSE63838,GSE63838_cds_exp_diff_2D.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE56122,GSE56122_IFN-gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE50203,GSE50203_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE63300,GSE63300_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE56575,GSE56575_cds_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE39812,GSE39812_TB_result_transcript_summary.tsv.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE101545,GSE101545_DiffExpr_diet_sw1_versus_control_Ssal_ref.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE109870,GSE109870_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE87441,GSE87441_gene_exp_CTRL_SP3-KD_statistics.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE77395,GSE77395_col_air_vs_ethylene.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE72820,GSE72820_MDA34N-34P_RPKM.xlsx.gz,conservative,NA,NA,NA,NA,NA,NA
GSE84798,GSE84798_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE80972,GSE80972_frm_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72712,GSE72712_ESCd_40-70_over_ESCu.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-u.cuffdiff,conservative,NA,NA,NA,NA,NA,NA
GSE77256,GSE77256_Cuffdiff_Anagen_HFSCs.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE76992,GSE76992_GFP_vs_p16.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE58586,GSE58586_RNAseq-PDX-paired-tr-vs-untr_allintensity-filtered.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE50203,GSE50203_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE56097,GSE56097_Cufflinks_CuffDiff_gene_exp.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE55596,GSE55596_LOLOdiff_nonovel.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE101545,GSE101545_DiffExpr_diet_sw2_versus_control.xlsx,conservative,NA,NA,NA,NA,NA,NA
