Accession,suppdata_id,pi0,annot,Type
GSE36695,GSE36695_H1KSR_H1SFM.txt.gz,0.9527875112780894,GPL9115,bimodal
GSE36695,GSE36695_H1SFM_H9SFM.txt.gz,0.9998877213270313,GPL9115,conservative
GSE36695,GSE36695_H1SFM_hfSFM.txt.gz,0.9998559170766878,GPL9115,conservative
GSE36695,GSE36695_H9KSR_H9SFM.txt.gz,0.976420493976943,GPL9115,bimodal
GSE36695,GSE36695_H9KSR_hfSFM.txt.gz,0.997168756183476,GPL9115,conservative
GSE36695,GSE36695_H9SFM_hfSFM.txt.gz,0.999211542776796,GPL9115,conservative
GSE36710,GSE36710_RBFOX1_Splicing_Events.txt.gz,0.8861199469417603,GPL9115,conservative
GSE36781,GSE36781_gene_exp_diff.txt.gz,0.9625298022561821,GPL15377,anti-conservative
GSE36866,GSE36866_gene_exp.diff.gz,0.9790595735330471,GPL10999,conservative
GSE36959,GSE36959_gene_exp_diff.txt.gz,0.6410026749762097,GPL15388,anti-conservative
GSE37682,GSE37682_RAW.txt.gz,0.686887383652424,GPL15149,anti-conservative
GSE37703,GSE37703_hiseq_cuffdiff_cds_exp.diff.gz,0.948107435072146,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_hiseq_cuffdiff_cds.diff.gz,0.7040305119901112,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_hiseq_cuffdiff_gene_exp.diff.gz,0.8032403941452654,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_hiseq_cuffdiff_isoform_exp.diff.gz,0.9624424322198937,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_hiseq_cuffdiff_promoters.diff.gz,0.7794761311666978,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_hiseq_cuffdiff_splicing.diff.gz,0.6121179907413826,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_hiseq_cuffdiff_tss_group_exp.diff.gz,0.9065806860749522,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_miseq_cuffdiff_cds_exp.diff.gz,0.9848955156584286,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_miseq_cuffdiff_cds.diff.gz,0.6273498940104207,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_miseq_cuffdiff_gene_exp.diff.gz,0.9314079890446335,"GPL11154,GPL15520",bimodal
GSE37703,GSE37703_miseq_cuffdiff_isoform_exp.diff.gz,0.9895053334552613,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_miseq_cuffdiff_promoters.diff.gz,0.707809773393277,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_miseq_cuffdiff_splicing.diff.gz,0.46528771433476046,"GPL11154,GPL15520",conservative
GSE37703,GSE37703_miseq_cuffdiff_tss_group_exp.diff.gz,0.9741865807130434,"GPL11154,GPL15520",conservative
GSE38413,GSE38413_Maize_Pericarp_14DAP_mRNA-Seq_gene_exp.diff.gz,0.937947723405394,GPL9361,anti-conservative
GSE38413,GSE38413_Maize_Pericarp_25DAP_mRNA-Seq_gene_exp.diff.gz,0.9550603932098416,GPL9361,anti-conservative
GSE38414,GSE38414_Maize_Silks_mRNA-Seq_gene_exp.diff.gz,0.9611689015210135,GPL9361,bimodal
GSE39605,GSE39605_All_KOvsWT_filtered_final.xlsx.gz-sheet-All_KOvsWT_filtered,0.999960396517726,GPL9250,other
GSE39652,GSE39652_20111201c2Day3_gene_exp.txt.gz,0.9052751087838872,GPL15103,bimodal
GSE39652,GSE39652_20111201c2LZ_gene_exp.txt.gz,0.9971269852784129,GPL15103,conservative
GSE39652,GSE39652_20111201c2Pach_gene_exp.txt.gz,0.9931419239844814,GPL15103,bimodal
GSE39652,GSE39652_20111201c2PreMeiotic_gene_exp.txt.gz,0.9983735493239756,GPL15103,conservative
GSE40187,GSE40187_gene_exp_diff_Control_NXD30001_fromtophat120_cufflinks102_c0_081612.txt.gz,0.9877202583504828,"GPL13112,GPL9250",conservative
GSE40187,GSE40187_gene_exp_diff_MG1_MG2_fromtophat120_cufflinks102_c0_081612.txt.gz,0.9756421213547252,"GPL13112,GPL9250",conservative
GSE40218,GSE40218_processed_DESeq.txt.gz,0.9152505676949227,GPL13112,conservative
GSE40228,GSE40228_gene_exp.diff.txt.gz,0.9857364175736572,GPL11154,bimodal
GSE40548,GSE40548_gene_exp.diff.gz,0.9989325402130891,GPL11154,conservative
GSE41090,GSE41090_WT_vs_KO_full_genes.tab.txt.gz,0.9877201270018011,GPL13112,conservative
GSE41367,GSE41367_brenneri_gns.expr.txt.gz,0.36134972910386737,GPL16135,anti-conservative
GSE41367,GSE41367_brenneri_soap.expr.txt.gz,0.36722378787551097,GPL16135,anti-conservative
GSE41367,GSE41367_briggsae_gns.expr.txt.gz,0.3283851065072139,GPL16135,anti-conservative
GSE41367,GSE41367_briggsae_soap.expr.txt.gz,0.34653993093801444,GPL16135,anti-conservative
GSE41367,GSE41367_elegans_gns.expr.txt.gz,0.29896918135678513,GPL16135,anti-conservative
GSE41367,GSE41367_elegans_soap.expr.txt.gz,0.26449406578479256,GPL16135,anti-conservative
GSE41367,GSE41367_japonica_gns.expr.txt.gz,0.28858760601894784,GPL16135,anti-conservative
GSE41367,GSE41367_japonica_soap.expr.txt.gz,0.2895092376742401,GPL16135,anti-conservative
GSE41367,GSE41367_remanei_gns.expr.txt.gz,0.26601393613175955,GPL16135,anti-conservative
GSE41367,GSE41367_remanei_soap.expr.txt.gz,0.25386002719869544,GPL16135,anti-conservative
GSE41487,GSE41487_ResultsContr123vsRas123Multiple.xls.gz-sheet-RawData Contr123 vs Ras123,0.9996039845311965,GPL13304,conservative
GSE41487,GSE41487_ResultsContr123vsRas12Multiple.xls.gz-sheet-RawData Contr123 vs Ras12,0.9726383194518188,GPL13304,bimodal
GSE41873,GSE41873_FPKM_all_genes_from_CuffDiff.txt.gz,0.7367515912896798,GPL16222,anti-conservative
GSE41908,GSE41908_E11.5_E13.5f_cuffdiff1.2.txt.gz,0.9135243308461298,GPL13112,anti-conservative
GSE41908,GSE41908_E11.5_E13.5m_cuffdiff1.2.txt.gz,0.9630623590744396,GPL13112,conservative
GSE41908,GSE41908_E9.5_E11.5_cuffdiff1.2.txt.gz,0.9311517457752543,GPL13112,anti-conservative
GSE42381,GSE42381_gene_exp.diff.gz,0.8895966210721006,GPL16295,bimodal
GSE42443,GSE42443_Brg1cKO_gene_exp.diff.gz,0.9754130371040616,GPL13112,bimodal
GSE42805,GSE42805_acute_gene.diff.gz,0.9989474796549124,GPL13112,conservative
GSE42805,GSE42805_cds_exp.diff.gz,0.998233133656468,GPL13112,conservative
GSE42805,GSE42805_cds.diff.gz,0.8589869060595537,GPL13112,conservative
GSE42805,GSE42805_gene_exp.diff.gz,0.9992342449782965,GPL13112,conservative
GSE42805,GSE42805_isoform_exp.diff.gz,0.9884167507499583,GPL13112,conservative
GSE42805,GSE42805_promoters.diff.gz,0.8658869674947766,GPL13112,conservative
GSE42805,GSE42805_splicing.diff.gz,0.9487110075707094,GPL13112,conservative
GSE42805,GSE42805_tss_group_exp.diff.gz,0.994060128008544,GPL13112,bimodal
GSE43143,GSE43143_tooth_FPKM_DE.txt.gz-set-0,0.6506106644504697,GPL11154,anti-conservative
GSE43143,GSE43143_tooth_FPKM_DE.txt.gz-set-1,0.9882508287927472,GPL11154,anti-conservative
GSE43143,GSE43143_tooth_FPKM_DE.txt.gz-set-2,0.8247880694810099,GPL11154,anti-conservative
GSE43189,GSE43189_processed_h99_rim101.csv.gz,0.4640635598811383,GPL16431,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz-set-0,0.8692899965712679,GPL13112,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz-set-1,0.9494315900455733,GPL13112,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz-set-2,0.8653183658036566,GPL13112,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz-set-0,0.9107846057842841,GPL13112,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz-set-1,0.87706107153933,GPL13112,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz-set-2,0.8569038444577027,GPL13112,anti-conservative
GSE43194,GSE43194_HH18chick_abundance.txt.gz-set-0,0.7510128605222678,GPL13112,anti-conservative
GSE43194,GSE43194_HH18chick_abundance.txt.gz-set-1,0.7215093190689281,GPL13112,anti-conservative
GSE43194,GSE43194_HH18chick_abundance.txt.gz-set-2,0.7611105691832198,GPL13112,bimodal
GSE43431,GSE43431_mRNA_STHdh_CUFF_gene_exp.diff.txt.gz,0.9760544793550545,GPL11002,bimodal
GSE43614,GSE43614_diff_out.txt.gz,0.9998528055328789,GPL9269,other
GSE43660,GSE43660_control_vs_il33_1hr.txt.gz,0.9818676785709631,GPL9185,conservative
GSE43660,GSE43660_control_vs_il33_4hr.txt.gz,0.9806726512731884,GPL9185,conservative
GSE43660,GSE43660_control_vs_IL4_1hr.txt.gz,0.96673595019037,GPL9185,conservative
GSE43660,GSE43660_control_vs_IL4_4hr.txt.gz,0.9717589250824229,GPL9185,conservative
GSE44402,GSE44402_QW_Table_S2-AS_targets_of_PQBP1_identified_from_RNA-seq.xlsx.gz,0.2348753418189081,GPL13112,anti-conservative
GSE44536,GSE44536_GEO_Processed_file_excel.xlsx.gz-sheet-FPKM_NC_009338,0.9756695150584502,GPL16708,anti-conservative
GSE44665,GSE44665_gene_exp.diff.txt.gz,0.9999927181979195,GPL13112,conservative
GSE44668,GSE44668_gene_exp_diff.txt.gz,0.9999998662869849,GPL13112,conservative
GSE44831,GSE44831_BALBfab_BALBmj_gene_exp.diff.txt.gz,0.999415946793882,GPL9185,conservative
GSE44831,GSE44831_BALBfabD1_BALBmockD1_24hr_post_expr.txt.gz,0.9999047108699622,GPL9185,conservative
GSE44831,GSE44831_BALBfabD1_BALBmockD1_exp.txt.gz,0.9999047108557048,GPL9185,conservative
GSE44831,GSE44831_C57BL6fabD1_C57BL6mockD1_24hr_post_expr.txt.gz,0.9999854177915481,GPL9185,conservative
GSE44831,GSE44831_C57BL6fabD1_C57BL6mockD1_exp.txt.gz,0.9999854177791195,GPL9185,conservative
GSE44831,GSE44831_C57BLfab_C57BLmj_gene_exp.diff.txt.gz,0.9999537042646512,GPL9185,conservative
GSE44831,GSE44831_matrix_BALB_C57BL.txt.gz,0.999415946793882,GPL9185,conservative
GSE44846,GSE44846_O157_genome_total.xlsx.gz-sheet-Sheet1,0.9915586901826487,GPL16748,bimodal
GSE45788,GSE45788_S72_2_RefII_S72_1_Emf_exp.cuff.gz,0.8337034180325998,GPL16962,anti-conservative
GSE46502,GSE46502_diff_gene_exp_PR_all.xlsx.gz-sheet-gene_exp.diff,0.9990832493054026,GPL11154,conservative
GSE46807,GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz-set-0,0.8003024127582614,GPL13112,conservative
GSE46807,GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz-set-1,0.8987479564300768,GPL13112,anti-conservative
GSE46807,GSE46807_GEO_values_TAF4_RNAseq_Tophat.Cufflinks_mm9_WeiYi.txt.gz-set-2,0.9997143105118572,GPL13112,conservative
GSE47062,GSE47062_KO_vs_WT.txt.gz,0.9785402940003989,GPL13112,conservative
GSE47083,GSE47083_WTvsSclKO_WTvsGata12KO.xlsx.gz-set-0,0.958169007978344,GPL13112,bimodal
GSE47083,GSE47083_WTvsSclKO_WTvsGata12KO.xlsx.gz-set-1,0.9259206731382655,GPL13112,anti-conservative
GSE47095,GSE47095_splicing_diff.txt.gz,0.8458023587837559,GPL11154,conservative
GSE47395,GSE47395_gene_exp.diff.anno.known.csv.gz,0.9999979614093549,GPL13112,conservative
GSE47399,GSE47399_diff_exp_gene_exp.diff.txt.gz,0.9964232846540705,GPL11154,conservative
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_gene_exp.diff.txt.gz,0.9978036272235727,GPL11154,conservative
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_isoform_exp.diff.txt.gz,0.9992288112645383,GPL11154,conservative
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,0.8813284194049973,GPL11154,bimodal
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,0.9366086344131472,GPL11154,bimodal
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_gene_exp.diff.txt.gz,0.8066137176577496,GPL11154,bimodal
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_isoform_exp.diff.txt.gz,0.9059442993783998,GPL11154,bimodal
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,0.9979028223527505,GPL11154,conservative
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,0.9983803260495151,GPL11154,conservative
GSE48671,GSE48671_all.GeneDiffExp.txt.gz-set-0,0.27390017952811174,GPL17424,anti-conservative
GSE48671,GSE48671_all.GeneDiffExp.txt.gz-set-1,0.15916832241140438,GPL17424,anti-conservative
GSE49097,GSE49097_BetweenGenotypes_gene_exp.diff.gz,0.999999993881568,GPL15008,conservative
GSE49097,GSE49097_CompareAll_gene_exp.diff.gz,0.9999461344422916,GPL15008,conservative
GSE49097,GSE49097_Within_A_gene_exp.diff.gz,0.9999952834639091,GPL15008,conservative
GSE49097,GSE49097_Within_B_gene_exp.diff.gz,0.9912849559005167,GPL15008,bimodal
GSE49097,GSE49097_Within_WT_gene_exp.diff.gz,0.999999964893929,GPL15008,conservative
GSE49147,GSE49147_ESC_KO_vs_WT.txt.gz,0.9838322314888696,GPL13112,bimodal
GSE49147,GSE49147_iPS_PF1_vs_PF2.txt.gz,0.9998526966177079,GPL13112,conservative
GSE49147,GSE49147_iPS_TTF1_vs_TTF2.txt.gz,0.9999443578631513,GPL13112,conservative
GSE49313,GSE49313_DRRi_GFPi_cds_exp.diff.txt.gz,0.9995381224858952,GPL11002,conservative
GSE49313,GSE49313_PhanDRR1.2_PhanGFP_cds_exp.diff.txt.gz,0.999705856523925,GPL11002,conservative
GSE49389,GSE49389_RNAseq_gene_exp.txt.gz,0.9843555456092081,GPL14844,bimodal
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-0,0.874579136507324,GPL13112,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-1,0.8806856740165782,GPL13112,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-2,0.8821959243509971,GPL13112,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-3,0.8870968294403521,GPL13112,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-4,0.9937747844429118,GPL13112,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-5,0.8741679633381512,GPL13112,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-6,0.8818339545835338,GPL13112,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-7,0.8834656036542687,GPL13112,conservative
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz-set-8,0.8880806629317046,GPL13112,conservative
GSE49587,GSE49587_L2_L3P1_2_DEUtable.txt.gz,0.8557429298536918,GPL13304,other
GSE49587,GSE49587_L312hr_L3P1_2_DEUtable.txt.gz,0.8405659108542424,GPL13304,other
GSE49587,GSE49587_ORvSmn_DEUtable.txt.gz,0.7659005311200582,GPL13304,anti-conservative
GSE49716,GSE49716_pei1vspei3_gene_exp.diff.txt.gz,0.9814580809557948,GPL15520,conservative
GSE49843,GSE49843_gene_exp.diff_22345-22353.txt.gz,0.965865491538748,GPL13112,conservative
GSE50068,GSE50068_Cuffdiff_output.txt.gz,0.8932201026753501,GPL13112,bimodal
GSE50156,GSE50156_mas5D_AND_WT_24oC.txt.gz,0.9999456252919436,GPL13988,conservative
GSE50156,GSE50156_nmt1-hsf1_MMThi-_AND_WT_MMThi-.txt.gz,0.9999980418522564,GPL13988,conservative
GSE50156,GSE50156_ssa2D_AND_WT_24oC.txt.gz,0.9998485610477332,GPL13988,conservative
GSE50156,GSE50156_WT_36oC_15min_AND_WT_24oC.txt.gz,0.9996294472012827,GPL13988,conservative
GSE50198,GSE50198_Tet1kd_vs_v6.5_DESeq_results.txt.gz-set-0,0.5732504877536242,"GPL10010,GPL14602",anti-conservative
GSE50198,GSE50198_Tet1kd_vs_v6.5_DESeq_results.txt.gz-set-1,0.4606457177933874,"GPL10010,GPL14602",anti-conservative
GSE50198,GSE50198_Tet1kd_vs_v6.5_DEXSeq_results.txt.gz,0.6690471825526607,"GPL10010,GPL14602",anti-conservative
GSE50198,GSE50198_Tet2kd_vs_v6.5_DESeq_results.txt.gz-set-0,0.7018684274459419,"GPL10010,GPL14602",bimodal
GSE50198,GSE50198_Tet2kd_vs_v6.5_DESeq_results.txt.gz-set-1,0.5659238240431045,"GPL10010,GPL14602",anti-conservative
GSE50198,GSE50198_Tet2kd_vs_v6.5_DEXSeq_results.txt.gz,0.6754212639811251,"GPL10010,GPL14602",anti-conservative
GSE50203,GSE50203_gene_exp.diff.gz,0.9998554019940067,GPL14875,conservative
GSE50203,GSE50203_isoform_exp.diff.gz,0.9999766507711888,GPL14875,conservative
GSE50424,GSE50424_Adipose.tsv.gz,0.9999994462004187,GPL10287,conservative
GSE50424,GSE50424_Liver.tsv.gz,0.9998686415421062,GPL10287,conservative
GSE50535,GSE50535_diffexp_1.txt.gz-set-0,0.6302199984175768,GPL11154,anti-conservative
GSE50535,GSE50535_diffexp_1.txt.gz-set-1,0.6407879295515052,GPL11154,anti-conservative
GSE50535,GSE50535_diffexp_2.txt.gz,0.5558708977138126,GPL11154,anti-conservative
GSE50535,GSE50535_diffexp_3.txt.gz-set-0,0.611213234305757,GPL11154,anti-conservative
GSE50535,GSE50535_diffexp_3.txt.gz-set-1,0.30210397794291627,GPL11154,anti-conservative
GSE50554,GSE50554_Routine_gene.diff.gz,0.995130437904414,GPL13112,conservative
GSE50554,GSE50554_Routine_isoform.diff.gz,0.9959060863934616,GPL13112,bimodal
GSE50554,GSE50554_Stringent_gene.diff.gz,0.9960134445307653,GPL13112,conservative
GSE50554,GSE50554_Stringent_isoform.diff.gz,0.9973270687175024,GPL13112,conservative
GSE50557,GSE50557_rnaseq-lbl1-Cuffdiff_gene_expression.txt.gz,0.9993850894759272,GPL13977,conservative
GSE50708,GSE50708_DE_result.txt.gz,0.31931735484562423,GPL13112,anti-conservative
GSE50739,GSE50739_gene_exp.diff.txt.gz,0.9999205047340214,GPL13112,conservative
GSE51037,GSE51037_Untreated_Nitrate_Processed_CunninghamBussel.xlsx.gz,0.8954628215813549,GPL17280,anti-conservative
GSE51119,GSE51119_bHLH159KD_vs_Col_gene_exp.diff.txt.gz,0.9673644595721547,GPL13222,bimodal
GSE51119,GSE51119_bHLH159ox_vs_Col_gene_exp.diff.txt.gz,0.9166869602067521,GPL13222,bimodal
GSE51119,GSE51119_IBH1KD_vs_Col_gene_exp.diff.txt.gz,0.9731709491347778,GPL13222,bimodal
GSE51119,GSE51119_IBH1ox_vs_Col_gene_exp.diff.txt.gz,0.9518702161282554,GPL13222,anti-conservative
GSE51847,GSE51847_Expression_table_LE-2_x_HR-3.txt.gz,0.9998664294470258,GPL15914,other
GSE51893,GSE51893_wt_v_MZeomesa-sphere_gene_exp.txt.gz,0.9996833183739859,GPL14875,conservative
GSE51975,GSE51975_C_v_OVOL1_2_gene_exp.diff.gz,0.8725213644435025,GPL11154,bimodal
GSE51975,GSE51975_C_v_OVOL1_2_isoform_exp.diff.gz,0.942112753429384,GPL11154,bimodal
GSE51975,GSE51975_C_v_OVOL1_gene_exp.diff.gz,0.9468917828923451,GPL11154,bimodal
GSE51975,GSE51975_C_v_OVOL1_isoform_exp.diff.gz,0.9757878031577629,GPL11154,conservative
GSE51975,GSE51975_C_v_OVOL2_gene_exp.diff.gz,0.9412070437403414,GPL11154,bimodal
GSE51975,GSE51975_C_v_OVOL2_isoform_exp.diff.gz,0.9725045203843162,GPL11154,conservative
GSE52038,GSE52038_Supplementary-table-1-date11021.txt.gz,0.8486757565274102,GPL11002,conservative
GSE52058,GSE52058_Cuffdiff_Dana_TestisOvary.gene_exp.diff.gz,0.353514149903679,"GPL13309,GPL15872",anti-conservative
GSE52058,GSE52058_Cuffdiff_Dpse_TestisOvary.gene_exp.diff.gz,0.42096916405455853,"GPL13309,GPL15872",anti-conservative
GSE52153,GSE52153_czt-1DMSOvsczt-1STS.txt.gz,0.54817227066652785,GPL16164,anti-conservative
GSE52153,GSE52153_wtDMSOvsczt-1DMSO.txt.gz,0.9221368834874694,GPL16164,bimodal
GSE52153,GSE52153_wtDMSOvswtSTS.txt.gz,0.7136974457294667,GPL16164,anti-conservative
GSE52201,GSE52201_RNAseq_processed_data_L_D_siLSD1.txt.gz,0.9996292539382741,GPL15433,conservative
GSE52284,GSE52284_gene_exp.diff.gz,0.9747408096449238,GPL15167,bimodal
GSE52367,GSE52367_Cuflinks_2338_2339.txt.gz,0.9997319344214175,GPL11154,conservative
GSE52385,GSE52385_siCtrl_VS_siSRA_assemblenewgenes.txt.gz,0.9999990063366371,GPL11154,conservative
GSE52385,GSE52385_siCtrl_VS_siSRA_notassemblenewgenes.txt.gz,0.9999963497921254,GPL11154,conservative
GSE52450,GSE52450_Cuffdiff_on_pre-pro-B_and_pro-B_aligned_reads_transcript_differential_expression_testing_Bv46.txt.gz,0.9997132280047216,GPL13112,conservative
GSE52502,GSE52502_gene_exp.diff.gz,0.9999976287691172,GPL9250,conservative
GSE52551,GSE52551_delta_Rv3263_expr.txt.gz,0.9998392997049099,GPL17967,other
GSE52911,GSE52911_gene_exp.txt.gz,0.9999832876149779,GPL18025,conservative
GSE53040,GSE53040_wtDMSOvswtD1.txt.gz,0.9301856023425654,GPL16164,anti-conservative
GSE53040,GSE53040_wtDMSOvswtTX129.txt.gz,0.999983088185752,GPL16164,conservative
GSE53040,GSE53040_wtDMSOvswtTX34.txt.gz,0.979218304367672,GPL16164,bimodal
GSE53040,GSE53040_wtDMSOvswtTX87.txt.gz,0.9351591308023441,GPL16164,bimodal
GSE53040,GSE53040_wtDMSOvswtXP13.txt.gz,0.6938682962514783,GPL16164,anti-conservative
GSE53470,GSE53470_gene_exp_P251_PCJ_3rep_combined.diff.gz,0.9999048054080552,GPL11154,conservative
GSE53470,GSE53470_gene_exp_P251_PJD_3rep_combined.diff.gz,0.9998346956382774,GPL11154,conservative
GSE53599,GSE53599_D5-1322_vs_RLuc-713_24hrs.txt.gz,0.9974354496639188,GPL13112,conservative
GSE53599,GSE53599_D5-1322_vs_RLuc-713_48hrs.txt.gz,0.9861011133601735,GPL13112,bimodal
GSE53599,GSE53599_D5-2086_vs_RLuc-713_24hrs.txt.gz,0.9984792870055218,GPL13112,conservative
GSE53599,GSE53599_D5-2086_vs_RLuc-713_48hrs.txt.gz,0.9657475313137999,GPL13112,bimodal
GSE53653,GSE53653_st10.5_Foxh1_MO_gene_exp_diff.txt.gz,0.9858207720458408,GPL13741,conservative
GSE53653,GSE53653_st10.5_SB431542_gene_exp_diff.txt.gz,0.9990515450258087,GPL13741,conservative
GSE53789,GSE53789_gene_exp.diff.txt.gz,0.9968398372294617,GPL13112,conservative
GSE53789,GSE53789_GFP_FACS_x_GFP_LCM-not_significant.diff.txt.gz,0.9990709863475519,GPL13112,conservative
GSE53789,GSE53789_GFP_FACS_x_WT_FACS-not_significant.diff.txt.gz,1,GPL13112,conservative
GSE53789,GSE53789_GFP_LCM_gt_GFP_FACS_gene_exp_with_zeros.diff.txt.gz,0.32912294856392416,GPL13112,anti-conservative
